decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax
2015,2015-01-02,2016-01-04,-0.056559422427797545,455.7862462925059,0.00045578624629250583,-0.05701520867409005,1000000.0,942984.7913259099,0.44999999999999996,BBSE3.SA:10.34% | CIEL3.SA:12.00% | CMIG4.SA:12.00% | ITSA4.SA:8.76% | ITUB4.SA:11.90% | TITULO_CDI:45.00%,161,triple_factor,0.55,0.18871220353979995,1.661082669239459e-10,0.18960073934937527,1.661082669239459e-10,-0.11564704168674267,0.44999999999999996,0.1313058205754336,39,161,-0.10640666226912932,-0.1085484010921044,0.36713809212605275,0.003796330265524951,-0.060811538939615,0.7310282907218619,0.020790525663716537,0.16792167787608342,0.10832730197473273
2016,2016-01-04,2017-01-02,0.33370504345673835,396.1736040622379,0.0007466837332877274,0.3329583597234506,942984.7913259099,1256959.4606899454,0.7342761842521055,BRSR6.SA:12.00% | CMIG4.SA:12.00% | ENBR3.SA:10.91% | LREN3.SA:8.09% | SMLE3.SA:12.00% | TITULO_CDI:45.00%,174,triple_factor,0.55,0.3552443202573433,1.4620565814437239,0.2824873795443929,0.5298686494499991,0.2712381536877462,0.44999999999999996,0.13881531059776075,33,174,0.4291782349730666,0.41703172361765506,0.38049027069247143,0.019639929442382624,0.313318430281068,0.999999997130123,0.05524503597426056,0.29999928428308276,0.11452263124315262
2017,2017-01-02,2018-01-02,0.15347698414683175,361.6994605975046,0.0006186814912726656,0.15285830265555908,1256959.4606899454,1449096.1503578573,0.7609805413849429,CMIG4.SA:12.00% | CPLE6.SA:9.25% | ELET3.SA:9.75% | SAPR4.SA:12.00% | SMLE3.SA:12.00% | TITULO_CDI:45.00%,182,triple_factor,0.55,0.26820227568738797,1.999999994260246,0.2696195770181391,1.5555454303851592e-10,0.10906311942314684,0.44999999999999996,0.09869747716374411,39,182,0.28214938998808514,0.28093004210729355,0.3196010150151586,0.007712577893379812,0.14514572476217927,0.8362790234155577,0.033821579486613636,0.23438069620077434,0.08142541866008889
2018,2018-01-02,2019-01-02,0.3361607731379608,649.2201644413141,0.0009764888260329565,0.3351842843119278,1449096.1503578573,1934810.4064147254,0.6392020300303172,BRSR6.SA:11.59% | CVCB3.SA:12.00% | ITSA3.SA:12.00% | MGLU3.SA:12.00% | SAPR4.SA:7.41% | TITULO_CDI:45.00%,169,triple_factor,0.55,0.5748886212070209,1.6725580468311154,0.5767792078929121,1.0174637667805803e-11,0.30750910520118613,0.44999999999999996,0.06367037319283275,44,169,0.12833318355137302,0.12649800523329735,0.3470761212742375,0.01774961433417918,0.3174346699777486,0.5620857247609361,0.048629903864392636,0.5262587173426283,0.05252805788408702
2019,2019-01-02,2020-01-02,0.2832636080254014,685.6987348672762,0.0006604414474129257,0.28260316657798845,1934810.4064147254,2481593.9539955715,0.694152242548475,BRSR6.SA:12.00% | CMIG3.SA:8.06% | CSNA3.SA:12.00% | IRBR3.SA:10.94% | MGLU3.SA:12.00% | TITULO_CDI:45.00%,182,triple_factor,0.55,0.4280796756287431,1.1241714495218722,0.4296447904167966,3.877087055231941e-12,0.25664304349773515,0.44999999999999996,0.059156810061480325,48,182,0.27416164901331697,0.265415260819831,0.4430109164705775,0.01911816060632346,0.263485005971665,0.7947831533328171,0.051221166201103736,0.3768585094276394,0.04880436830072127
2020,2020-01-02,2021-01-04,0.026385785241763937,1024.7168137371766,0.0008913805659166391,0.025494404675847297,2481593.9539955715,2544860.714499871,0.886021832941155,AZUL4.SA:12.00% | BBSE3.SA:12.00% | CMIG3.SA:9.01% | EQTL3.SA:9.99% | MRFG3.SA:12.00% | TITULO_CDI:45.00%,234,triple_factor,0.55,-0.17343120975526932,1.5895663066656343,-0.17161514457713045,7.396192625162649e-11,0.01408915077652595,0.44999999999999996,0.027325854367195923,67,234,0.006181845782766704,0.0035889676976212925,0.17061873263294433,0.0007277372903239639,0.02476666738552333,0.9361734097784347,3.3111306172526124e-13,-0.17343120975560045,0.022543829852936636
2021,2021-01-04,2022-01-03,0.11933862671307471,617.439632140857,0.00040122574604540764,0.1189374009670293,2544860.714499871,2847539.833705582,0.34123746526588866,BBSE3.SA:12.00% | CSMG3.SA:7.00% | EQTL3.SA:12.00% | MRFG3.SA:12.00% | TASA4.SA:12.00% | TITULO_CDI:45.00%,257,triple_factor,0.55,0.05878526683955391,1.8723468195568693,0.03415183638067737,0.5909730268365796,0.09963065139524485,0.44999999999999996,0.04379550070628846,72,257,-0.11585890450243763,-0.1164869288519651,0.49661397085767167,0.009134465790306023,0.10980293517672328,0.9222890443848131,0.008902043045823954,0.049883223793729954,0.03613128808268798
2022,2022-01-03,2023-01-02,0.009142282670934865,1372.3803762806824,0.0008362869885252896,0.008305995682409575,2847539.833705582,2871191.4872698304,0.9932279417153433,FHER3.SA:12.00% | GOAU4.SA:12.00% | TASA4.SA:8.38% | UNIP6.SA:12.00% | USIM5.SA:10.62% | TITULO_CDI:45.00%,265,triple_factor,0.55,-0.03151962654111069,1.8445780887696261,-0.030350210416657974,3.504464650538771e-11,-0.046184837286310065,0.44999999999999996,0.12294915546054463,89,265,0.058784472970112134,0.06024213574183901,0.3700000000000001,0.0035824310172316194,0.004723564665177956,0.9470707159071958,7.141142350875953e-13,-0.03151962654182481,0.10143305325494932
2023,2023-01-02,2024-01-02,0.20176970871860078,1130.9896159663472,0.0007411047866220641,0.20102860393197872,2871191.4872698304,3448383.1035770657,0.7400000000000002,BRAP4.SA:11.77% | CURY3.SA:7.23% | KEPL3.SA:12.00% | UNIP6.SA:12.00% | VIVA3.SA:12.00% | TITULO_CDI:45.00%,297,triple_factor,0.55,0.10983736408566867,1.8941414318143917,0.11171258744632762,7.675580450809544e-11,0.1435727495849437,0.44999999999999996,0.1293265758525708,89,297,0.2614217492667519,0.2704862406620203,0.35864621442358907,0.011376394309697706,0.18965220962228102,0.9999999988399031,0.016756888099246678,0.093080475986422,0.1066944250783709
2024,2024-01-02,2025-01-02,-0.01793976221594673,1145.1495056172503,0.0006216895505111365,-0.018561451766457866,3448383.1035770657,3384376.106927752,0.7172924288471781,BBSE3.SA:12.00% | CMIN3.SA:12.00% | CURY3.SA:12.00% | PLPL3.SA:7.00% | VIVA3.SA:12.00% | TITULO_CDI:45.00%,311,triple_factor,0.55,0.029449876290889444,1.9999999976798062,0.03126565964378103,7.114299314727077e-11,-0.06643666880655102,0.44999999999999996,0.10777090353467633,89,311,-0.09355147441162948,-0.08923577472783695,0.1628679267931355,0.0013822533606511137,-0.01994370512710898,0.9999999799615484,0.004689848853931594,0.02476002743695785,0.08891099541610797
