decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax
2015,2015-01-02,2016-01-04,-0.024208557426345312,474.82286029227043,0.0004748228602922704,-0.024683380286637583,1000000.0,975316.6197133624,0.4500000000274847,BBSE3.SA:12.00% | CIEL3.SA:6.23% | CMIG4.SA:10.45% | ITUB3.SA:7.93% | VLID3.SA:10.08% | WEGE3.SA:8.32% | TITULO_CDI:45.00%,161,value_quality,0.5499999999725154,-0.009686996393581605,0.19940751053225356,-0.03514669079835342,0.19940751053225356,-0.08329617668889944,0.4500000000274847,0.1313058205754336,27,161,-0.10640666226912932,-0.1085484010921044,0.4800000068794627,0.004963360089190475,-0.029646740375828057,0.7723687897484107,0.0035390626821106335,-0.013226059075692239,0.10832730197473273
2016,2016-01-04,2017-01-02,0.34127338511471605,1064.860417898915,0.0010918099788065426,0.3401815751359095,975316.6197133624,1307101.3636636848,0.9600000137589254,ABEV3.SA:12.00% | ENBR3.SA:12.00% | SANB3.SA:12.00% | SANB4.SA:12.00% | TITULO_CDI:52.00%,174,value_quality,0.4800000070205176,0.23863827277458002,1.5447375794968214,0.1461960398104854,0.6734454583355027,0.26908942457843577,0.5199999929794824,0.13881531059776075,26,174,0.4291782349730666,0.41703172361765506,0.3926527063780783,0.020808868428556684,0.31937270670735285,0.8954845644040347,0.03428738807923947,0.20435088469534055,0.11452263124315262
2017,2017-01-02,2018-01-02,0.30367021688282114,1411.1445976150128,0.0010795984434446833,0.30259061843937646,1307101.3636636848,1702617.9736576315,0.7853054127561566,BRSR6.SA:9.83% | CVCB3.SA:9.17% | FLRY3.SA:12.00% | SANB3.SA:12.00% | SAPR4.SA:12.00% | TITULO_CDI:45.00%,182,value_quality,0.5500000000109828,0.21646371445345952,1.7909691288080694,0.21769379893111318,8.568823576535298e-11,0.25925635216022014,0.44999999998901724,0.09869747716374411,33,182,0.28214938998808514,0.28093004210729355,0.4407523508726596,0.020565892179362732,0.28202472626001374,0.7803455618666943,0.025481458477424123,0.1909822559760354,0.08142541866008889
2018,2018-01-02,2019-01-02,-0.012472120742749726,4411.15120809777,0.002590805028700218,-0.015062925771449943,1702617.9736576315,1676971.5655032902,0.8815047017453193,ALPA4.SA:0.61% | BPAC3.SA:12.00% | BRSR3.SA:12.00% | GRND3.SA:5.49% | QUAL3.SA:0.90% | SAPR3.SA:12.00% | SEER3.SA:12.00% | TITULO_CDI:45.00%,169,value_quality,0.5499999999955332,-0.11168217421942617,1.5606911237333887,-0.10899180502247519,2.5363391124302152e-11,-0.041123788679808815,0.45000000000446677,0.06367037319283275,34,169,0.12833318355137302,0.12649800523329735,0.4899999982691928,0.0024568805169244813,-0.017519806288374424,0.6357481277552337,1.796668083324339e-13,-0.11168217421960583,0.05252805788408702
2019,2019-01-02,2020-01-02,0.13087847359354776,4217.239594058336,0.002514794932016432,0.12836367866153134,1676971.5655032902,1892233.8046620798,0.9799999965383857,BRSR6.SA:7.01% | IRBR3.SA:12.00% | SANB4.SA:11.99% | SLCE3.SA:12.00% | UNIP6.SA:12.00% | TITULO_CDI:45.00%,182,value_quality,0.5499999999269116,0.35626618144894096,1.2714962555104674,0.35923045559840683,4.7960822231614796e-11,0.10425790906155796,0.4500000000730884,0.059156810061480325,36,182,0.27416164901331697,0.265415260819831,0.45853953619255017,0.00930710771971821,0.11905657094181313,0.8102331306234871,0.0436590624986221,0.31260711895031884,0.04880436830072127
2020,2020-01-02,2021-01-04,0.06886376186161902,4688.861064274711,0.0024779501627770883,0.06638581169884193,1892233.8046620798,2017851.2817085597,0.9170790723851003,BPAC3.SA:12.00% | BPAN4.SA:12.00% | CGAS3.SA:9.48% | CGAS5.SA:12.00% | QUAL3.SA:9.52% | TITULO_CDI:45.00%,234,value_quality,0.5500000000498555,0.106054698755736,1.6204662612469742,0.11054821627114553,2.3041912369429777e-11,0.05656712739774328,0.4499999999501444,0.027325854367195923,55,234,0.006181845782766704,0.0035889676976212925,0.3174877837838224,0.0033771112510677464,0.06300870044777418,0.7898329841238912,0.013097194132138855,0.09295750462359714,0.022543829852936636
2021,2021-01-04,2022-01-03,0.24175172594829686,2657.7165475720703,0.0013171022917614242,0.24043462365653542,2017851.2817085597,2503012.5952210147,0.6349755675676448,BPAC3.SA:7.88% | BSLI3.SA:12.00% | CGAS3.SA:6.36% | CGAS5.SA:4.76% | UNIP6.SA:12.00% | WEGE3.SA:12.00% | TITULO_CDI:45.00%,257,value_quality,0.5500000000446131,0.13800253604713897,1.5796659682477825,0.12858247584018145,0.3060401624784766,0.22204375063242077,0.4499999999553869,0.04379550070628846,48,257,-0.11585890450243763,-0.1164869288519651,0.4120335035785852,0.015144480248743016,0.2252901434077924,0.6999742263442101,0.01514249221718994,0.12286004382994903,0.03613128808268798
2022,2022-01-03,2023-01-02,0.01279159915604855,5571.94053834207,0.0022260936876548447,0.010565505468393705,2503012.5952210147,2529458.1884832806,0.8240670071571704,BRKM3.SA:12.00% | BSLI3.SA:4.04% | ENMT3.SA:9.87% | FESA4.SA:5.10% | UNIP3.SA:12.00% | UNIP6.SA:12.00% | TITULO_CDI:45.00%,265,value_quality,0.5500000000543088,-0.011293024550956729,1.3999484526884203,-0.005433267290069654,1.2578905924547944e-10,-0.04253552079451928,0.4499999999456911,0.12294915546054463,62,265,0.058784472970112134,0.06024213574183901,0.4355618172264982,0.004217216658826111,0.006348288809567594,0.5458436266486377,1.47732045631738e-12,-0.011293024552434049,0.10143305325494932
2023,2023-01-02,2024-01-02,0.2792937287025161,2867.907901509679,0.0012962732798475164,0.2779974554226686,2529458.1884832806,3232641.128479665,0.8711236344529965,BBSE3.SA:12.00% | CURY3.SA:12.00% | EKTR4.SA:9.97% | PETR3.SA:9.03% | PRIO3.SA:12.00% | TITULO_CDI:45.00%,297,value_quality,0.5500000007853696,0.12182623296912849,1.0916872532972755,0.12482679298041699,2.5063219565815678e-11,0.22109676967042802,0.44999999921463063,0.1293265758525708,55,297,0.2614217492667519,0.2704862406620203,0.48275193449386083,0.02092680553733146,0.2570706498853372,0.9999999961244684,0.018724018875064256,0.10310221409406424,0.1066944250783709
2024,2024-01-02,2025-01-02,0.016454194707308023,3856.2946152889617,0.0011929238236149818,0.015261270883693041,3232641.128479665,3281975.34041116,0.9655038689877217,CMIN3.SA:12.00% | PETR3.SA:12.00% | PETR4.SA:12.00% | PLPL3.SA:12.00% | UGPA3.SA:7.00% | TITULO_CDI:45.00%,311,value_quality,0.5500000000019794,-0.14845034208134425,1.9999999922489369,-0.14538915784460194,6.461026739958268e-11,-0.0320427118830835,0.44999999999802087,0.10777090353467633,60,311,-0.09355147441162948,-0.08923577472783695,0.5500000001777757,0.004667827260833914,0.010593443622859126,0.9999999907014105,1.2185436953415243e-12,-0.1484503420825628,0.08891099541610797
