decision_year,decision_date,ticker,previous_weight,new_weight,reason,decision_action,factor
2015,2015-01-02,BBSE3.SA,0.0,0.11999999982482683,entered_after_point_in_time_screen,entered,value_quality
2015,2015-01-02,CIEL3.SA,0.0,0.06225436178093045,entered_after_point_in_time_screen,entered,value_quality
2015,2015-01-02,CMIG4.SA,0.0,0.10445118858422536,entered_after_point_in_time_screen,entered,value_quality
2015,2015-01-02,ITUB3.SA,0.0,0.07930281440321486,entered_after_point_in_time_screen,entered,value_quality
2015,2015-01-02,VLID3.SA,0.0,0.1007601181756838,entered_after_point_in_time_screen,entered,value_quality
2015,2015-01-02,WEGE3.SA,0.0,0.08323151526179781,entered_after_point_in_time_screen,entered,value_quality
2015,2015-01-02,TITULO_CDI,0.0,0.4500000000274847,defensive_residual_adjustment,entered,value_quality
2016,2016-01-04,ABEV3.SA,4.186017650209667e-12,0.11999999996086921,entered_after_point_in_time_screen,entered,value_quality
2016,2016-01-04,BBSE3.SA,0.1041749538287989,1.575861877419158e-12,removed_by_constrained_allocator,exited,value_quality
2016,2016-01-04,CIEL3.SA,0.0552249461842589,6.688068718285252e-12,removed_by_constrained_allocator,exited,value_quality
2016,2016-01-04,CMIG4.SA,0.052902627719646406,1.047013617710887e-11,removed_by_constrained_allocator,exited,value_quality
2016,2016-01-04,ENBR3.SA,0.0,0.11999999992987949,entered_after_point_in_time_screen,entered,value_quality
2016,2016-01-04,ITUB3.SA,0.07481542324634521,1.634894283903599e-11,removed_by_constrained_allocator,exited,value_quality
2016,2016-01-04,SANB3.SA,0.0,0.11999999996136958,entered_after_point_in_time_screen,entered,value_quality
2016,2016-01-04,SANB4.SA,0.0,0.11999999989619572,entered_after_point_in_time_screen,entered,value_quality
2016,2016-01-04,VLID3.SA,0.10641567636156515,0.0,removed_or_blocked_by_eligibility,exited,value_quality
2016,2016-01-04,WEGE3.SA,0.08474872007366742,2.3199471281537448e-11,removed_by_constrained_allocator,exited,value_quality
2016,2016-01-04,TITULO_CDI,0.5217176510047247,0.5199999929794824,defensive_residual_adjustment,reduced,value_quality
2017,2017-01-02,ABEV3.SA,0.08836416663856722,0.0,removed_by_constrained_allocator,exited,value_quality
2017,2017-01-02,BRSR6.SA,0.0,0.09832293924031608,entered_after_point_in_time_screen,entered,value_quality
2017,2017-01-02,CVCB3.SA,0.0,0.09167706056881432,entered_after_point_in_time_screen,entered,value_quality
2017,2017-01-02,ENBR3.SA,0.10736528923497372,0.0,removed_or_blocked_by_eligibility,exited,value_quality
2017,2017-01-02,FLRY3.SA,0.0,0.11999999988527013,entered_after_point_in_time_screen,entered,value_quality
2017,2017-01-02,SANB3.SA,0.22356926877090702,0.11999999997992276,rebalanced_after_point_in_time_review,reduced,value_quality
2017,2017-01-02,SANB4.SA,0.13919250421230778,5.770751373043266e-12,removed_by_constrained_allocator,exited,value_quality
2017,2017-01-02,SAPR4.SA,0.0,0.11999999999486975,entered_after_point_in_time_screen,entered,value_quality
