decision_date,ticker,status,reason
2025-01-02,VALE3.SA,blocked,no_fre_share_count
2025-01-02,PETR4.SA,blocked,ambiguous_preferred_class_share_count
2025-01-02,ITUB4.SA,blocked,ambiguous_preferred_class_share_count
2025-01-02,B3SA3.SA,blocked,No ITR available by 2025-01-02 for B3SA3.SA
2025-01-02,BBDC4.SA,blocked,ambiguous_preferred_class_share_count
2025-01-02,BBAS3.SA,blocked,No ITR available by 2025-01-02 for BBAS3.SA
2025-01-02,ABEV3.SA,blocked,No ITR available by 2025-01-02 for ABEV3.SA
2025-01-02,RENT3.SA,blocked,No ITR available by 2025-01-02 for RENT3.SA
2025-01-02,SUZB3.SA,blocked,No ITR available by 2025-01-02 for SUZB3.SA
2025-01-02,PETR3.SA,blocked,No ITR available by 2025-01-02 for PETR3.SA
2025-01-02,SBSP3.SA,blocked,No ITR available by 2025-01-02 for SBSP3.SA
2025-01-02,PRIO3.SA,blocked,No ITR available by 2025-01-02 for PRIO3.SA
2025-01-02,ELET3.SA,blocked,No ITR available by 2025-01-02 for ELET3.SA
2025-01-02,WEGE3.SA,blocked,No ITR available by 2025-01-02 for WEGE3.SA
2025-01-02,EMBR3.SA,blocked,No ITR available by 2025-01-02 for EMBR3.SA
2025-01-02,EQTL3.SA,blocked,No ITR available by 2025-01-02 for EQTL3.SA
2025-01-02,BPAC11.SA,blocked,unsupported_share_class:UNT EX  N2
2025-01-02,RAIL3.SA,blocked,No ITR available by 2025-01-02 for RAIL3.SA
2025-01-02,HAPV3.SA,blocked,No ITR available by 2025-01-02 for HAPV3.SA
2025-01-02,GGBR4.SA,blocked,No ITR available by 2025-01-02 for GGBR4.SA
2025-01-02,ITSA4.SA,blocked,No ITR available by 2025-01-02 for ITSA4.SA
2025-01-02,LREN3.SA,blocked,No ITR available by 2025-01-02 for LREN3.SA
2025-01-02,MGLU3.SA,blocked,No ITR available by 2025-01-02 for MGLU3.SA
2025-01-02,BRFS3.SA,blocked,No ITR available by 2025-01-02 for BRFS3.SA
2025-01-02,VBBR3.SA,blocked,No ITR available by 2025-01-02 for VBBR3.SA
2025-01-02,RADL3.SA,blocked,No ITR available by 2025-01-02 for RADL3.SA
2025-01-02,ASAI3.SA,blocked,No ITR available by 2025-01-02 for ASAI3.SA
2025-01-02,CPLE6.SA,blocked,No ITR available by 2025-01-02 for CPLE6.SA
2025-01-02,BRAV3.SA,blocked,No ITR available by 2025-01-02 for BRAV3.SA
2025-01-02,RDOR3.SA,blocked,No ITR available by 2025-01-02 for RDOR3.SA
2025-01-02,BBSE3.SA,blocked,No ITR available by 2025-01-02 for BBSE3.SA
2025-01-02,HYPE3.SA,blocked,No ITR available by 2025-01-02 for HYPE3.SA
2025-01-02,CSAN3.SA,blocked,No ITR available by 2025-01-02 for CSAN3.SA
2025-01-02,CMIG4.SA,blocked,ambiguous_preferred_class_share_count
2025-01-02,MRFG3.SA,blocked,no_fre_share_count
2025-01-02,CYRE3.SA,blocked,No ITR available by 2025-01-02 for CYRE3.SA
2025-01-02,NTCO3.SA,blocked,No ITR available by 2025-01-02 for NTCO3.SA
2025-01-02,ENGI11.SA,blocked,unsupported_share_class:UNT     N2
