decision_date,ticker,status,reason
2016-01-04,ITUB4.SA,accepted,
2016-01-04,PETR4.SA,accepted,
2016-01-04,BBDC4.SA,blocked,ambiguous_preferred_share_count
2016-01-04,VALE5.SA,blocked,ambiguous_preferred_class_share_count
2016-01-04,ABEV3.SA,accepted,
2016-01-04,BRFS3.SA,accepted,
2016-01-04,CIEL3.SA,accepted,
2016-01-04,ITSA4.SA,accepted,
2016-01-04,BBAS3.SA,accepted,
2016-01-04,PETR3.SA,accepted,
2016-01-04,BBSE3.SA,accepted,
2016-01-04,UGPA3.SA,accepted,
2016-01-04,SUZB5.SA,accepted,
2016-01-04,VALE3.SA,accepted,
2016-01-04,FIBR3.SA,accepted,
2016-01-04,LREN3.SA,accepted,
2016-01-04,KLBN11.SA,blocked,unsupported_share_class:UNT     N2
2016-01-04,PCAR4.SA,blocked,Missing annual/current/comparative CVM value for 3.01 of PCAR4.SA
2016-01-04,HYPE3.SA,accepted,
2016-01-04,BRKM5.SA,blocked,ambiguous_preferred_class_share_count
2016-01-04,RADL3.SA,accepted,
2016-01-04,EMBR3.SA,accepted,
2016-01-04,EQTL3.SA,accepted,
2016-01-04,GGBR4.SA,accepted,
2016-01-04,BBDC3.SA,blocked,ambiguous_ordinary_share_count
2016-01-04,LAME4.SA,accepted,
2016-01-04,BRML3.SA,blocked,ambiguous_ordinary_share_count
2016-01-04,CMIG4.SA,accepted,
2016-01-04,CSNA3.SA,accepted,
2016-01-04,WEGE3.SA,blocked,ambiguous_ordinary_share_count
2016-01-04,QUAL3.SA,accepted,
2016-01-04,SMLE3.SA,accepted,
2016-01-04,TBLE3.SA,accepted,
2016-01-04,NATU3.SA,accepted,
2016-01-04,MULT3.SA,accepted,
2016-01-04,CSAN3.SA,accepted,
2016-01-04,USIM5.SA,accepted,
2016-01-04,CYRE3.SA,accepted,
2016-01-04,RENT3.SA,accepted,
2016-01-04,SULA11.SA,blocked,unsupported_share_class:UNT     N2
2016-01-04,BRPR3.SA,accepted,
2016-01-04,GOAU4.SA,accepted,
2016-01-04,ESTC3.SA,accepted,
2016-01-04,SBSP3.SA,accepted,
2016-01-04,ENBR3.SA,accepted,
2016-01-04,CPFE3.SA,accepted,
2016-01-04,MRVE3.SA,accepted,
2016-01-04,CPLE6.SA,accepted,
2016-01-04,SANB11.SA,blocked,unsupported_share_class:UNT EDJ
2016-01-04,TOTS3.SA,blocked,no_fre_share_count
2016-01-04,BRAP4.SA,accepted,
2016-01-04,PSSA3.SA,accepted,
2016-01-04,VLID3.SA,accepted,
2016-01-04,ECOR3.SA,accepted,
2016-01-04,ELET6.SA,blocked,ambiguous_preferred_class_share_count
2016-01-04,OIBR4.SA,accepted,
2016-01-04,TAEE11.SA,blocked,unsupported_share_class:UNT EDJ N2
2016-01-04,MRFG3.SA,accepted,
2016-01-04,CESP6.SA,blocked,ambiguous_preferred_class_share_count
2016-01-04,BRSR6.SA,accepted,
2016-01-04,BEEF3.SA,accepted,
2016-01-04,RUMO3.SA,accepted,
2016-01-04,MDIA3.SA,accepted,
2016-01-04,ELET3.SA,accepted,
2016-01-04,MPLU3.SA,blocked,Missing annual/current/comparative CVM value for 3.01 of MPLU3.SA
2016-01-04,HGTX3.SA,blocked,ambiguous_ordinary_share_count
2016-01-04,DTEX3.SA,blocked,no_fre_share_count
2016-01-04,SMTO3.SA,blocked,ambiguous_ordinary_share_count
2016-01-04,LIGT3.SA,accepted,
2016-01-04,GFSA3.SA,accepted,
2016-01-04,MYPK3.SA,accepted,
2016-01-04,POMO4.SA,accepted,
2016-01-04,EZTC3.SA,blocked,ambiguous_ordinary_share_count
2016-01-04,QGEP3.SA,blocked,Missing annual/current/comparative CVM value for 3.01 of QGEP3.SA
2016-01-04,ELPL4.SA,accepted,
2016-01-04,LAME3.SA,accepted,
2016-01-04,TIET11.SA,blocked,unsupported_share_class:UNT     N2
2016-01-04,OIBR3.SA,accepted,
2016-01-04,ANIM3.SA,accepted,
2016-01-04,CVCB3.SA,accepted,
2016-01-04,ALSC3.SA,accepted,
2016-01-04,SLCE3.SA,accepted,
2016-01-04,TCSA3.SA,accepted,
2016-01-04,ALPA4.SA,accepted,
2016-01-04,LEVE3.SA,accepted,
2016-01-04,EVEN3.SA,accepted,
2016-01-04,GRND3.SA,accepted,
2016-01-04,MGLU3.SA,accepted,
2016-01-04,GOLL4.SA,accepted,
2016-01-04,PRML3.SA,accepted,
2016-01-04,SEDU3.SA,accepted,
2016-01-04,ARTR3.SA,accepted,
2016-01-04,FLRY3.SA,accepted,
2016-01-04,CSMG3.SA,accepted,
2016-01-04,ITUB3.SA,accepted,
2016-01-04,MILS3.SA,accepted,
2016-01-04,RAPT4.SA,accepted,
2016-01-04,ALUP11.SA,blocked,unsupported_share_class:UNT     N2
2016-01-04,ABCB4.SA,accepted,
2016-01-04,RSID3.SA,accepted,
2016-01-04,SEER3.SA,accepted,
2016-01-04,STBP11.SA,blocked,unsupported_share_class:UNT EJ  N2
2016-01-04,RLOG3.SA,accepted,
2016-01-04,GGBR3.SA,accepted,
2016-01-04,DIRR3.SA,blocked,ambiguous_ordinary_share_count
2016-01-04,CPLE3.SA,accepted,
2016-01-04,BRIN3.SA,accepted,
2016-01-04,MAGG3.SA,accepted,
2016-01-04,HBOR3.SA,accepted,
2016-01-04,CGAS5.SA,blocked,ambiguous_preferred_class_share_count
2016-01-04,SLED4.SA,accepted,
2016-01-04,FESA4.SA,accepted,
2016-01-04,CMIG3.SA,accepted,
2016-01-04,AGRO3.SA,accepted,
2016-01-04,OFSA3.SA,accepted,
2016-01-04,LOGN3.SA,accepted,
2016-01-04,KEPL3.SA,accepted,
2016-01-04,LLIS3.SA,accepted,
2016-01-04,ALPA3.SA,accepted,
2016-01-04,PNVL3.SA,accepted,
2016-01-04,BPHA3.SA,accepted,
2016-01-04,GEPA4.SA,accepted,
2016-01-04,TERI3.SA,accepted,
2016-01-04,VIVT3.SA,accepted,
2016-01-04,LPSB3.SA,blocked,ambiguous_ordinary_share_count
2016-01-04,PDGR3.SA,accepted,
2016-01-04,TGMA3.SA,accepted,
2016-01-04,COCE5.SA,blocked,no_fre_share_count
2016-01-04,GOAU3.SA,accepted,
2016-01-04,MEAL3.SA,accepted,
2016-01-04,JSLG3.SA,accepted,
2016-01-04,TPIS3.SA,accepted,
2016-01-04,LCAM3.SA,accepted,
2016-01-04,ENEV3.SA,accepted,
2016-01-04,SAPR4.SA,accepted,
2016-01-04,ETER3.SA,accepted,
2016-01-04,KLBN4.SA,accepted,
2016-01-04,AMAR3.SA,accepted,
2016-01-04,BPAN4.SA,accepted,
2016-01-04,JHSF3.SA,accepted,
2016-01-04,SCAR3.SA,accepted,
2016-01-04,DASA3.SA,accepted,
2016-01-04,PRBC4.SA,blocked,ambiguous_preferred_share_count
2016-01-04,FRAS3.SA,accepted,
2016-01-04,RNEW11.SA,blocked,unsupported_share_class:UNT     N2
2016-01-04,TECN3.SA,accepted,
2016-01-04,ITSA3.SA,accepted,
2016-01-04,PTBL3.SA,accepted,
2016-01-04,PFRM3.SA,blocked,Missing annual/current/comparative CVM value for 3.01 of PFRM3.SA
2016-01-04,GSHP3.SA,accepted,
2016-01-04,CLSC4.SA,accepted,
2016-01-04,PRIO3.SA,accepted,
2016-01-04,TRIS3.SA,accepted,
2016-01-04,USIM3.SA,accepted,
2016-01-04,BRAP3.SA,accepted,
2016-01-04,UNIP6.SA,accepted,
2016-01-04,POMO3.SA,accepted,
2016-01-04,BRKM3.SA,accepted,
2016-01-04,TCNO4.SA,blocked,no_fre_share_count
2016-01-04,OGXP3.SA,blocked,no_fre_share_count
2016-01-04,ROMI3.SA,accepted,
2016-01-04,SHUL4.SA,accepted,
2016-01-04,ENGI11.SA,blocked,unsupported_share_class:UNT
2016-01-04,CCXC3.SA,accepted,
2016-01-04,CARD3.SA,accepted,
2016-01-04,SHOW3.SA,blocked,ambiguous_ordinary_share_count
2016-01-04,BGIP4.SA,accepted,
2016-01-04,CESP3.SA,accepted,
2016-01-04,RPMG3.SA,blocked,no_fre_share_count
2016-01-04,UCAS3.SA,accepted,
2016-01-04,FHER3.SA,accepted,
2016-01-04,PEAB3.SA,accepted,
2016-01-04,SANB3.SA,accepted,
2016-01-04,SANB4.SA,accepted,
2016-01-04,EUCA4.SA,accepted,
