decision_date,ticker,status,reason
2012-01-02,ABCB4.SA,blocked,no_fre_share_count
2012-01-02,ABRE11.SA,blocked,unsupported_share_class:UNT     N2
2012-01-02,AEDU3.SA,accepted,
2012-01-02,AELP3.SA,accepted,
2012-01-02,AFLT3.SA,accepted,
2012-01-02,AGRO3.SA,blocked,'DataFrame' object has no attribute 'CNPJ_CIA'
2012-01-02,ALLL3.SA,accepted,
2012-01-02,ALPA4.SA,accepted,
2012-01-02,ALSC3.SA,accepted,
2012-01-02,AMAR3.SA,accepted,
2012-01-02,AMBV3.SA,accepted,
2012-01-02,AMBV4.SA,accepted,
2012-01-02,AMIL3.SA,blocked,ambiguous_ordinary_share_count
2012-01-02,AUTM3.SA,accepted,
2012-01-02,BAUH4.SA,accepted,
2012-01-02,BAZA3.SA,blocked,no_fre_share_count
2012-01-02,BBAS3.SA,accepted,
2012-01-02,BBDC3.SA,accepted,
2012-01-02,BBDC4.SA,accepted,
2012-01-02,BDLL4.SA,accepted,
2012-01-02,BEEF3.SA,accepted,
2012-01-02,BEES3.SA,blocked,Missing annual/current/comparative CVM value for 3.13 of BEES3.SA
2012-01-02,BEES4.SA,blocked,Missing annual/current/comparative CVM value for 3.13 of BEES4.SA
2012-01-02,BEMA3.SA,accepted,
2012-01-02,BHGR3.SA,accepted,
2012-01-02,BICB4.SA,accepted,
2012-01-02,BISA3.SA,accepted,
2012-01-02,BMEB4.SA,accepted,
2012-01-02,BMIN4.SA,accepted,
2012-01-02,BMTO4.SA,accepted,
2012-01-02,BNBR4.SA,accepted,
2012-01-02,BPHA3.SA,blocked,no_fre_share_count
2012-01-02,BPNM4.SA,blocked,ambiguous_preferred_share_count
2012-01-02,BRAP3.SA,accepted,
2012-01-02,BRAP4.SA,accepted,
2012-01-02,BRFS3.SA,accepted,
2012-01-02,BRGE3.SA,blocked,no_fre_share_count
2012-01-02,BRIN3.SA,blocked,ambiguous_ordinary_share_count
2012-01-02,BRIV3.SA,blocked,no_fre_share_count
2012-01-02,BRIV4.SA,blocked,no_fre_share_count
2012-01-02,BRKM3.SA,accepted,
2012-01-02,BRKM5.SA,blocked,ambiguous_preferred_class_share_count
2012-01-02,BRML3.SA,blocked,Missing annual/current/comparative CVM value for 3.01 of BRML3.SA
2012-01-02,BRPR3.SA,blocked,no_fre_share_count
2012-01-02,BRSR5.SA,accepted,
2012-01-02,BRSR6.SA,accepted,
2012-01-02,BSLI3.SA,accepted,
2012-01-02,BSLI4.SA,accepted,
2012-01-02,CARD3.SA,accepted,
2012-01-02,CBEE3.SA,accepted,
2012-01-02,CBMA4.SA,accepted,
2012-01-02,CCIM3.SA,accepted,
2012-01-02,CEBR3.SA,blocked,No ITR available by 2012-01-02 for CEBR3.SA
2012-01-02,CEPE6.SA,accepted,
2012-01-02,CESP6.SA,accepted,
2012-01-02,CGAS3.SA,accepted,
