decision_date,ticker,status,reason
2012-01-01,ABEV3.SA,blocked,No market snapshot for ABEV3.SA at 2012-01-01
2012-01-01,BBAS3.SA,accepted,
2012-01-01,BBDC4.SA,accepted,
2012-01-01,ITUB4.SA,accepted,
2012-01-01,PETR4.SA,accepted,
2012-01-01,RENT3.SA,accepted,
2012-01-01,VALE3.SA,accepted,
2012-01-01,WEGE3.SA,accepted,
2013-01-01,ABEV3.SA,blocked,No market snapshot for ABEV3.SA at 2013-01-01
2013-01-01,BBAS3.SA,blocked,No market snapshot for BBAS3.SA at 2013-01-01
2013-01-01,BBDC4.SA,accepted,
2013-01-01,ITUB4.SA,blocked,No market snapshot for ITUB4.SA at 2013-01-01
2013-01-01,PETR4.SA,accepted,
2013-01-01,RENT3.SA,accepted,
2013-01-01,VALE3.SA,accepted,
2013-01-01,WEGE3.SA,accepted,
2014-01-01,ABEV3.SA,blocked,No market snapshot for ABEV3.SA at 2014-01-01
2014-01-01,BBAS3.SA,accepted,
2014-01-01,BBDC4.SA,accepted,
2014-01-01,ITUB4.SA,accepted,
2014-01-01,PETR4.SA,accepted,
2014-01-01,RENT3.SA,blocked,No market snapshot for RENT3.SA at 2014-01-01
2014-01-01,VALE3.SA,accepted,
2014-01-01,WEGE3.SA,accepted,
2015-01-01,ABEV3.SA,accepted,
2015-01-01,BBAS3.SA,accepted,
2015-01-01,BBDC4.SA,accepted,
2015-01-01,ITUB4.SA,accepted,
2015-01-01,PETR4.SA,accepted,
2015-01-01,RENT3.SA,accepted,
2015-01-01,VALE3.SA,accepted,
2015-01-01,WEGE3.SA,blocked,No market snapshot for WEGE3.SA at 2015-01-01
2016-01-01,ABEV3.SA,accepted,
2016-01-01,BBAS3.SA,accepted,
2016-01-01,BBDC4.SA,blocked,No market snapshot for BBDC4.SA at 2016-01-01
2016-01-01,ITUB4.SA,accepted,
2016-01-01,PETR4.SA,accepted,
2016-01-01,RENT3.SA,accepted,
2016-01-01,VALE3.SA,accepted,
2016-01-01,WEGE3.SA,blocked,No market snapshot for WEGE3.SA at 2016-01-01
2017-01-01,ABEV3.SA,accepted,
2017-01-01,BBAS3.SA,accepted,
2017-01-01,BBDC4.SA,accepted,
2017-01-01,ITUB4.SA,accepted,
2017-01-01,PETR4.SA,accepted,
2017-01-01,RENT3.SA,accepted,
2017-01-01,VALE3.SA,accepted,
2017-01-01,WEGE3.SA,accepted,
2018-01-01,ABEV3.SA,accepted,
2018-01-01,BBAS3.SA,accepted,
2018-01-01,BBDC4.SA,accepted,
2018-01-01,ITUB4.SA,accepted,
2018-01-01,PETR4.SA,accepted,
2018-01-01,RENT3.SA,accepted,
2018-01-01,VALE3.SA,accepted,
2018-01-01,WEGE3.SA,accepted,
2019-01-01,ABEV3.SA,accepted,
2019-01-01,BBAS3.SA,accepted,
2019-01-01,BBDC4.SA,accepted,
2019-01-01,ITUB4.SA,accepted,
2019-01-01,PETR4.SA,accepted,
2019-01-01,RENT3.SA,accepted,
2019-01-01,VALE3.SA,accepted,
2019-01-01,WEGE3.SA,accepted,
2020-01-01,ABEV3.SA,accepted,
2020-01-01,BBAS3.SA,accepted,
2020-01-01,BBDC4.SA,accepted,
2020-01-01,ITUB4.SA,accepted,
2020-01-01,PETR4.SA,accepted,
2020-01-01,RENT3.SA,accepted,
2020-01-01,VALE3.SA,accepted,
2020-01-01,WEGE3.SA,accepted,
2021-01-01,ABEV3.SA,accepted,
2021-01-01,BBAS3.SA,accepted,
2021-01-01,BBDC4.SA,accepted,
2021-01-01,ITUB4.SA,accepted,
2021-01-01,PETR4.SA,accepted,
2021-01-01,RENT3.SA,accepted,
2021-01-01,VALE3.SA,accepted,
2021-01-01,WEGE3.SA,accepted,
2022-01-01,ABEV3.SA,accepted,
2022-01-01,BBAS3.SA,accepted,
2022-01-01,BBDC4.SA,accepted,
2022-01-01,ITUB4.SA,accepted,
2022-01-01,PETR4.SA,accepted,
2022-01-01,RENT3.SA,accepted,
2022-01-01,VALE3.SA,accepted,
2022-01-01,WEGE3.SA,accepted,
2023-01-01,ABEV3.SA,accepted,
2023-01-01,BBAS3.SA,accepted,
2023-01-01,BBDC4.SA,accepted,
2023-01-01,ITUB4.SA,accepted,
2023-01-01,PETR4.SA,accepted,
2023-01-01,RENT3.SA,accepted,
2023-01-01,VALE3.SA,accepted,
2023-01-01,WEGE3.SA,accepted,
2024-01-01,ABEV3.SA,accepted,
2024-01-01,BBAS3.SA,accepted,
2024-01-01,BBDC4.SA,accepted,
2024-01-01,ITUB4.SA,accepted,
2024-01-01,PETR4.SA,accepted,
2024-01-01,RENT3.SA,accepted,
2024-01-01,VALE3.SA,accepted,
2024-01-01,WEGE3.SA,accepted,
2025-01-01,ABEV3.SA,accepted,
2025-01-01,BBAS3.SA,accepted,
2025-01-01,BBDC4.SA,accepted,
2025-01-01,ITUB4.SA,accepted,
2025-01-01,PETR4.SA,accepted,
2025-01-01,RENT3.SA,accepted,
2025-01-01,VALE3.SA,blocked,No market snapshot for VALE3.SA at 2025-01-01
2025-01-01,WEGE3.SA,accepted,
