decision_date,ticker,status,reason
2012-01-01,PETR4.SA,accepted,
2012-01-01,VALE3.SA,accepted,
2012-01-01,ITUB4.SA,accepted,
2012-01-01,BBDC4.SA,accepted,
2012-01-01,BBAS3.SA,accepted,
2012-01-01,ABEV3.SA,blocked,no_fre_share_count:ABEV3.SA
2012-01-01,WEGE3.SA,accepted,
2012-01-01,RENT3.SA,accepted,
2013-01-01,PETR4.SA,accepted,
2013-01-01,VALE3.SA,accepted,
2013-01-01,ITUB4.SA,blocked,ambiguous_or_missing_share_class:ITUB4.SA:17313
2013-01-01,BBDC4.SA,accepted,
2013-01-01,BBAS3.SA,blocked,ambiguous_or_missing_share_class:BBAS3.SA:18230
2013-01-01,ABEV3.SA,blocked,no_fre_share_count:ABEV3.SA
2013-01-01,WEGE3.SA,accepted,
2013-01-01,RENT3.SA,accepted,
2014-01-01,PETR4.SA,accepted,
2014-01-01,VALE3.SA,accepted,
2014-01-01,ITUB4.SA,accepted,
2014-01-01,BBDC4.SA,accepted,
2014-01-01,BBAS3.SA,accepted,
2014-01-01,ABEV3.SA,blocked,no_fre_share_count:ABEV3.SA
2014-01-01,WEGE3.SA,accepted,
2014-01-01,RENT3.SA,blocked,ambiguous_or_missing_share_class:RENT3.SA:28107
2015-01-01,PETR4.SA,accepted,
2015-01-01,VALE3.SA,accepted,
2015-01-01,ITUB4.SA,accepted,
2015-01-01,BBDC4.SA,accepted,
2015-01-01,BBAS3.SA,accepted,
2015-01-01,ABEV3.SA,accepted,
2015-01-01,WEGE3.SA,blocked,ambiguous_or_missing_share_class:WEGE3.SA:37196
2015-01-01,RENT3.SA,accepted,
2016-01-01,PETR4.SA,accepted,
2016-01-01,VALE3.SA,accepted,
2016-01-01,ITUB4.SA,accepted,
2016-01-01,BBDC4.SA,blocked,ambiguous_or_missing_share_class:BBDC4.SA:47285
2016-01-01,BBAS3.SA,accepted,
2016-01-01,ABEV3.SA,accepted,
2016-01-01,WEGE3.SA,blocked,ambiguous_or_missing_share_class:WEGE3.SA:47607
2016-01-01,RENT3.SA,accepted,
2017-01-01,PETR4.SA,accepted,
2017-01-01,VALE3.SA,accepted,
2017-01-01,ITUB4.SA,accepted,
2017-01-01,BBDC4.SA,accepted,
2017-01-01,BBAS3.SA,accepted,
2017-01-01,ABEV3.SA,accepted,
2017-01-01,WEGE3.SA,accepted,
2017-01-01,RENT3.SA,accepted,
2018-01-01,PETR4.SA,accepted,
2018-01-01,VALE3.SA,accepted,
2018-01-01,ITUB4.SA,accepted,
2018-01-01,BBDC4.SA,accepted,
2018-01-01,BBAS3.SA,accepted,
2018-01-01,ABEV3.SA,accepted,
2018-01-01,WEGE3.SA,accepted,
2018-01-01,RENT3.SA,accepted,
2019-01-01,PETR4.SA,accepted,
2019-01-01,VALE3.SA,accepted,
2019-01-01,ITUB4.SA,accepted,
2019-01-01,BBDC4.SA,accepted,
2019-01-01,BBAS3.SA,accepted,
2019-01-01,ABEV3.SA,accepted,
2019-01-01,WEGE3.SA,accepted,
2019-01-01,RENT3.SA,accepted,
2020-01-01,PETR4.SA,accepted,
2020-01-01,VALE3.SA,accepted,
2020-01-01,ITUB4.SA,accepted,
2020-01-01,BBDC4.SA,accepted,
2020-01-01,BBAS3.SA,accepted,
2020-01-01,ABEV3.SA,accepted,
2020-01-01,WEGE3.SA,accepted,
2020-01-01,RENT3.SA,accepted,
2021-01-01,PETR4.SA,accepted,
2021-01-01,VALE3.SA,accepted,
2021-01-01,ITUB4.SA,accepted,
2021-01-01,BBDC4.SA,accepted,
2021-01-01,BBAS3.SA,accepted,
2021-01-01,ABEV3.SA,accepted,
2021-01-01,WEGE3.SA,accepted,
2021-01-01,RENT3.SA,accepted,
2022-01-01,PETR4.SA,accepted,
2022-01-01,VALE3.SA,accepted,
2022-01-01,ITUB4.SA,accepted,
2022-01-01,BBDC4.SA,accepted,
2022-01-01,BBAS3.SA,accepted,
2022-01-01,ABEV3.SA,accepted,
2022-01-01,WEGE3.SA,accepted,
2022-01-01,RENT3.SA,accepted,
2023-01-01,PETR4.SA,accepted,
2023-01-01,VALE3.SA,accepted,
2023-01-01,ITUB4.SA,accepted,
2023-01-01,BBDC4.SA,accepted,
2023-01-01,BBAS3.SA,accepted,
2023-01-01,ABEV3.SA,accepted,
2023-01-01,WEGE3.SA,accepted,
2023-01-01,RENT3.SA,accepted,
2024-01-01,PETR4.SA,accepted,
2024-01-01,VALE3.SA,accepted,
2024-01-01,ITUB4.SA,accepted,
2024-01-01,BBDC4.SA,accepted,
2024-01-01,BBAS3.SA,accepted,
2024-01-01,ABEV3.SA,accepted,
2024-01-01,WEGE3.SA,accepted,
2024-01-01,RENT3.SA,accepted,
2025-01-01,PETR4.SA,accepted,
2025-01-01,VALE3.SA,blocked,ambiguous_or_missing_share_class:VALE3.SA:137025
2025-01-01,ITUB4.SA,accepted,
2025-01-01,BBDC4.SA,accepted,
2025-01-01,BBAS3.SA,accepted,
2025-01-01,ABEV3.SA,accepted,
2025-01-01,WEGE3.SA,accepted,
2025-01-01,RENT3.SA,accepted,
