rule,average_weight,average_turnover,months,cagr,annual_volatility,sharpe_vs_cash,max_drawdown,months_beating_cash,cagr_after_tax,excess_vs_static_annual,excess_p_value
oracle_binary,0.5213414634146342,0.6040559217269272,82,0.6279070572113825,0.16890875613407938,2.5006641334392494,0.0,45,0.5657912287548843,0.35131456943878236,6.390816141734371e-15
oracle_continuous,0.44147192701405624,0.5279269732138111,82,0.6172534446680065,0.1697881167493431,2.4488621164429354,0.0,44,0.5534758548903398,0.3446166551423616,3.4473724230808315e-14
linear_trailing_12m,0.5499999999999998,0.02233058370716943,82,0.15588788130934095,0.1625893216267615,0.44418781817542285,-0.2178838559212074,45,0.15316422829231846,0.0,
linear_above_trend,0.5499999999999998,0.02233058370716943,82,0.15588788130934095,0.1625893216267615,0.44418781817542285,-0.2178838559212074,45,0.15316422829231846,0.0,
static,0.5499999999999998,0.02233058370716943,82,0.15588788130934095,0.1625893216267615,0.44418781817542285,-0.2178838559212074,45,0.15316422829231846,,
linear_market_trailing_12m,0.5499999999999998,0.02233058370716943,82,0.15588788130934095,0.1625893216267615,0.44418781817542285,-0.2178838559212074,45,0.15316422829231846,0.0,
linear_drawdown,0.5499999999999998,0.02233058370716943,82,0.15588788130934095,0.1625893216267615,0.44418781817542285,-0.2178838559212074,45,0.15316422829231846,0.0,
linear_short_volatility,0.5436047935621853,0.06013956631279876,82,0.15298521541392507,0.15957087745927573,0.43344840744946544,-0.2178838559212074,45,0.14637408886755,-0.0030234211787988283,0.7253269952698695
volatility_target,0.6237392828632199,0.0502311307373419,82,0.09876653950914838,0.20590464774645093,0.15183563594159497,-0.372600197012668,45,0.09322126430328814,-0.04112131438853568,0.11978194429037452
reference_CDI,0.0,0.0,82,0.09017768751151034,0.012172895789904674,,0.0,0,,,
reference_BOVA11,1.0,0.0,82,0.08781501594356578,0.21989941568068094,0.10609747222616664,-0.3929446812346862,47,,,
mean_variance,0.13183726175369767,0.03281107240933568,82,0.0856809188251424,0.05964179494850287,-0.04071871780495269,-0.14251954418540813,40,0.0832703923210889,-0.07467515475628811,0.12301909358377236
reference_IBOVESPA,1.0,0.0,82,0.08557539079017618,0.21634062420493486,0.0936954603458949,-0.3841768367997481,46,,,
