date,static,volatility_target,mean_variance,linear_trailing_12m,linear_above_trend,linear_drawdown,linear_market_trailing_12m,linear_short_volatility,oracle_binary,oracle_continuous
2019-03-31,0.55,0.6236342887123815,0.21692834248137374,0.55,0.55,0.55,0.55,0.55,0.95,0.95
2019-04-30,0.55,0.6235011162153175,0.2875111080884845,0.55,0.55,0.55,0.55,0.55,0.0,0.0
2019-05-31,0.55,0.5962063124403554,0.3058425637687772,0.55,0.55,0.55,0.55,0.55,0.95,0.95
2019-06-30,0.55,0.642353966213371,0.4348759243105969,0.55,0.55,0.55,0.55,0.55,0.95,0.6205874958701945
2019-07-31,0.55,0.6410897603227159,0.47996519634494056,0.55,0.55,0.55,0.55,0.55,0.95,0.95
2019-08-31,0.55,0.6395084252145957,0.4766375615139016,0.55,0.55,0.55,0.55,0.55,0.0,0.0
2019-09-30,0.55,0.6444651933622141,0.4420929560452825,0.55,0.55,0.55,0.55,0.55,0.0,0.0
2019-10-31,0.55,0.6330127367808935,0.40228332506702447,0.55,0.55,0.55,0.55,0.55,0.95,0.95
2019-11-30,0.55,1.508676906170613,0.3903836159569729,0.55,0.55,0.55,0.55,0.55,0.0,0.0
2019-12-31,0.55,1.4333069232830213,0.4444744567194953,0.55,0.55,0.55,0.55,0.55,0.95,0.95
2020-01-31,0.55,1.3626513689784188,0.46340167209406613,0.55,0.55,0.55,0.55,0.55,0.95,0.7817102235865814
2020-02-29,0.55,1.3609864625586803,0.4384503793468285,0.55,0.55,0.55,0.55,0.55,0.0,0.0
2020-03-31,0.55,1.2134179789610413,0.3494240105615777,0.55,0.55,0.55,0.55,0.55,0.0,0.0
2020-04-30,0.55,0.4478019754481366,0.059762500662890815,0.55,0.55,0.55,0.55,0.55,0.95,0.95
2020-05-31,0.55,0.3883702057000719,0.09260913017271588,0.55,0.55,0.55,0.55,0.9077152729859492,0.0,0.0
2020-06-30,0.55,0.39524134389038956,0.11671547794228365,0.55,0.55,0.55,0.55,0.8696211663630493,0.95,0.95
2020-07-31,0.55,0.3918463971373682,0.12659004380805036,0.55,0.55,0.55,0.55,0.624785681418978,0.95,0.95
2020-08-31,0.55,0.3866964959474573,0.13676870392773108,0.55,0.55,0.55,0.55,0.43165978844456643,0.95,0.95
2020-09-30,0.55,0.37794082448359806,0.165674930005032,0.55,0.55,0.55,0.55,0.45509476904854507,0.0,0.0
2020-10-31,0.55,0.37000465978737734,0.14483310084092277,0.55,0.55,0.55,0.55,0.6109727664845221,0.0,0.0
2020-11-30,0.55,0.3728172273317938,0.09371228198615486,0.55,0.55,0.55,0.55,0.6099190913388497,0.95,0.95
2020-12-31,0.55,0.3513260524257007,0.11950290093608153,0.55,0.55,0.55,0.55,0.7628165795008499,0.95,0.8782157994535355
2021-01-31,0.55,0.35576423891711856,0.11427633198506622,0.55,0.55,0.55,0.55,0.6841893027225638,0.0,0.0
2021-02-28,0.55,0.3574021316138629,0.10723078577029568,0.55,0.55,0.55,0.55,0.6105020895463437,0.95,0.43848542139390867
2021-03-31,0.55,0.3751542138828707,0.09239588232464799,0.55,0.55,0.55,0.55,0.3275928475006564,0.95,0.95
2021-04-30,0.55,0.5963362533830693,0.10441660263724496,0.55,0.55,0.55,0.55,0.5437030550562444,0.95,0.95
2021-05-31,0.55,0.6659360843534845,0.12185373176468159,0.55,0.55,0.55,0.55,0.5182463976027374,0.0,0.0
2021-06-30,0.55,0.6398345008939136,0.10480175367183489,0.55,0.55,0.55,0.55,0.5355753627202946,0.0,0.0
2021-07-31,0.55,0.6221673544051731,0.09478457412184134,0.55,0.55,0.55,0.55,0.4968182942817883,0.95,0.8254226967777233
2021-08-31,0.55,0.6300429448455225,0.09098067168414249,0.55,0.55,0.55,0.55,0.4536126604577926,0.0,0.0
2021-09-30,0.55,0.6309440094906276,0.0803860901530566,0.55,0.55,0.55,0.55,0.4764942331190303,0.95,0.95
2021-10-31,0.55,0.677289347355623,0.09893418452934268,0.55,0.55,0.55,0.55,0.5168034936428862,0.95,0.0981980245005128
2021-11-30,0.55,0.719157005513483,0.09271758407986427,0.55,0.55,0.55,0.55,0.5164562775890693,0.0,0.0
2021-12-31,0.55,0.9224034308798922,0.08560168374729844,0.55,0.55,0.55,0.55,0.5015897273597979,0.95,0.15669531363672287
2022-01-31,0.55,0.9209996188177024,0.07180809074711858,0.55,0.55,0.55,0.55,0.4512971774911929,0.0,0.0
2022-02-28,0.55,0.8781120088212351,0.05557215001434235,0.55,0.55,0.55,0.55,0.4624202209162324,0.0,0.0
2022-03-31,0.55,0.8141242371849194,0.05310202533777781,0.55,0.55,0.55,0.55,0.40993250971685913,0.95,0.95
2022-04-30,0.55,0.8263527038502408,0.27701673942334654,0.55,0.55,0.55,0.55,0.60234574628178,0.0,0.0
2022-05-31,0.55,0.8488869869935692,0.2172368416264892,0.55,0.55,0.55,0.55,0.6025165454177441,0.95,0.045270997725018615
2022-06-30,0.55,0.8459322964289957,0.22182527941685765,0.55,0.55,0.55,0.55,0.5729907269725316,0.0,0.0
2022-07-31,0.55,0.7493509934941909,0.12527612584416128,0.55,0.55,0.55,0.55,0.511505661476097,0.95,0.95
2022-08-31,0.55,0.7267496634989076,0.11395602189545903,0.55,0.55,0.55,0.55,0.5562736492945498,0.0,0.0
2022-09-30,0.55,0.723859750961801,0.046191558989680005,0.55,0.55,0.55,0.55,0.554206082398658,0.0,0.0
2022-10-31,0.55,0.771232536820884,0.07810025128861772,0.55,0.55,0.55,0.55,0.5041945971497633,0.95,0.95
2022-11-30,0.55,0.7218725578541088,0.13217682875130585,0.55,0.55,0.55,0.55,0.4965958593532724,0.95,0.95
2022-12-31,0.55,0.5981083360486207,0.12011004292646668,0.55,0.55,0.55,0.55,0.5405221399400537,0.0,0.0
2023-01-31,0.55,0.5750487031405463,0.06118489814948835,0.55,0.55,0.55,0.55,0.5819750424660537,0.95,0.95
2023-02-28,0.55,0.5370300490069377,0.11279293441788053,0.55,0.55,0.55,0.55,0.598463370699761,0.0,0.0
2023-03-31,0.55,0.5128945786733626,0.04231887623777366,0.55,0.55,0.55,0.55,0.6151197268853891,0.0,0.0
2023-04-30,0.55,0.5760908858339183,-0.049795553665215216,0.55,0.55,0.55,0.55,0.6082619604477608,0.0,0.0
2023-05-31,0.55,0.5612297785206272,-0.12949087373258084,0.55,0.55,0.55,0.55,0.468397250871524,0.95,0.95
2023-06-30,0.55,0.515262729119337,-0.06543098315549183,0.55,0.55,0.55,0.55,0.5753900459083751,0.95,0.95
2023-07-31,0.55,0.5211142217179755,0.0018657450909234058,0.55,0.55,0.55,0.55,0.599414335740991,0.95,0.626763937995269
2023-08-31,0.55,0.5297185134177739,-0.000526787856311239,0.55,0.55,0.55,0.55,0.49920507244670864,0.0,0.0
