rule,average_weight,average_turnover,months,cagr,annual_volatility,sharpe_vs_cash,max_drawdown,months_beating_cash,cagr_after_tax,excess_vs_static_annual,excess_p_value
oracle_binary,0.5466981132075472,0.5214542551927724,106,0.635859806471812,0.17496835980830333,2.4612797368436565,0.0,61,0.5804590881806795,0.34375703182662504,2.9985823391258233e-19
oracle_continuous,0.476118041054366,0.46599689725382676,106,0.6256428123345315,0.1758460152385241,2.413343973101277,0.0,60,0.5682662020577138,0.33737463341890644,2.6701620617488754e-18
linear_drawdown,0.5599762287174771,0.020948335905215887,106,0.17276890351189245,0.16155809824571837,0.5529708449782118,-0.23222935791225152,61,0.17121247621777025,0.0010600218548939232,0.5858935380669364
linear_trailing_12m,0.5525079738937476,0.02140225269226393,106,0.17207838091102534,0.1595479586844915,0.5537997413631452,-0.22176289582081166,61,0.17047360829789282,8.572967147915482e-05,0.902444184006185
static,0.5499999999999998,0.0204963487654205,106,0.17204654844502487,0.15920340419223894,0.5544524373206184,-0.2178838555098691,61,0.17045210766262375,,
linear_market_trailing_12m,0.5499999999999998,0.0204963487654205,106,0.17204654844502487,0.15920340419223894,0.5544524373206184,-0.2178838555098691,61,0.17045210766262375,0.0,
linear_above_trend,0.5486005247343524,0.02412304957758995,106,0.16641414873598048,0.15387803861196026,0.5369137890267782,-0.20585360108030037,61,0.16464833881668217,-0.00573557440741174,0.417932769541545
linear_short_volatility,0.5184209761237732,0.11306520205279523,106,0.15623253463093412,0.15844179059461072,0.46816092557667655,-0.21211824229273601,61,0.1464852667897536,-0.013987705653471055,0.45021490451330565
volatility_target,0.5688200623991856,0.04381623068027608,106,0.127529007748163,0.1943684843483311,0.2941875395997625,-0.37260019687396195,61,0.12382477134519121,-0.031495988332494694,0.1547445339957988
reference_BOVA11,1.0,0.0,106,0.10390437927176288,0.2106440380561891,0.18386440985756564,-0.39294467754731266,59,,,
reference_IBOVESPA,1.0,0.0,106,0.10315619001444509,0.2079723215134013,0.17941584326584778,-0.3841768371465796,58,,,
mean_variance,0.12796504697148292,0.028353559868739293,106,0.09394917944474579,0.05429979125761201,0.14710683941750827,-0.14229597931845417,56,0.09194184423068053,-0.0807429881210302,0.05673306786483805
reference_CDI,0.0,0.0,106,0.08702049433609638,0.011112006091032788,,0.0,0,,,
