decision_year,ticker,portfolio_weight,holding_start,holding_end_exclusive,endpoint_archive_status,endpoint_reconstructed_return,published_adjusted_return,difference,absolute_difference,material_difference_over_5pp,events_applied,manual_events_during_holding,events_without_raw_session,note
2015,BBSE3,0.1099999987570072,2015-01-02,2016-01-04,compared_current_endpoint,-0.1565146775037649,-0.1528914281246811,-0.003623249379083815,0.003623249379083815,False,4,0,0,
2015,CIEL3,0.1099999971199235,2015-01-02,2016-01-04,compared_current_endpoint,-0.1386740352118746,-0.1340789781807104,-0.004595057031164196,0.004595057031164196,False,4,0,0,
2015,ITUB3,0.0692040759410716,2015-01-02,2016-01-04,blocked_material_difference,-0.16318959253839027,-0.0794242256634185,-0.08376536687497177,0.08376536687497177,True,16,0,0,The current endpoint archive does not reproduce the published adjusted return; this indicates an incomplete event history or a definition mismatch.
2015,ITUB4,0.0407958750601281,2015-01-02,2016-01-04,blocked_material_difference,-0.18158569895810028,-0.1003699246527715,-0.08121577430532878,0.08121577430532878,True,16,0,0,The current endpoint archive does not reproduce the published adjusted return; this indicates an incomplete event history or a definition mismatch.
2015,VLID3,0.1099999986762079,2015-01-02,2016-01-04,compared_current_endpoint,0.030196872248017037,0.03056157762985,-0.00036470538183296444,0.00036470538183296444,False,7,0,0,
2015,WEGE3,0.1099999981753918,2015-01-02,2016-01-04,blocked_material_difference,-0.5072691516360144,-0.0064211187692786,-0.5008480328667357,0.5008480328667357,True,6,0,0,The current endpoint archive does not reproduce the published adjusted return; this indicates an incomplete event history or a definition mismatch.
2016,ABEV3,0.1373994501082111,2016-01-04,2017-01-02,compared_current_endpoint,-0.011882942089744164,-0.0123291254266646,0.0004461833369204353,0.0004461833369204353,False,4,0,0,
2016,ENBR3,0.2399999977712374,2016-01-04,2017-01-02,blocked_material_difference,0.2998056007686247,0.2000461456651499,0.09975945510347484,0.09975945510347484,True,2,0,0,The current endpoint archive does not reproduce the published adjusted return; this indicates an incomplete event history or a definition mismatch.
2016,SANB3,0.2399999996398827,2016-01-04,2017-01-02,compared_current_endpoint,1.4975011348181058,1.4988959169042473,-0.0013947820861415217,0.0013947820861415217,False,3,0,0,
2016,SANB4,0.1326005516483127,2016-01-04,2017-01-02,compared_current_endpoint,0.5547378280652364,0.5557933455744537,-0.0010555175092172853,0.0010555175092172853,False,3,0,0,
2017,BRSR6,0.0163442145137853,2017-01-02,2018-01-02,compared_current_endpoint,0.46238646279074835,0.4618894935332827,0.0004969692574656737,0.0004969692574656737,False,5,0,0,
2017,CVCB3,0.0136557790136514,2017-01-02,2018-01-02,compared_current_endpoint,1.1315809442919758,1.1314626857628194,0.00011825852915636759,0.00011825852915636759,False,2,0,0,
2017,FLRY3,0.2399999980576597,2017-01-02,2018-01-02,compared_current_endpoint,0.735794185134097,0.7364341211801695,-0.0006399360460724868,0.0006399360460724868,False,3,0,0,
