decision_year,decision_date,ticker,previous_weight,new_weight,reason,decision_action,factor
2015,2015-01-02,BBDC4.SA,0.0,0.007521169999885138,entered_after_point_in_time_screen,entered,value_quality
2015,2015-01-02,BBSE3.SA,0.0,0.1499999998973945,entered_after_point_in_time_screen,entered,value_quality
2015,2015-01-02,ITSA4.SA,0.0,0.1277280783367847,entered_after_point_in_time_screen,entered,value_quality
2015,2015-01-02,ITUB3.SA,0.0,0.14999999979555634,entered_after_point_in_time_screen,entered,value_quality
2015,2015-01-02,ITUB4.SA,0.0,0.14999999911048292,entered_after_point_in_time_screen,entered,value_quality
2015,2015-01-02,TITULO_CDI,0.0,0.41475075050308646,defensive_residual_adjustment,entered,value_quality
2016,2016-01-04,BBDC4.SA,0.005465276848170082,4.548715595484493e-12,removed_by_constrained_allocator,exited,value_quality
2016,2016-01-04,BBSE3.SA,0.1288337634461733,1.0587166661830332e-11,removed_by_constrained_allocator,exited,value_quality
2016,2016-01-04,ITSA4.SA,0.11313565677654723,1.3770070674917089e-11,removed_by_constrained_allocator,exited,value_quality
2016,2016-01-04,ITUB3.SA,0.14000713179194738,5.276232579751702e-12,removed_by_constrained_allocator,exited,value_quality
2016,2016-01-04,ITUB4.SA,0.13682157347520307,1.1423302367354325e-11,removed_by_constrained_allocator,exited,value_quality
2016,2016-01-04,SANB3.SA,0.0,0.14999999998247593,entered_after_point_in_time_screen,entered,value_quality
2016,2016-01-04,SANB4.SA,0.0,0.14999999995593807,entered_after_point_in_time_screen,entered,value_quality
2016,2016-01-04,TITULO_CDI,0.4757365956325226,0.699999995342492,defensive_residual_adjustment,increased,value_quality
2017,2017-01-02,BBAS3.SA,9.932735580113254e-12,0.13820795534366256,entered_after_point_in_time_screen,entered,value_quality
2017,2017-01-02,BBDC4.SA,5.704471929254857e-12,0.14999999972145706,entered_after_point_in_time_screen,entered,value_quality
2017,2017-01-02,BRSR3.SA,4.421255899161672e-09,0.12239086317877604,entered_after_point_in_time_screen,entered,value_quality
2017,2017-01-02,BRSR6.SA,0.0,0.14999999997510707,entered_after_point_in_time_screen,entered,value_quality
2017,2017-01-02,SANB3.SA,0.26671502302071654,0.14999999999027888,rebalanced_after_point_in_time_review,reduced,value_quality
2017,2017-01-02,SANB4.SA,0.16605471844582434,0.08940118166626386,rebalanced_after_point_in_time_review,reduced,value_quality
2017,2017-01-02,TITULO_CDI,0.5672302540216001,0.20000000000088752,defensive_residual_adjustment,reduced,value_quality
2018,2018-01-02,BBAS3.SA,0.10683912430158297,7.725008346464579e-10,removed_by_constrained_allocator,exited,value_quality
