decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2015,2015-01-02,2016-01-04,-0.00502491343215683,504.3574222368589,0.0005043574222368588,-0.005529270854393689,1000000.0,994470.7291456063,0.41475075050308646,BBDC4.SA:0.75% | BBSE3.SA:15.00% | ITSA4.SA:12.77% | ITUB3.SA:15.00% | ITUB4.SA:15.00% | TITULO_CDI:41.48%,163,value_quality,0.5852492494969136,-0.04400436916392056,0.1313058205754336
2016,2016-01-04,2017-01-02,0.3797398131004899,1091.4398590491023,0.0010975082795919057,0.37864230482089795,994470.7291456063,1371019.4181062176,1.048526806671285,SANB3.SA:15.00% | SANB4.SA:15.00% | TITULO_CDI:70.00%,181,value_quality,0.30000000465750803,0.38548595958503645,0.13881531059776075
2017,2017-01-02,2018-01-02,0.4933693331963136,1987.7662995998226,0.0014498454750885399,0.49191948772122507,1371019.4181062176,2045450.5879168801,1.1211976276720073,BBAS3.SA:13.82% | BBDC4.SA:15.00% | BRSR3.SA:12.24% | BRSR6.SA:15.00% | SANB3.SA:15.00% | SANB4.SA:8.94% | TITULO_CDI:20.00%,190,value_quality,0.7999999999991124,0.4975665810163126,0.09485614678200971
2018,2018-01-02,2019-01-02,0.09386785525066355,6560.715784848263,0.003207467256165695,0.09066038799449785,2045450.5879168801,2230891.931840998,0.9230013092322005,BPAC3.SA:15.00% | BRSR3.SA:15.00% | BRSR6.SA:8.49% | ITSA3.SA:11.51% | QUAL3.SA:15.00% | SANB4.SA:15.00% | TITULO_CDI:20.00%,201,value_quality,0.7999999998790406,0.10124407866560517,0.06367037319283275
2019,2019-01-02,2020-01-02,0.17784960438023356,5441.830944594771,0.0024393072864376765,0.17541029709379588,2230891.931840998,2622213.3483893797,0.6213414915894164,BBAS3.SA:5.00% | BRSR6.SA:15.00% | IRBR3.SA:15.00% | ITSA3.SA:15.00% | PSSA3.SA:15.00% | SANB4.SA:15.00% | TITULO_CDI:20.00%,211,value_quality,0.7999999999380917,0.18114884354178906,0.05915681006147966
2020,2020-01-02,2021-01-04,-0.15103524732831786,9058.451930844394,0.00345450607076205,-0.15448975339907992,2622213.3483893797,2217108.254836929,1.3353377997583882,ABCB4.SA:12.34% | BBDC3.SA:5.82% | BBSE3.SA:15.00% | BPAC3.SA:15.00% | IRBR3.SA:15.00% | QUAL3.SA:15.00% | SANB3.SA:1.84% | TITULO_CDI:20.00%,225,value_quality,0.7999999999737887,-0.15545145786280462,0.027325854367195035
2021,2021-01-04,2022-01-03,0.23519849373970603,4184.602197589816,0.0018874144681300634,0.23331107927157596,2217108.254836929,2734384.1746348534,1.0600296256362909,BPAC3.SA:15.00% | BSLI3.SA:15.00% | SANB4.SA:15.00% | TITULO_CDI:55.00%,239,value_quality,0.4500000279309702,0.21956018045604012,0.04379550070628868
2022,2022-01-03,2023-01-02,0.07116558873421663,1861.4182964375718,0.0006807449785969244,0.07048484375561971,2734384.1746348534,2927116.8159518302,0.35813027974735123,BPAC3.SA:15.00% | BSLI3.SA:15.00% | TITULO_CDI:70.00%,271,value_quality,0.29999999707410274,0.07059150014203883,0.12294915546054419
2023,2023-01-02,2024-01-02,0.29431945056025177,9626.60084746618,0.0032887655166354652,0.2910306850436163,2927116.8159518302,3778997.62810098,1.0696129951813682,ABCB4.SA:15.00% | BBAS3.SA:15.00% | BBSE3.SA:15.00% | ITUB4.SA:8.48% | TITULO_CDI:46.52%,312,value_quality,0.5348064980145895,0.36477880160181475,0.129326575852571
2024,2024-01-02,2025-01-02,-0.00467598670133984,13826.87946255271,0.0036588748719329008,-0.00833486157327274,3778997.62810098,3747500.205985032,1.2999996759344077,BBAS3.SA:15.00% | BEES3.SA:15.00% | BPAC3.SA:15.00% | BRSR3.SA:1.25% | BRSR6.SA:15.00% | CXSE3.SA:15.00% | ITUB3.SA:3.75% | TITULO_CDI:20.00%,319,value_quality,0.79999999996684,-0.006120431169970056,0.04189391442617829
