decision_date,ticker,status,reason
2026-01-02,VALE3.SA,accepted,
2026-01-02,PETR4.SA,accepted,
2026-01-02,ITUB4.SA,accepted,
2026-01-02,BBDC4.SA,accepted,
2026-01-02,BBAS3.SA,accepted,
2026-01-02,B3SA3.SA,accepted,
2026-01-02,BPAC11.SA,blocked,unsupported_share_class:UNT EJ  N2
2026-01-02,SBSP3.SA,accepted,
2026-01-02,WEGE3.SA,accepted,
2026-01-02,ABEV3.SA,accepted,
2026-01-02,PETR3.SA,accepted,
2026-01-02,EQTL3.SA,accepted,
2026-01-02,RENT3.SA,accepted,
2026-01-02,ITSA4.SA,accepted,
2026-01-02,PRIO3.SA,accepted,
2026-01-02,SUZB3.SA,accepted,
2026-01-02,LREN3.SA,accepted,
2026-01-02,RDOR3.SA,accepted,
2026-01-02,RAIL3.SA,accepted,
2026-01-02,VBBR3.SA,accepted,
2026-01-02,RADL3.SA,accepted,
2026-01-02,CSAN3.SA,accepted,
2026-01-02,HAPV3.SA,accepted,
2026-01-02,GGBR4.SA,accepted,
2026-01-02,ENEV3.SA,accepted,
2026-01-02,MGLU3.SA,accepted,
2026-01-02,BBSE3.SA,accepted,
2026-01-02,CYRE3.SA,accepted,
2026-01-02,BRAV3.SA,accepted,
2026-01-02,TIMS3.SA,accepted,
2026-01-02,UGPA3.SA,accepted,
2026-01-02,ASAI3.SA,accepted,
2026-01-02,ALOS3.SA,accepted,
2026-01-02,ENGI11.SA,blocked,unsupported_share_class:UNT     N2
2026-01-02,VIVT3.SA,accepted,
2026-01-02,SMFT3.SA,accepted,
2026-01-02,TOTS3.SA,accepted,
2026-01-02,CPLE3.SA,accepted,
2026-01-02,CMIG4.SA,accepted,
2026-01-02,POMO4.SA,accepted,
2026-01-02,CEAB3.SA,accepted,
2026-01-02,DIRR3.SA,accepted,
2026-01-02,NEOE3.SA,accepted,
2026-01-02,SANB11.SA,blocked,unsupported_share_class:UNT
2026-01-02,KLBN11.SA,blocked,unsupported_share_class:UNT EB  N2
2026-01-02,MULT3.SA,accepted,
2026-01-02,CSMG3.SA,accepted,
2026-01-02,CPFE3.SA,accepted,
2026-01-02,BBDC3.SA,accepted,
2026-01-02,TAEE11.SA,blocked,unsupported_share_class:UNT     N2
2026-01-02,COGN3.SA,accepted,
2026-01-02,CURY3.SA,accepted,
2026-01-02,PSSA3.SA,accepted,
2026-01-02,BEEF3.SA,accepted,
2026-01-02,BRAP4.SA,accepted,
2026-01-02,VIVA3.SA,accepted,
2026-01-02,AZZA3.SA,accepted,
2026-01-02,CSNA3.SA,accepted,
2026-01-02,USIM5.SA,accepted,
2026-01-02,GOAU4.SA,accepted,
2026-01-02,HYPE3.SA,accepted,
2026-01-02,AURE3.SA,accepted,
2026-01-02,EGIE3.SA,accepted,
2026-01-02,MRVE3.SA,accepted,
2026-01-02,TEND3.SA,accepted,
2026-01-02,GGPS3.SA,accepted,
2026-01-02,CXSE3.SA,accepted,
2026-01-02,ISAE4.SA,accepted,
2026-01-02,VAMO3.SA,accepted,
2026-01-02,FLRY3.SA,accepted,
2026-01-02,IGTI11.SA,blocked,unsupported_share_class:UNT     N1
2026-01-02,SAPR11.SA,blocked,unsupported_share_class:UNT EJ  N2
2026-01-02,YDUQ3.SA,accepted,
2026-01-02,GMAT3.SA,accepted,
2026-01-02,ECOR3.SA,accepted,
2026-01-02,MOVI3.SA,blocked,ambiguous_ordinary_share_count
2026-01-02,RECV3.SA,accepted,
2026-01-02,PCAR3.SA,accepted,
2026-01-02,SMTO3.SA,accepted,
2026-01-02,IRBR3.SA,accepted,
2026-01-02,ORVR3.SA,accepted,
2026-01-02,CMIN3.SA,accepted,
2026-01-02,ITUB3.SA,accepted,
2026-01-02,CBAV3.SA,accepted,
2026-01-02,SLCE3.SA,accepted,
2026-01-02,EZTC3.SA,accepted,
2026-01-02,SBFG3.SA,accepted,
2026-01-02,BRKM5.SA,blocked,ambiguous_preferred_class_share_count
2026-01-02,GRND3.SA,accepted,
2026-01-02,INTB3.SA,accepted,
2026-01-02,SIMH3.SA,accepted,
2026-01-02,ALPA4.SA,accepted,
2026-01-02,BPAN4.SA,accepted,
2026-01-02,PETZ3.SA,accepted,
2026-01-02,JHSF3.SA,accepted,
2026-01-02,VULC3.SA,accepted,
2026-01-02,ANIM3.SA,accepted,
2026-01-02,ALUP11.SA,blocked,unsupported_share_class:UNT ED  N2
2026-01-02,KEPL3.SA,accepted,
2026-01-02,RAPT4.SA,accepted,
2026-01-02,MDNE3.SA,accepted,
2026-01-02,CVCB3.SA,accepted,
2026-01-02,PGMN3.SA,accepted,
2026-01-02,MILS3.SA,accepted,
2026-01-02,PLPL3.SA,accepted,
2026-01-02,UNIP6.SA,accepted,
2026-01-02,TTEN3.SA,accepted,
2026-01-02,RAIZ4.SA,accepted,
2026-01-02,MDIA3.SA,accepted,
2026-01-02,AMBP3.SA,accepted,
2026-01-02,BRSR6.SA,accepted,
2026-01-02,BHIA3.SA,accepted,
2026-01-02,DESK3.SA,accepted,
2026-01-02,MYPK3.SA,accepted,
2026-01-02,KLBN4.SA,accepted,
2026-01-02,LWSA3.SA,accepted,
2026-01-02,HBSA3.SA,accepted,
2026-01-02,TFCO4.SA,accepted,
2026-01-02,DXCO3.SA,accepted,
2026-01-02,RCSL4.SA,blocked,ambiguous_preferred_share_count
2026-01-02,AMER3.SA,accepted,
2026-01-02,LEVE3.SA,accepted,
2026-01-02,ABCB4.SA,accepted,
2026-01-02,ONCO3.SA,accepted,
2026-01-02,LOGG3.SA,accepted,
2026-01-02,SEER3.SA,accepted,
