decision_year,decision_date,ticker,previous_weight,new_weight,reason,decision_action,factor
2013,2013-01-02,AMBV3.SA,0.0,0.19531040256795223,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,BBDC3.SA,0.0,0.16345951444884516,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,CIEL3.SA,0.0,0.25,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,CMIG4.SA,0.0,0.25,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,ITSA4.SA,0.0,0.09123008298320269,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,TITULO_CDI,0.0,0.050000000000000044,defensive_residual_adjustment,entered,triple_factor
2014,2014-01-02,BBAS3.SA,0.0,0.21168562583953948,entered_after_point_in_time_screen,entered,triple_factor
2014,2014-01-02,BBDC3.SA,0.15948069164893283,0.0,removed_by_constrained_allocator,exited,triple_factor
2014,2014-01-02,CIEL3.SA,0.27131356865375716,0.25,rebalanced_after_point_in_time_review,reduced,triple_factor
2014,2014-01-02,CMIG4.SA,0.23083971525416763,0.25,rebalanced_after_point_in_time_review,increased,triple_factor
2014,2014-01-02,ESTC3.SA,0.0,0.1561982828371215,entered_after_point_in_time_screen,entered,triple_factor
2014,2014-01-02,EZTC3.SA,0.0,0.08211609132333902,entered_after_point_in_time_screen,entered,triple_factor
2014,2014-01-02,ITSA4.SA,0.08922937667277923,0.0,removed_by_constrained_allocator,exited,triple_factor
2014,2014-01-02,TITULO_CDI,0.05124300867177104,0.04999999999999993,defensive_residual_adjustment,reduced,triple_factor
2015,2015-01-02,BBAS3.SA,0.19317450696565244,0.0,removed_by_constrained_allocator,exited,triple_factor
2015,2015-01-02,BBSE3.SA,0.0,0.1501097775663496,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,CIEL3.SA,0.2775570460188077,0.25,rebalanced_after_point_in_time_review,reduced,triple_factor
2015,2015-01-02,CMIG4.SA,0.2578098718177501,0.25,rebalanced_after_point_in_time_review,reduced,triple_factor
2015,2015-01-02,ESTC3.SA,0.1620563857818894,0.0,removed_by_constrained_allocator,exited,triple_factor
2015,2015-01-02,EZTC3.SA,0.06170386478205293,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2015,2015-01-02,ITSA4.SA,0.0,0.12721000311733127,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,ITUB4.SA,0.0,0.17268021931631905,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,TITULO_CDI,0.047698324633847544,0.050000000000000044,defensive_residual_adjustment,increased,triple_factor
2016,2016-01-04,BBSE3.SA,0.16092818939730608,0.0,removed_by_constrained_allocator,exited,triple_factor
2016,2016-01-04,BRSR6.SA,0.0,0.25,entered_after_point_in_time_screen,entered,triple_factor
2016,2016-01-04,CIEL3.SA,0.273871346631005,0.0,removed_by_constrained_allocator,exited,triple_factor
2016,2016-01-04,CMIG4.SA,0.15636694062486328,0.24426863976503177,rebalanced_after_point_in_time_review,increased,triple_factor
2016,2016-01-04,ENBR3.SA,0.0,0.11815116111322997,entered_after_point_in_time_screen,entered,triple_factor
2016,2016-01-04,ITSA4.SA,0.14064331565846494,0.0,removed_by_constrained_allocator,exited,triple_factor
2016,2016-01-04,ITUB4.SA,0.1966032191634797,0.0,removed_by_constrained_allocator,exited,triple_factor
2016,2016-01-04,LREN3.SA,0.0,0.08758019912173824,entered_after_point_in_time_screen,entered,triple_factor
