decision_year,decision_date,ticker,previous_weight,new_weight,reason,decision_action,factor
2013,2013-01-02,AMBV3.SA,0.0,0.042414762018510584,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,BBDC3.SA,0.0,0.038152865491611156,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,BISA3.SA,0.0,0.012207294577183631,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,BRAP4.SA,0.0,0.024176387146439597,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,CIEL3.SA,0.0,0.046667,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,CMIG4.SA,0.0,0.046667,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,EQTL3.SA,0.0,0.028175263637902206,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,EZTC3.SA,0.0,0.02137869136833805,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,ITSA4.SA,0.0,0.028488005850894428,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,KLBN4.SA,0.0,0.0215521990352745,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,SBSP3.SA,0.0,0.014261919935271126,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,VALE3.SA,0.0,0.025858610938574667,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,TITULO_CDI,0.0,0.6500000000000001,defensive_residual_adjustment,entered,triple_factor
2014,2014-01-02,BBAS3.SA,0.0,0.04475469055267622,entered_after_point_in_time_screen,entered,triple_factor
2014,2014-01-02,BBDC3.SA,0.037281673623330326,0.021944481466103744,rebalanced_after_point_in_time_review,reduced,triple_factor
2014,2014-01-02,BISA3.SA,0.0038077425249797322,0.0,removed_by_constrained_allocator,exited,triple_factor
2014,2014-01-02,BRAP4.SA,0.017847399672313947,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2014,2014-01-02,CIEL3.SA,0.05072379292920063,0.046667,rebalanced_after_point_in_time_review,reduced,triple_factor
2014,2014-01-02,CMIG4.SA,0.04315694926165237,0.046667,rebalanced_after_point_in_time_review,increased,triple_factor
2014,2014-01-02,CSAN3.SA,0.0,0.02334788732550193,entered_after_point_in_time_screen,entered,triple_factor
2014,2014-01-02,EQTL3.SA,0.032776804143240475,0.020923366254781424,rebalanced_after_point_in_time_review,reduced,triple_factor
2014,2014-01-02,ESTC3.SA,0.0,0.03670412992461054,entered_after_point_in_time_screen,entered,triple_factor
2014,2014-01-02,EZTC3.SA,0.022803028595034535,0.02595567555699577,rebalanced_after_point_in_time_review,increased,triple_factor
2014,2014-01-02,ITSA4.SA,0.02790629442259486,0.02309843045813703,rebalanced_after_point_in_time_review,reduced,triple_factor
2014,2014-01-02,ITUB4.SA,0.0,0.025398375710038334,entered_after_point_in_time_screen,entered,triple_factor
2014,2014-01-02,KLBN4.SA,0.020228040409810077,0.0,removed_by_constrained_allocator,exited,triple_factor
2014,2014-01-02,RAPT4.SA,0.0,0.011914078706372927,entered_after_point_in_time_screen,entered,triple_factor
2014,2014-01-02,SBSP3.SA,0.012709032025940665,0.0,removed_by_constrained_allocator,exited,triple_factor
2014,2014-01-02,TBLE3.SA,0.0,0.022624884044782134,entered_after_point_in_time_screen,entered,triple_factor
2014,2014-01-02,VALE3.SA,0.02052898313073037,0.0,removed_by_constrained_allocator,exited,triple_factor
2014,2014-01-02,TITULO_CDI,0.667188122102319,0.6499999999999999,defensive_residual_adjustment,reduced,triple_factor
2015,2015-01-02,ABEV3.SA,0.0,0.020236080845114166,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,BBAS3.SA,0.04277651035655793,0.0,removed_by_constrained_allocator,exited,triple_factor
2015,2015-01-02,BBDC3.SA,0.022208676108350006,0.0,removed_by_constrained_allocator,exited,triple_factor
2015,2015-01-02,BBDC4.SA,0.0,0.03482979216429892,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,BBSE3.SA,0.0,0.038915292904572164,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,CIEL3.SA,0.05426633375827707,0.046667,rebalanced_after_point_in_time_review,reduced,triple_factor
2015,2015-01-02,CMIG4.SA,0.05040548150700756,0.046667,rebalanced_after_point_in_time_review,reduced,triple_factor
2015,2015-01-02,CSAN3.SA,0.018354781437103486,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2015,2015-01-02,EQTL3.SA,0.02330478069916138,0.01715032758424516,rebalanced_after_point_in_time_review,reduced,triple_factor
2015,2015-01-02,ESTC3.SA,0.03988532891059146,0.0,removed_by_constrained_allocator,exited,triple_factor
2015,2015-01-02,EZTC3.SA,0.02042794994146341,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2015,2015-01-02,ITSA4.SA,0.02508625033342129,0.03677345753172411,rebalanced_after_point_in_time_review,increased,triple_factor
2015,2015-01-02,ITUB4.SA,0.02855069563092424,0.04102632551009039,rebalanced_after_point_in_time_review,increased,triple_factor
2015,2015-01-02,LREN3.SA,0.0,0.013338577453035176,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,MRVE3.SA,0.0,0.013925893426411316,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,PSSA3.SA,0.0,0.028572192839204424,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,RAPT4.SA,0.005936384942685562,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2015,2015-01-02,TBLE3.SA,0.019333207977971216,0.0,removed_by_constrained_allocator,exited,triple_factor
2015,2015-01-02,TOTS3.SA,0.0,0.011898059741304161,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,TITULO_CDI,0.6494636183964855,0.65,defensive_residual_adjustment,increased,triple_factor
2016,2016-01-04,ABEV3.SA,0.023543629218811597,0.012890396979550571,rebalanced_after_point_in_time_review,reduced,triple_factor
2016,2016-01-04,BBAS3.SA,0.0,0.02652695468679785,entered_after_point_in_time_screen,entered,triple_factor
2016,2016-01-04,BBDC4.SA,0.023914622849507534,0.0,removed_by_constrained_allocator,exited,triple_factor
2016,2016-01-04,BBSE3.SA,0.03158236367257855,0.0,removed_by_constrained_allocator,exited,triple_factor
2016,2016-01-04,BRSR6.SA,0.0,0.046667,entered_after_point_in_time_screen,entered,triple_factor
2016,2016-01-04,CIEL3.SA,0.03870059610553947,0.0,removed_by_constrained_allocator,exited,triple_factor
2016,2016-01-04,CMIG4.SA,0.022096118808423805,0.04661620064362157,rebalanced_after_point_in_time_review,increased,triple_factor
2016,2016-01-04,ENBR3.SA,0.0,0.03219146604266676,entered_after_point_in_time_screen,entered,triple_factor
2016,2016-01-04,EQTL3.SA,0.020970629107731637,0.027530765552499267,rebalanced_after_point_in_time_review,increased,triple_factor
2016,2016-01-04,ITSA4.SA,0.03077751000683114,0.025728567938436194,rebalanced_after_point_in_time_review,reduced,triple_factor
2016,2016-01-04,ITUB4.SA,0.03535996589417197,0.028099665434159073,rebalanced_after_point_in_time_review,reduced,triple_factor
2016,2016-01-04,LREN3.SA,0.014674220215750364,0.028694900634467935,rebalanced_after_point_in_time_review,increased,triple_factor
2016,2016-01-04,MRVE3.SA,0.016896254317845253,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2016,2016-01-04,PSSA3.SA,0.026767791151976424,0.010017018593574616,rebalanced_after_point_in_time_review,reduced,triple_factor
2016,2016-01-04,RADL3.SA,0.0,0.018370063494226145,entered_after_point_in_time_screen,entered,triple_factor
2016,2016-01-04,SMLE3.SA,0.0,0.046667,entered_after_point_in_time_screen,entered,triple_factor
2016,2016-01-04,TOTS3.SA,0.010220141662844621,0.0,removed_by_constrained_allocator,exited,triple_factor
2016,2016-01-04,TITULO_CDI,0.7044961569879876,0.65,defensive_residual_adjustment,reduced,triple_factor
2017,2017-01-02,ABEV3.SA,0.009932876734812886,0.0,removed_by_constrained_allocator,exited,triple_factor
2017,2017-01-02,BBAS3.SA,0.0427189456902865,0.015422510407714026,rebalanced_after_point_in_time_review,reduced,triple_factor
2017,2017-01-02,BBDC4.SA,0.0,0.022656086687032947,entered_after_point_in_time_screen,entered,triple_factor
2017,2017-01-02,BRSR6.SA,0.07239912955296611,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2017,2017-01-02,CMIG4.SA,0.054387968706606483,0.046667,rebalanced_after_point_in_time_review,reduced,triple_factor
2017,2017-01-02,CPLE6.SA,0.0,0.04283461558957153,entered_after_point_in_time_screen,entered,triple_factor
2017,2017-01-02,CSAN3.SA,0.0,0.011207398959518701,entered_after_point_in_time_screen,entered,triple_factor
2017,2017-01-02,CVCB3.SA,0.0,0.01934152578102028,entered_after_point_in_time_screen,entered,triple_factor
2017,2017-01-02,ELET3.SA,0.0,0.04343196173894238,entered_after_point_in_time_screen,entered,triple_factor
2017,2017-01-02,ENBR3.SA,0.030139581778597418,0.0,removed_by_constrained_allocator,exited,triple_factor
2017,2017-01-02,EQTL3.SA,0.03617443606070755,0.0,removed_by_constrained_allocator,exited,triple_factor
2017,2017-01-02,ITSA4.SA,0.029994944332865703,0.019120820056191097,rebalanced_after_point_in_time_review,reduced,triple_factor
2017,2017-01-02,ITUB4.SA,0.03442753146102907,0.02287921047969966,rebalanced_after_point_in_time_review,reduced,triple_factor
2017,2017-01-02,LREN3.SA,0.0327954018920247,0.0,removed_by_constrained_allocator,exited,triple_factor
2017,2017-01-02,PSSA3.SA,0.00767584098444157,0.0,removed_by_constrained_allocator,exited,triple_factor
2017,2017-01-02,RADL3.SA,0.025195244608904883,0.0,removed_by_constrained_allocator,exited,triple_factor
2017,2017-01-02,SAPR4.SA,0.0,0.046667,entered_after_point_in_time_screen,entered,triple_factor
2017,2017-01-02,SMLE3.SA,0.046643242111000745,0.046667,rebalanced_after_point_in_time_review,increased,triple_factor
2017,2017-01-02,SUZB5.SA,0.0,0.013104870300309322,entered_after_point_in_time_screen,entered,triple_factor
2017,2017-01-02,TITULO_CDI,0.5775148560857564,0.6500000000000001,defensive_residual_adjustment,increased,triple_factor
2018,2018-01-02,ABEV3.SA,0.0,0.013668084693455835,entered_after_point_in_time_screen,entered,triple_factor
2018,2018-01-02,BBAS3.SA,0.01583863473951059,0.0,removed_by_constrained_allocator,exited,triple_factor
2018,2018-01-02,BBDC3.SA,0.0,0.0193330918527332,entered_after_point_in_time_screen,entered,triple_factor
2018,2018-01-02,BBDC4.SA,0.026233444052788133,0.0,removed_by_constrained_allocator,exited,triple_factor
2018,2018-01-02,BBSE3.SA,0.0,0.031683559725086435,entered_after_point_in_time_screen,entered,triple_factor
2018,2018-01-02,BRAP4.SA,0.0,0.021413354609153657,entered_after_point_in_time_screen,entered,triple_factor
2018,2018-01-02,BRSR6.SA,0.0,0.0395953702313553,entered_after_point_in_time_screen,entered,triple_factor
2018,2018-01-02,CMIG4.SA,0.037411912961921236,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2018,2018-01-02,CSAN3.SA,0.011065933260291226,0.0,removed_by_constrained_allocator,exited,triple_factor
