decision_year,decision_date,ticker,previous_weight,new_weight,reason,decision_action,factor
2013,2013-01-02,AMBV3.SA,0.0,0.08702429046827483,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,BBDC3.SA,0.0,0.07484231096144195,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,BRAP4.SA,0.0,0.03489268484922845,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,CIEL3.SA,0.0,0.11,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,CMIG4.SA,0.0,0.11,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,EQTL3.SA,0.0,0.04632286180493068,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,ITSA4.SA,0.0,0.04721678759725031,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,VALE3.SA,0.0,0.03970106431887383,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,TITULO_CDI,0.0,0.44999999999999996,defensive_residual_adjustment,entered,triple_factor
2014,2014-01-02,BBAS3.SA,0.0,0.0987775984517083,entered_after_point_in_time_screen,entered,triple_factor
2014,2014-01-02,BBDC3.SA,0.07298367559701499,0.0,removed_by_constrained_allocator,exited,triple_factor
2014,2014-01-02,BRAP4.SA,0.025705629240192915,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2014,2014-01-02,CIEL3.SA,0.11931768723636663,0.11,rebalanced_after_point_in_time_review,reduced,triple_factor
2014,2014-01-02,CMIG4.SA,0.10151818459761093,0.11,rebalanced_after_point_in_time_review,increased,triple_factor
2014,2014-01-02,CSAN3.SA,0.0,0.03579007169933892,entered_after_point_in_time_screen,entered,triple_factor
2014,2014-01-02,EQTL3.SA,0.053777957463638955,0.0,removed_by_constrained_allocator,exited,triple_factor
2014,2014-01-02,ESTC3.SA,0.0,0.0750895728483266,entered_after_point_in_time_screen,entered,triple_factor
2014,2014-01-02,EZTC3.SA,0.0,0.0434632459352388,entered_after_point_in_time_screen,entered,triple_factor
2014,2014-01-02,ITSA4.SA,0.0461579871757941,0.03505606807722114,rebalanced_after_point_in_time_review,reduced,triple_factor
2014,2014-01-02,ITUB4.SA,0.0,0.04182344298816624,entered_after_point_in_time_screen,entered,triple_factor
2014,2014-01-02,VALE3.SA,0.031453914303631585,0.0,removed_by_constrained_allocator,exited,triple_factor
2014,2014-01-02,TITULO_CDI,0.4609541897891258,0.45000000000000007,defensive_residual_adjustment,reduced,triple_factor
2015,2015-01-02,ABEV3.SA,0.0,0.026119137324776703,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,BBAS3.SA,0.09257916020168014,0.0,removed_by_constrained_allocator,exited,triple_factor
2015,2015-01-02,BBDC4.SA,0.0,0.05815588603101187,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,BBSE3.SA,0.0,0.06712455463714016,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,CIEL3.SA,0.1254299541594072,0.11,rebalanced_after_point_in_time_review,reduced,triple_factor
2015,2015-01-02,CMIG4.SA,0.11650606917668319,0.11,rebalanced_after_point_in_time_review,reduced,triple_factor
2015,2015-01-02,CSAN3.SA,0.02759003026917624,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2015,2015-01-02,ESTC3.SA,0.08001397716511803,0.0,removed_by_constrained_allocator,exited,triple_factor
2015,2015-01-02,EZTC3.SA,0.03354305275561182,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2015,2015-01-02,ITSA4.SA,0.03733399497552032,0.06242270463412861,rebalanced_after_point_in_time_review,increased,triple_factor
2015,2015-01-02,ITUB4.SA,0.04610186691742344,0.07175878506793879,rebalanced_after_point_in_time_review,increased,triple_factor
2015,2015-01-02,PSSA3.SA,0.0,0.04441893230500392,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,TITULO_CDI,0.44090189437937966,0.44999999999999996,defensive_residual_adjustment,increased,triple_factor
2016,2016-01-04,ABEV3.SA,0.033337465515832755,0.0,removed_by_constrained_allocator,exited,triple_factor
2016,2016-01-04,BBAS3.SA,0.0,0.036485693828033676,entered_after_point_in_time_screen,entered,triple_factor
2016,2016-01-04,BBDC4.SA,0.04380594735335565,0.0,removed_by_constrained_allocator,exited,triple_factor
2016,2016-01-04,BBSE3.SA,0.05976301382967541,0.0,removed_by_constrained_allocator,exited,triple_factor
2016,2016-01-04,BRSR6.SA,0.0,0.11,entered_after_point_in_time_screen,entered,triple_factor
2016,2016-01-04,CIEL3.SA,0.10007536978757949,0.0,removed_by_constrained_allocator,exited,triple_factor
2016,2016-01-04,CMIG4.SA,0.057138067191342,0.10965817228254059,rebalanced_after_point_in_time_review,increased,triple_factor
2016,2016-01-04,ENBR3.SA,0.0,0.05711794334269701,entered_after_point_in_time_screen,entered,triple_factor
2016,2016-01-04,EQTL3.SA,0.0,0.04014194499349804,entered_after_point_in_time_screen,entered,triple_factor
2016,2016-01-04,ITSA4.SA,0.057315006316107434,0.0,removed_by_constrained_allocator,exited,triple_factor
2016,2016-01-04,ITUB4.SA,0.0678501856107664,0.04221408918561912,rebalanced_after_point_in_time_review,reduced,triple_factor
2016,2016-01-04,LREN3.SA,0.0,0.04438215636761157,entered_after_point_in_time_screen,entered,triple_factor
2016,2016-01-04,PSSA3.SA,0.04565242216784118,0.0,removed_by_constrained_allocator,exited,triple_factor
2016,2016-01-04,SMLE3.SA,0.0,0.11,entered_after_point_in_time_screen,entered,triple_factor
2016,2016-01-04,TITULO_CDI,0.5350625222274996,0.44999999999999996,defensive_residual_adjustment,reduced,triple_factor
2017,2017-01-02,BBAS3.SA,0.05461757637551033,0.0,removed_by_constrained_allocator,exited,triple_factor
2017,2017-01-02,BBDC4.SA,0.0,0.03142364445005291,entered_after_point_in_time_screen,entered,triple_factor
2017,2017-01-02,BRSR6.SA,0.1586327422819603,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2017,2017-01-02,CMIG4.SA,0.11892787329408566,0.11,rebalanced_after_point_in_time_review,reduced,triple_factor
2017,2017-01-02,CPLE6.SA,0.0,0.07508737328761275,entered_after_point_in_time_screen,entered,triple_factor
2017,2017-01-02,CVCB3.SA,0.0,0.024251362996100822,entered_after_point_in_time_screen,entered,triple_factor
2017,2017-01-02,ELET3.SA,0.0,0.07637995315873547,entered_after_point_in_time_screen,entered,triple_factor
2017,2017-01-02,ENBR3.SA,0.04971022313811377,0.0,removed_by_constrained_allocator,exited,triple_factor
2017,2017-01-02,EQTL3.SA,0.04902962571782107,0.0,removed_by_constrained_allocator,exited,triple_factor
2017,2017-01-02,ITUB4.SA,0.04807716420306866,0.03190645550269519,rebalanced_after_point_in_time_review,reduced,triple_factor
2017,2017-01-02,LREN3.SA,0.04715126149353567,0.0,removed_by_constrained_allocator,exited,triple_factor
2017,2017-01-02,SAPR4.SA,0.0,0.09095121060480288,entered_after_point_in_time_screen,entered,triple_factor
2017,2017-01-02,SMLE3.SA,0.10219936967027148,0.11,rebalanced_after_point_in_time_review,increased,triple_factor
2017,2017-01-02,TITULO_CDI,0.371654163825633,0.44999999999999996,defensive_residual_adjustment,increased,triple_factor
2018,2018-01-02,BBDC4.SA,0.03541016740265412,0.0,removed_by_constrained_allocator,exited,triple_factor
2018,2018-01-02,BBSE3.SA,0.0,0.0547903546492125,entered_after_point_in_time_screen,entered,triple_factor
2018,2018-01-02,BRAP4.SA,0.0,0.030115833828298445,entered_after_point_in_time_screen,entered,triple_factor
2018,2018-01-02,BRSR6.SA,0.0,0.07379875135252674,entered_after_point_in_time_screen,entered,triple_factor
2018,2018-01-02,CMIG4.SA,0.08582103191700881,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2018,2018-01-02,CVCB3.SA,0.043347743066038356,0.08789041516455356,rebalanced_after_point_in_time_review,increased,triple_factor
2018,2018-01-02,ITSA3.SA,0.0,0.09376407270824619,entered_after_point_in_time_screen,entered,triple_factor
2018,2018-01-02,ITUB3.SA,0.0,0.042669250544682735,entered_after_point_in_time_screen,entered,triple_factor
2018,2018-01-02,ITUB4.SA,0.035254214436916724,0.0,removed_by_constrained_allocator,exited,triple_factor
2018,2018-01-02,MGLU3.SA,0.0,0.11,entered_after_point_in_time_screen,entered,triple_factor
2018,2018-01-02,SAPR4.SA,0.08742670658507333,0.056971321752479945,rebalanced_after_point_in_time_review,reduced,triple_factor
2018,2018-01-02,TITULO_CDI,0.4146133152096939,0.44999999999999996,defensive_residual_adjustment,increased,triple_factor
2019,2019-01-02,BBSE3.SA,0.045440375872481564,0.04409882759639596,rebalanced_after_point_in_time_review,reduced,triple_factor
2019,2019-01-02,BRAP4.SA,0.026624287988487254,0.0,removed_by_constrained_allocator,exited,triple_factor
2019,2019-01-02,BRSR6.SA,0.09161654920608157,0.11,rebalanced_after_point_in_time_review,increased,triple_factor
2019,2019-01-02,CMIG3.SA,0.0,0.046639214819820876,entered_after_point_in_time_screen,entered,triple_factor
2019,2019-01-02,CSNA3.SA,0.0,0.11,entered_after_point_in_time_screen,entered,triple_factor
2019,2019-01-02,CVCB3.SA,0.0837755011145989,0.0,removed_by_constrained_allocator,exited,triple_factor
2019,2019-01-02,IRBR3.SA,0.0,0.05657137072770006,entered_after_point_in_time_screen,entered,triple_factor
2019,2019-01-02,ITSA3.SA,0.10505080201800046,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2019,2019-01-02,ITUB3.SA,0.041481311648893,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2019,2019-01-02,ITUB4.SA,0.0,0.04487058043876424,entered_after_point_in_time_screen,entered,triple_factor
2019,2019-01-02,MGLU3.SA,0.19403016821243982,0.11,rebalanced_after_point_in_time_review,reduced,triple_factor
2019,2019-01-02,SAPR4.SA,0.04323537175305873,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2019,2019-01-02,TEND3.SA,0.0,0.027820006417318924,entered_after_point_in_time_screen,entered,triple_factor
2019,2019-01-02,TITULO_CDI,0.36874563218595874,0.44999999999999996,defensive_residual_adjustment,increased,triple_factor
2020,2020-01-02,AZUL4.SA,0.0,0.11,entered_after_point_in_time_screen,entered,triple_factor
2020,2020-01-02,BBSE3.SA,0.0479116809443088,0.10728678101920389,rebalanced_after_point_in_time_review,increased,triple_factor
2020,2020-01-02,BPAN4.SA,0.0,0.028845498540007716,entered_after_point_in_time_screen,entered,triple_factor
2020,2020-01-02,BRSR6.SA,0.08530577758632588,0.0,removed_by_constrained_allocator,exited,triple_factor
2020,2020-01-02,CMIG3.SA,0.03780475183981245,0.06253638699212515,rebalanced_after_point_in_time_review,increased,triple_factor
2020,2020-01-02,CSNA3.SA,0.14018329301163898,0.0,removed_by_constrained_allocator,exited,triple_factor
2020,2020-01-02,EQTL3.SA,0.0,0.0655929957877922,entered_after_point_in_time_screen,entered,triple_factor
2020,2020-01-02,IRBR3.SA,0.06362566769112019,0.028341898513769493,rebalanced_after_point_in_time_review,reduced,triple_factor
2020,2020-01-02,ITUB4.SA,0.03773371635815191,0.0,removed_by_constrained_allocator,exited,triple_factor
