decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2015,2015-01-02,2016-01-04,-0.009696822334804844,467.50258364393625,0.00046750258364393625,-0.010164324918448781,1000000.0,989835.6750815512,0.45000019242587164,BBDC4.SA:7.00% | BBSE3.SA:12.00% | ITSA4.SA:12.00% | ITUB3.SA:12.00% | ITUB4.SA:12.00% | TITULO_CDI:45.00%,163,value_quality,0.5499998075741284,-0.01844621880494696,0.1313058205754336
2016,2016-01-04,2017-01-02,0.32916681322218566,883.1156486161732,0.0008921840976719843,0.32827462912451366,989835.6750815512,1314773.6142131602,0.9654426666565741,SANB3.SA:12.00% | SANB4.SA:12.00% | TITULO_CDI:76.00%,181,value_quality,0.24000013982790808,0.3338192485153985,0.13881531059776075
2017,2017-01-02,2018-01-02,0.3517537120472549,1552.2315741798866,0.001180607488163531,0.3505731045590914,1314773.6142131602,1775697.881940245,0.8599995243270293,BBAS3.SA:11.04% | BBDC4.SA:12.00% | BRSR3.SA:7.96% | BRSR6.SA:12.00% | SANB3.SA:12.00% | TITULO_CDI:45.00%,190,value_quality,0.5499999999256137,0.32804041663687045,0.09485614678200971
2018,2018-01-02,2019-01-02,0.059088123862239605,3956.3761615467743,0.0022280683002357227,0.05686005556200388,1775697.881940245,1876664.1621686998,0.7293704891244567,BPAC3.SA:12.00% | BRSR3.SA:12.00% | BRSR6.SA:8.35% | QUAL3.SA:12.00% | SANB4.SA:10.65% | TITULO_CDI:45.00%,201,value_quality,0.5499999996651606,0.0527785791601681,0.06367037319283275
2019,2019-01-02,2020-01-02,0.1369766251496598,3354.249998797397,0.0017873469672491523,0.13518927818241064,1876664.1621686998,2130369.035643085,0.503450329886181,BBAS3.SA:2.94% | BRSR6.SA:12.00% | IRBR3.SA:12.00% | ITSA3.SA:12.00% | PSSA3.SA:4.06% | SANB4.SA:12.00% | TITULO_CDI:45.00%,211,value_quality,0.5500000004919278,0.1473256021760252,0.05915681006147966
2020,2020-01-02,2021-01-04,-0.08812145192505916,4789.336735045738,0.002248125397485419,-0.09036957732254458,2130369.035643085,1937848.4863509824,0.912555753658975,ABCB4.SA:2.93% | BBDC3.SA:2.64% | BBSE3.SA:12.00% | BPAC3.SA:12.00% | IRBR3.SA:12.00% | QUAL3.SA:12.00% | SANB3.SA:1.44% | TITULO_CDI:45.00%,225,value_quality,0.5499999999619882,-0.09133978232781242,0.027325854367195035
2021,2021-01-04,2022-01-03,0.1926430578100211,2208.8881493947247,0.0011398662820921138,0.191503191527929,1937848.4863509824,2308952.6561847623,0.5873384644214321,BPAC3.SA:12.00% | BSLI3.SA:12.00% | QUAL3.SA:1.19% | SANB4.SA:12.00% | TITULO_CDI:62.81%,239,value_quality,0.3718916046003825,0.1727513599044067,0.04379550070628868
2022,2022-01-03,2023-01-02,0.08245535882072619,1146.0251579890503,0.0004963398252966801,0.08195901899542951,2308952.6561847623,2498192.150792557,0.30866901194489493,BPAC3.SA:12.00% | BSLI3.SA:12.00% | TITULO_CDI:76.00%,271,value_quality,0.24000000064321256,0.08193824292089186,0.12294915546054419
2023,2023-01-02,2024-01-02,0.27778305680998483,5655.7716951082,0.002263945827110975,0.27551911098287385,2498192.150792557,3186491.8312433157,0.9599997138646869,ABCB4.SA:12.00% | BBAS3.SA:12.00% | BBSE3.SA:12.00% | ITUB4.SA:12.00% | TITULO_CDI:52.00%,312,value_quality,0.4799998617116178,0.2924066831543475,0.129326575852571
2024,2024-01-02,2025-01-02,0.013831354808655494,5269.425538521047,0.0016536761484384555,0.012177678660217038,3186491.8312433157,3225295.904817603,0.8599999924276208,BBAS3.SA:12.00% | BEES3.SA:12.00% | BPAC3.SA:7.00% | BRSR6.SA:12.00% | CXSE3.SA:12.00% | TITULO_CDI:45.00%,319,value_quality,0.549999999978463,0.011583300731029299,0.04189391442617829
2025,2025-01-02,2025-12-31,0.2802734186753184,5473.099014914458,0.001696929266781174,0.27857648940853724,3225295.904817603,4123787.5152854226,0.8317050252724096,BBSE3.SA:12.00% | BMEB3.SA:12.00% | CXSE3.SA:12.00% | PSSA3.SA:12.00% | TITULO_CDI:52.00%,325,value_quality,0.4799999914061333,0.27902688938101783,0.13897869337857371
