decision_year,decision_date,ticker,previous_weight,new_weight,reason,decision_action,factor
2015,2015-01-02,BBDC4.SA,0.0,0.06999983084871052,entered_after_point_in_time_screen,entered,value_quality
2015,2015-01-02,BBSE3.SA,0.0,0.11999999992255359,entered_after_point_in_time_screen,entered,value_quality
2015,2015-01-02,ITSA4.SA,0.0,0.11999997441455039,entered_after_point_in_time_screen,entered,value_quality
2015,2015-01-02,ITUB3.SA,0.0,0.1199999998155152,entered_after_point_in_time_screen,entered,value_quality
2015,2015-01-02,ITUB4.SA,0.0,0.11999999933866091,entered_after_point_in_time_screen,entered,value_quality
2015,2015-01-02,TITULO_CDI,0.0,0.45000019242587164,defensive_residual_adjustment,entered,value_quality
2016,2016-01-04,BBDC4.SA,0.050974882880140834,2.795039042200694e-10,removed_by_constrained_allocator,exited,value_quality
2016,2016-01-04,BBSE3.SA,0.10328854631174723,4.589191970316208e-10,removed_by_constrained_allocator,exited,value_quality
2016,2016-01-04,ITSA4.SA,0.10651892191775512,5.603004533097771e-10,removed_by_constrained_allocator,exited,value_quality
2016,2016-01-04,ITUB3.SA,0.11224645408288594,3.349960044337616e-10,removed_by_constrained_allocator,exited,value_quality
2016,2016-01-04,ITUB4.SA,0.10969252978174877,4.989422348468464e-10,removed_by_constrained_allocator,exited,value_quality
2016,2016-01-04,SANB3.SA,0.0,0.11999999955915024,entered_after_point_in_time_screen,entered,value_quality
2016,2016-01-04,SANB4.SA,0.0,0.11999999907304165,entered_after_point_in_time_screen,entered,value_quality
2016,2016-01-04,TITULO_CDI,0.5172786622187471,0.7599998601720919,defensive_residual_adjustment,increased,value_quality
2017,2017-01-02,BBAS3.SA,5.052239486531834e-10,0.11037741096266304,entered_after_point_in_time_screen,entered,value_quality
2017,2017-01-02,BBDC4.SA,3.643424400226708e-10,0.11999999719747816,entered_after_point_in_time_screen,entered,value_quality
2017,2017-01-02,BRSR3.SA,1.357454225276976e-07,0.07962249076963257,entered_after_point_in_time_screen,entered,value_quality
2017,2017-01-02,BRSR6.SA,0.0,0.11999999984872985,entered_after_point_in_time_screen,entered,value_quality
2017,2017-01-02,SANB3.SA,0.2217852625163429,0.11999999991785683,rebalanced_after_point_in_time_review,reduced,value_quality
2017,2017-01-02,SANB4.SA,0.13808179517901,1.0046422542340255e-07,removed_by_constrained_allocator,exited,value_quality
