decision_year,base_return,protected_return,cdi_return,days_alert,days_severe,overlay_turnover,overlay_cost_rate,minimum_equity_weight
2013,0.05295786928696433,0.05933994921004393,0.0799598549115157,114,50,0.9025,0.0009025,0.57
2014,0.15980204902380724,0.1542694667237785,0.10724908910447661,120,10,0.8074999999999999,0.0008075,0.57
2015,-0.21059196263209512,-0.17287466823980668,0.13130582057543494,103,85,1.7100000000000004,0.0017100000000000001,0.57
2016,0.5083678398025469,0.4879212334670233,0.13881531059776187,111,30,0.8074999999999999,0.0008074999999999998,0.57
2017,0.23969617755233252,0.21751048098674897,0.09869747716374411,45,0,0.4275000000000003,0.00042750000000000036,0.8075000000000001
2018,0.5734516361825308,0.5432817950520199,0.06367037319283253,93,13,1.33,0.00133,0.57
2019,0.4823326099512879,0.4626980721127325,0.0591568100614801,10,0,0.2849999999999999,0.00028499999999999993,0.8075
2020,0.017800330209974513,0.003337286505023851,0.02732585436719548,88,87,1.3300000000000007,0.0013300000000000009,0.5700000000000001
2021,0.21882342347448414,0.19874959704030037,0.04379550070628646,88,32,0.9025000000000002,0.0009025000000000003,0.57
2022,-0.017833884137373746,-0.02240611716700658,0.12294915546054574,138,23,2.375,0.002375,0.57
2023,0.2601012451357956,0.26959515664748435,0.12932657585256813,63,0,0.4275,0.00042750000000000004,0.8074999999999999
2024,-0.1229367703145422,-0.12191186137516052,0.10777090353467722,18,0,0.4275,0.00042750000000000004,0.8075
2025,0.5749631006037077,0.5362285660031259,0.1420925347405686,39,0,0.4274999999999999,0.00042749999999999993,0.8075
