date,decision_year,strategy,mvo,cdi,equity_sleeve,IBOVESPA,BOVA11,strategy_daily_return,cdi_daily_return,market_drawdown,market_volatility,stress_at_close,tradable_stress,risk_state,risk_multiplier,base_equity_weight,protected_equity_weight,overlay_turnover,overlay_cost_rate,protected_return,base_rebased,protected_rebased,cdi_rebased
2013-01-03,2013,101.620181,100.070628,100.026555,101.788819,101.218225,101.060874,0.016201809311854776,0.0002655545490772848,,,0,0,0,1.0,0.95,0.95,0.0,0.0,0.016201809311854776,1.0162018093118548,1.0162018093118548,1.0002655545490773
2013-01-04,2013,100.017942,100.594832,100.053155,100.100852,99.956835,100.081605,-0.01576693708112953,0.0002659293824525122,,,0,0,0,1.0,0.95,0.95,0.0,0.0,-0.01576693708112953,1.0001794193227047,1.0001794193227047,1.000531554550287
2013-01-07,2013,99.002153,99.405332,100.079724,99.030202,99.013589,99.151297,-0.010156067798315571,0.00026554884751006647,,,0,0,0,1.0,0.95,0.95,0.0,0.0,-0.010156067798315571,0.9900215293295834,0.9900215293295834,1.0007972445514954
2013-01-08,2013,97.984802,99.680386,100.106263,97.957909,97.726619,97.780316,-0.010276049249151264,0.00026517858902175284,,,0,0,0,1.0,0.95,0.95,0.0,0.0,-0.010276049249151264,0.9798480193364726,0.9798480193364726,1.0010626345527025
2013-01-09,2013,99.183255,101.269473,100.132772,99.218044,98.447642,98.335237,0.012231009049750385,0.0002648086064305222,,,0,0,0,1.0,0.95,0.95,0.0,0.0,0.012231009049750385,0.991832549328357,0.991832549328357,1.001327724553908
2013-01-10,2013,99.115685,99.845439,100.159326,99.14552,98.605915,98.726948,-0.0006812641912186113,0.0002651879047150807,,,0,0,0,1.0,0.95,0.95,0.0,0.0,-0.0006812641912186113,0.9911568493288145,0.9911568493288145,1.0015932645551155
2013-01-11,2013,98.717752,99.882128,100.185923,98.725244,98.316547,98.416841,-0.004014833777317817,0.0002655469147228029,,,0,0,0,1.0,0.95,0.95,0.0,0.0,-0.004014833777317817,0.9871775193315093,0.9871775193315093,1.0018592345563253
2013-01-14,2013,99.053798,99.878974,100.212565,99.077573,99.2502,99.151297,0.003404109121123433,0.00026592558317783954,,,0,0,0,1.0,0.95,0.95,0.0,0.0,0.003404109121123433,0.9905379793292337,0.9905379793292337,1.0021256545575368
2013-01-15,2013,98.880237,99.49457,100.239252,98.893474,98.685851,98.77591,-0.001752189249724756,0.0002663039310488724,,,0,0,0,1.0,0.95,0.95,0.0,0.0,-0.001752189249724756,0.988802369330409,0.988802369330409,1.0023925245587504
2013-01-16,2013,99.845117,100.764138,100.265946,99.907732,98.780176,98.808553,0.009758067226315559,0.00026630286506934553,,,0,0,0,1.0,0.95,0.95,0.0,0.0,0.009758067226315559,0.9984511693238752,0.9984511693238752,1.0026594645599645
2013-01-17,2013,100.862785,100.626879,100.292647,100.977555,99.430855,99.575645,0.01019246639773086,0.00026630178106534785,,,0,0,0,1.0,0.95,0.95,0.0,0.0,0.01019246639773086,1.008627849316984,1.008627849316984,1.0029264745611788
2013-01-18,2013,101.351582,101.183353,100.319279,101.490677,99.05036,99.216583,0.004846158075052065,0.00026554289667912734,,,0,0,0,1.0,0.95,0.95,0.0,0.0,0.004846158075052065,1.013515819313674,1.013515819313674,1.00319279456239
2013-01-21,2013,101.750259,101.783483,100.345957,101.908933,98.960831,99.151297,0.003933604114832789,0.00026593093835924897,,,0,0,0,1.0,0.95,0.95,0.0,0.0,0.003933604114832789,1.0175025893109744,1.0175025893109744,1.0034595745636032
2013-01-22,2013,101.80859,101.981814,100.372642,101.968929,98.628297,99.151297,0.000573276182029181,0.0002659299965617201,,,0,0,0,1.0,0.95,0.95,0.0,0.0,0.000573276182029181,1.0180858993105795,1.0180858993105795,1.0037264245648168
2013-01-23,2013,100.659055,101.40915,100.399334,100.757488,99.066347,99.249226,-0.011291139578693654,0.0002659290367190703,,,0,0,0,1.0,0.95,0.95,0.0,0.0,-0.011291139578693654,1.0065905493183638,1.0065905493183638,1.0039933445660307
2013-01-24,2013,100.586059,100.670852,100.426033,100.679245,97.793765,97.780316,-0.0007251806605972355,0.0002659280588455104,,,0,0,0,1.0,0.95,0.95,0.0,0.0,-0.0007251806605972355,1.0058605893188581,1.0058605893188581,1.004260334567245
2013-01-28,2013,99.08726,99.700291,100.479527,99.098746,95.966427,96.115552,-0.014900663321544494,0.0005326706472612575,,,0,0,0,1.0,0.95,0.95,0.0,0.0,-0.014900663321544494,0.9908725993290075,0.9908725993290075,1.0047952745696778
2013-01-29,2013,99.220473,98.871531,100.506322,99.23756,96.572342,96.833689,0.0013444008846343891,0.0002666712394057136,,,0,0,0,1.0,0.95,0.95,0.0,0.0,0.0013444008846343891,0.9922047293281054,0.9922047293281054,1.0050632245708964
2013-01-30,2013,98.55714,99.30872,100.533124,98.537904,94.863309,94.793539,-0.00668544484765754,0.0002666697921749339,,,0,0,0,1.0,0.95,0.95,0.0,0.0,-0.00668544484765754,0.9855713993325974,0.9855713993325974,1.0053312445721154
