decision_year,base_return,protected_return,cdi_return,days_alert,days_severe,overlay_turnover,overlay_cost_rate,minimum_equity_weight
2013,0.05184897294484636,0.05913922796498938,0.0799598549115157,114,50,0.6824999999999999,0.0006824999999999998,0.08749999999999998
2014,0.10788777949818895,0.1093205132058066,0.10724908910447661,120,10,0.7350000000000002,0.0007350000000000002,0.08750000000000002
2015,0.043487924971809866,0.0705147078412347,0.13130582057543494,103,85,0.9449999999999998,0.000945,0.0875
2016,0.2814382735932144,0.24376466368805705,0.13881531059776187,111,30,0.7349999999999999,0.000735,0.0875
2017,0.16011039729598897,0.14002371471416186,0.09869747716374411,45,0,0.4724999999999999,0.00047249999999999994,0.19249999999999998
2018,0.1724174180164728,0.15366020728973306,0.06367037319283253,93,13,1.1549999999999998,0.001155,0.0875
2019,0.18703394872603285,0.1673621728864374,0.0591568100614801,10,0,0.31499999999999995,0.00031499999999999996,0.1925
2020,0.009240717072794169,-0.011026231378067908,0.02732585436719548,88,87,1.1549999999999998,0.0011549999999999998,0.08749999999999998
2021,0.05841047905540653,0.03708529934240512,0.04379550070628646,88,32,0.6825,0.0006825,0.0875
2022,0.06810272772633175,0.05352140100070635,0.12294915546054574,138,23,1.9949999999999988,0.0019949999999999985,0.08749999999999995
2023,0.16804778421731004,0.17292916987170992,0.12932657585256813,63,0,0.47250000000000003,0.00047250000000000005,0.1925
2024,0.039621572909603886,0.04172339500799338,0.10777090353467722,18,0,0.4724999999999999,0.00047249999999999994,0.1925
2025,0.24838240884881646,0.22109784040204827,0.1420925347405686,39,0,0.4724999999999999,0.00047249999999999994,0.1925
