decision_year,base_return,protected_return,cdi_return,days_alert,days_severe,overlay_turnover,overlay_cost_rate,minimum_equity_weight
2013,0.05383711240107436,0.05724236248967052,0.0799598549115157,114,50,0.8250000000000001,0.000825,0.22000000000000003
2014,0.12957569909962063,0.1248808732683162,0.10724908910447661,120,10,0.825,0.0008250000000000001,0.21999999999999997
2015,-0.04896085786833693,-0.01095091969029105,0.13130582057543494,103,85,1.32,0.00132,0.22000000000000003
2016,0.3781937089102083,0.34261909450696226,0.13881531059776187,111,30,0.8250000000000002,0.000825,0.22000000000000003
2017,0.19186453952007154,0.16667002590713964,0.09869747716374411,45,0,0.4950000000000001,0.0004950000000000001,0.385
2018,0.2971329077558007,0.27276301873197406,0.06367037319283253,93,13,1.3200000000000003,0.00132,0.22000000000000003
2019,0.2872523025624665,0.26623296127305207,0.0591568100614801,10,0,0.33000000000000007,0.00033000000000000005,0.385
2020,-0.002350560928986112,-0.019677256238417318,0.02732585436719548,88,87,1.3200000000000003,0.00132,0.22000000000000003
2021,0.12300796363272792,0.0942999819239676,0.04379550070628646,88,32,0.8250000000000001,0.000825,0.22000000000000003
2022,0.04107351453425512,0.02977880367285124,0.12294915546054574,138,23,2.3100000000000005,0.00231,0.22000000000000003
2023,0.19053540018077775,0.2005756299525565,0.12932657585256813,63,0,0.4950000000000001,0.0004950000000000001,0.385
2024,-0.0204566554836344,-0.019393374266796437,0.10777090353467722,18,0,0.4950000000000001,0.0004950000000000001,0.385
2025,0.35908068030310036,0.32095758550504305,0.1420925347405686,39,0,0.4950000000000001,0.0004950000000000001,0.385
