date,decision_year,strategy,mvo,cdi,equity_sleeve,IBOVESPA,BOVA11,strategy_daily_return,cdi_daily_return,market_drawdown,market_volatility,stress_at_close,tradable_stress,risk_state,risk_multiplier,base_equity_weight,protected_equity_weight,overlay_turnover,overlay_cost_rate,protected_return,base_rebased,protected_rebased,cdi_rebased
2013-01-03,2013,100.720318,100.070628,100.026555,101.371287,101.218225,101.060874,0.0072031822948204205,0.0002655545490772848,,,0,0,0,1.0,0.55,0.55,0.0,0.0,0.0072031822948204205,1.0072031822948204,1.0072031822948204,1.0002655545490773
2013-01-04,2013,99.646142,100.594832,100.053155,99.396476,99.956835,100.081605,-0.010664938528093248,0.0002659293824525122,,,0,0,0,1.0,0.55,0.55,0.0,0.0,-0.010664938528093248,0.9964614222703463,0.9964614222703463,1.000531554550287
2013-01-07,2013,98.895014,99.405332,100.079724,98.009052,99.013589,99.151297,-0.007537953652033913,0.00026554884751006647,,,0,0,0,1.0,0.55,0.55,0.0,0.0,-0.007537953652033913,0.9889501422532326,0.9889501422532326,1.0007972445514954
2013-01-08,2013,98.38447,99.680386,100.106263,97.059075,97.726619,97.780316,-0.00516248473355807,0.00026517858902175284,,,0,0,0,1.0,0.55,0.55,0.0,0.0,-0.00516248473355807,0.9838447022416003,0.9838447022416003,1.0010626345527025
2013-01-09,2013,99.190744,101.269473,100.132772,98.50334,98.447642,98.335237,0.008195134862239994,0.0002648086064305222,,,0,0,0,1.0,0.55,0.55,0.0,0.0,0.008195134862239994,0.9919074422599705,0.9919074422599705,1.001327724553908
2013-01-10,2013,99.211019,99.845439,100.159326,98.518477,98.605915,98.726948,0.00020440415287126257,0.0002651879047150807,,,0,0,0,1.0,0.55,0.55,0.0,0.0,0.00020440415287126257,0.9921101922604324,0.9921101922604324,1.0015932645551155
2013-01-11,2013,98.98305,99.882128,100.185923,98.082226,98.316547,98.416841,-0.0022978193581499884,0.0002655469147228029,,,0,0,0,1.0,0.55,0.55,0.0,0.0,-0.0022978193581499884,0.9898305022552385,0.9898305022552385,1.0018592345563253
2013-01-14,2013,99.160698,99.878974,100.212565,98.383425,99.2502,99.151297,0.0017947315222150984,0.00026592558317783954,,,0,0,0,1.0,0.55,0.55,0.0,0.0,0.0017947315222150984,0.991606982259286,0.991606982259286,1.0021256545575368
2013-01-15,2013,99.083607,99.49457,100.239252,98.221425,98.685851,98.77591,-0.0007774350277364173,0.0002663039310488724,,,0,0,0,1.0,0.55,0.55,0.0,0.0,-0.0007774350277364173,0.9908360722575297,0.9908360722575297,1.0023925245587504
2013-01-16,2013,99.441563,100.764138,100.265946,98.850413,98.780176,98.808553,0.0036126662203568305,0.00026630286506934553,,,0,0,0,1.0,0.55,0.55,0.0,0.0,0.0036126662203568305,0.9944156322656855,0.9944156322656855,1.0026594645599645
