perfil,regime,cagr,vol,drawdown,giro_overlay,dias_em_estresse,exposicao_media,share_do_teto
conservador,escada (congelada),0.11976002104221539,0.08716033060210149,-0.19231622852279007,0.0,0.0,,
conservador,escada + overlay intranual,0.10975563101060293,0.06631056639860355,-0.09780546837462079,10.29,1360.0,,
conservador,escada + meta de vol anual,0.10858989241866035,0.06698577004847936,-0.19231606326111172,,,0.29360781786842705,0.8388794796240773
conservador,escada + meta de vol com piso 60%,0.10859757793819669,0.06697884988994778,-0.19231606326111172,,,0.29378246088336424,0.8393784596667551
equilibrado,escada (congelada),0.14387592314996356,0.14776692713699047,-0.2976758787515271,0.0,0.0,,
equilibrado,escada + overlay intranual,0.13354091219997732,0.12014721823071918,-0.18938675014626316,11.880000000000003,1360.0,,
equilibrado,escada + meta de vol anual,0.12646891676008143,0.10718576906182892,-0.2976612681947953,,,0.40736995093504247,0.7406726380637135
equilibrado,escada + meta de vol com piso 60%,0.12668368018324094,0.10706866194126356,-0.2976612681947953,,,0.40891807834223803,0.7434874151677054
arrojado,escada (congelada),0.1832957691091217,0.27251434973888566,-0.47784022507010293,0.0,0.0,,
arrojado,escada + overlay intranual,0.17709705646537421,0.2373572786258812,-0.392819275682734,12.160000000000002,1360.0,,
arrojado,escada + meta de vol anual,,,,,-1.0,,
arrojado,escada + meta de vol com piso 60%,,,,,-1.0,,
