decision_year,decision_date,ticker,weight,previous_weight,decision_action,factor,value_quality_score,factor_signal_at_decision,trailing_12m_return_at_decision,trailing_12m_volatility_at_decision,eligible_at_decision,fundamental_status,decision_rationale,realised_next_year_return
2015,2015-01-02,BBDC4.SA,0.09999999942435542,0.0,entered,momentum_12m,0.38888888888888884,0.8394160583941606,0.268163982253788,0.36278244414132377,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.28331650483485205
2015,2015-01-02,BBSE3.SA,0.09999999946996686,0.0,entered,momentum_12m,0.40740740740740744,0.9562043795620438,0.3704341338937569,0.27180100037109783,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.15289142812468115
2015,2015-01-02,ITSA4.SA,0.09999999745067124,0.0,entered,momentum_12m,0.6851851851851851,0.7080291970802919,0.209315868868996,0.3313038404675819,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.12639770597933397
2015,2015-01-02,ITUB3.SA,0.09999999941334056,0.0,entered,momentum_12m,0.7592592592592592,0.8102189781021898,0.26435167734409704,0.3449697103503039,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.07942422566341856
2015,2015-01-02,ITUB4.SA,0.09999999928009046,0.0,entered,momentum_12m,0.5740740740740741,0.7956204379562044,0.2616405736022114,0.3375381686842137,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.1003699246527715
2015,2015-01-02,PSSA3.SA,0.09999895755353617,0.0,entered,momentum_12m,0.48148148148148145,0.635036496350365,0.1355238972247803,0.29680964779345403,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.02212416879000778
2015,2015-01-02,TITULO_CDI,0.40000104557610894,0.0,entered,momentum_12m,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.1313058205754336
2016,2016-01-04,SANB3.SA,0.09999999998993454,0.0,entered,momentum_12m,0.5416666666666666,0.8823529411764706,0.38567489871004845,0.5418783534582144,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,1.4988959169042473
2016,2016-01-04,SANB4.SA,0.0999999999557474,0.0,entered,momentum_12m,0.6805555555555557,0.803921568627451,0.265852048124227,0.47155108419292824,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.5557933455744537
2016,2016-01-04,TITULO_CDI,0.7999999995125929,0.4636178429318294,increased,momentum_12m,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.13881531059776075
2017,2017-01-02,BBAS3.SA,0.09999999998482555,0.0,entered,momentum_12m,0.3333333333333333,0.6903225806451614,0.979338963763789,0.5606428071689878,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.12017795595843483
2017,2017-01-02,BBDC3.SA,0.09999999993125046,0.0,entered,momentum_12m,0.576923076923077,0.3290322580645162,0.5753532858505976,0.34653548443369586,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.24555529861170178
2017,2017-01-02,BBDC4.SA,0.09999999996675875,0.0,entered,momentum_12m,0.6538461538461539,0.4838709677419355,0.7261183142407104,0.41918474714109183,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.28348004371441204
2017,2017-01-02,BRSR6.SA,0.09999999998484006,0.0,entered,momentum_12m,0.5897435897435898,0.7161290322580645,1.0065182043788097,0.49733551556801037,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.4507579999213138
2017,2017-01-02,ITSA4.SA,0.06382665709393757,0.0,entered,momentum_12m,0.44871794871794873,0.1225806451612903,0.4089056670780753,0.34310378141681735,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.3100671531523089
2017,2017-01-02,ITUB3.SA,0.09999999982687302,2.6725512344979418e-11,entered,momentum_12m,0.6794871794871794,0.1483870967741936,0.44242584909124516,0.3316804601236682,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.23797030726721924
2017,2017-01-02,ITUB4.SA,0.0999999998239812,0.0,entered,momentum_12m,0.576923076923077,0.2129032258064516,0.49005474127031223,0.3570297508041459,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.260850945228817
2017,2017-01-02,QUAL3.SA,0.09999999995468094,1.5406425086928413e-12,entered,momentum_12m,0.4102564102564103,0.31612903225806455,0.5252153435780369,0.45041162261203366,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.7271788352689514
2017,2017-01-02,SANB3.SA,0.09999999997503939,0.18981053740838416,reduced,momentum_12m,0.6282051282051282,0.8451612903225807,1.416799796928232,0.5008072091958491,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.06738148016360801
2017,2017-01-02,SANB4.SA,0.09999999994119523,0.11817457818921791,reduced,momentum_12m,0.7307692307692308,0.19999999999999996,0.48954398657978393,0.46377256492756547,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.25620292718222015
2017,2017-01-02,TITULO_CDI,0.03617334303895949,0.6920148839854229,reduced,momentum_12m,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.09485614678200971
2018,2018-01-02,BBDC4.SA,0.09999998519808816,0.10068870626007312,reduced,momentum_12m,0.5,0.0235294117647058,0.28915284300175537,0.26336815992807877,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.26169399150595374
2018,2018-01-02,BPAC3.SA,0.10000000015327369,0.0,entered,momentum_12m,0.7777777777777777,0.7058823529411764,0.9850442583711219,1.1546842957431744,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.01053715390981036
2018,2018-01-02,BRSR3.SA,0.1000000000601576,0.0,entered,momentum_12m,0.3888888888888889,0.8470588235294119,1.4068034351858874,1.4833645109213462,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.04721712826156199
2018,2018-01-02,BRSR6.SA,0.09999999950948216,0.11381162243255248,reduced,momentum_12m,0.5888888888888889,0.2823529411764707,0.38652095214589033,0.45984291321551896,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.6114528684183826
2018,2018-01-02,ITSA3.SA,0.09999999855805154,3.5324273146417423e-10,entered,momentum_12m,0.7222222222222223,0.10588235294117654,0.32273644904643484,0.22901042879417952,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.45430534835654757
2018,2018-01-02,ITSA4.SA,0.09999999861562708,0.06559750136621256,increased,momentum_12m,0.45555555555555555,0.14117647058823524,0.3306877298076485,0.22777298199914078,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.2989999287781022
2018,2018-01-02,ITUB3.SA,0.0999999917820181,0.09711847804973767,increased,momentum_12m,0.6555555555555556,0.0,0.28642950954167934,0.21664013684356945,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.26191515898423834
2018,2018-01-02,PSSA3.SA,0.09999999985312186,3.9958623557490016e-11,entered,momentum_12m,0.26666666666666666,0.2588235294117647,0.38519910912642663,0.25666853403019824,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.5353154909569344
2018,2018-01-02,QUAL3.SA,0.10000000022494328,0.1354967716355882,reduced,momentum_12m,0.37777777777777777,0.5294117647058822,0.6590872426848644,0.3319243098289693,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.5656776678528133
2018,2018-01-02,SANB4.SA,0.09999999893799927,0.09854882288602597,increased,momentum_12m,0.7666666666666666,0.11764705882352944,0.3274429354850519,0.35515989298946005,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.5903121590732823
2019,2019-01-02,BBAS3.SA,0.09999999961324663,4.5254779012111256e-10,entered,momentum_12m,0.2708333333333333,0.673913043478261,0.5698792567265942,0.4113660737199024,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.1445200647247895
2019,2019-01-02,BBDC4.SA,0.09999928720286419,0.10182699581472533,reduced,momentum_12m,0.4479166666666667,0.36956521739130443,0.3171215122856166,0.3227576219586764,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.13737158375784841
2019,2019-01-02,BRSR6.SA,0.09999999980388459,0.13005485409001105,reduced,momentum_12m,0.8020833333333334,0.7391304347826086,0.6480007035717865,0.38368580131113783,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.0012384386746349119
2019,2019-01-02,IRBR3.SA,0.09999999977313029,0.0,entered,momentum_12m,0.3541666666666667,0.9565217391304348,1.6416779381071178,0.27365068366438605,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.4484773541977358
2019,2019-01-02,ITSA3.SA,0.09999999953180577,0.11737201365928887,reduced,momentum_12m,0.6145833333333334,0.6195652173913044,0.5220322401312223,0.29994514562650365,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.11086494922806556
2019,2019-01-02,ITSA4.SA,0.0999999878078664,0.10483784415978249,reduced,momentum_12m,0.40625,0.4130434782608696,0.32886787925186156,0.3189098286676296,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.22090576299913378
2019,2019-01-02,ITUB3.SA,0.04571621007250145,0.10184485218892778,reduced,momentum_12m,0.59375,0.3152173913043479,0.29887195228131525,0.25831890120308004,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.09492118629172364
2019,2019-01-02,ITUB4.SA,0.09999999009021186,1.982495706776826e-08,entered,momentum_12m,0.5520833333333334,0.423913043478261,0.33042958267032607,0.2949822895046157,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.08303864084932178
2019,2019-01-02,PSSA3.SA,0.09999999976842346,0.12391006696998805,reduced,momentum_12m,0.22916666666666666,0.6521739130434783,0.5425195769575613,0.31986174045754073,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.2546819466311332
2019,2019-01-02,SANB3.SA,0.05428452127188905,1.1732325113068105e-10,entered,momentum_12m,0.65625,0.28260869565217384,0.27080830107094167,0.5151312130192248,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.11314438387907
2019,2019-01-02,SANB4.SA,0.09999999978366927,0.1283486589507635,reduced,momentum_12m,0.6979166666666666,0.7282608695652173,0.6245508574552989,0.3636242440633234,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.13879990411017729
