decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,risk_profile,risk_state_at_decision,equity_weight_before_risk,estimated_volatility_before_risk,estimated_volatility_after_risk,trailing_drawdown_at_decision,recent_volatility_at_decision,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax
2015,2015-01-02,2016-01-04,-0.08967310965634134,628.9358400311178,0.0005326758974039602,-0.09020578555374531,1000000.0,909794.2144462548,0.36250000000000004,CIEL3.SA:12.75% | CMIG4.SA:12.75% | HGTX3.SA:12.75% | ITSA4.SA:12.75% | ITUB4.SA:12.75% | TITULO_CDI:36.25%,167,triple_factor,0.6374999999999998,0.18871220352080392,1.6575792154713377e-10,0.18960073933042343,1.6575792154713377e-10,-0.13727146961493586,0.36250000000000004,0.1313058205754336,41,167,arrojado,alerta,0.75,0.17587760741455624,0.14949596630237277,-0.1575566915186314,0.2991255951519302,-0.10640666226912932,-0.1085484010921044,0.43692525656663395,0.0036394619864854962,-0.09384524754023081,0.7310282906691259,0.020790525660132685,0.16792167786067125,0.10832730197473273
2016,2016-01-04,2017-01-02,0.28935095888657436,537.9490337287993,0.0007087526808514592,0.2886422062057229,909794.2144462548,1172399.2236972244,0.8738505131332679,BRSR6.SA:8.67% | CMIG4.SA:8.67% | ENBR3.SA:8.67% | LREN3.SA:8.67% | SMLE3.SA:8.67% | TITULO_CDI:56.64%,178,triple_factor,0.4335870042065203,0.3552452292864151,1.4620565813382518,0.2824873795981,0.5298686496463155,0.2107241629488945,0.5664129957934796,0.13881531059776075,35,178,arrojado,severo,0.75,0.18681371723359852,0.10799999999999998,-0.32095040376290873,0.2996561429372841,0.4291782349730666,0.41703172361765506,0.32398908426831147,0.014698838420642877,0.27394336778508,0.9999999971034386,0.0552450359856115,0.30000019330080363,0.11452263124315262
2017,2017-01-02,2018-01-02,0.1320220404704211,580.4328654353316,0.0005213718269660597,0.13150066864345503,1172399.2236972244,1326570.505530477,0.6479781685366229,CMIG4.SA:8.96% | CPLE6.SA:8.96% | ELET3.SA:8.96% | SAPR4.SA:8.96% | SMLE3.SA:8.96% | TITULO_CDI:55.22%,183,triple_factor,0.4478301442448689,0.2682082061570643,1.9999999942068771,0.26961957701813843,1.5555452581305435e-10,0.07752426874152141,0.552169855755131,0.09869747716374411,39,183,arrojado,alerta,0.75,0.2562355425928092,0.153,-0.12109635177405675,0.17053190818471295,0.28214938998808514,0.28093004210729355,0.432004468637597,0.009143698739223265,0.12235696990423175,0.8448553303540947,0.0341684305240085,0.2340397756330558,0.08142541866008889
2018,2018-01-02,2019-01-02,0.36760318184707463,756.4386094640561,0.0009183172143459847,0.36668486463272865,1326570.505530477,1813003.8317766907,0.864008937275194,BRSR6.SA:13.45% | CVCB3.SA:13.45% | ITSA3.SA:13.45% | MGLU3.SA:13.45% | SAPR4.SA:13.45% | TITULO_CDI:32.74%,169,triple_factor,0.6725882073791795,0.5503476063707732,1.6897106607081893,0.5522257159030635,1.188221025314688e-10,0.3467567508231729,0.32741179262082043,0.06367037319283275,44,169,arrojado,normal,0.75,0.20071716767982542,0.17999999999999997,0.0,0.18348842062728316,0.12833318355137302,0.12649800523329735,0.3986863726040917,0.022191536568416406,0.34449332806431227,0.5620857247217244,0.04655972876074615,0.5037878776100271,0.05252805788408702
2019,2019-01-02,2020-01-02,0.322203774627529,839.7587336198446,0.000827963738108966,0.3213758108894201,1813003.8317766907,2395659.4083595504,0.7973727452081834,BRSR6.SA:13.87% | CMIG3.SA:13.87% | CSNA3.SA:13.87% | IRBR3.SA:13.87% | MGLU3.SA:13.87% | TITULO_CDI:30.67%,182,triple_factor,0.6933300722942337,0.4280856868542048,1.1241714494434487,0.4296447904167966,3.877087055231941e-12,0.30406215996267116,0.3066699277057663,0.059156810061480325,48,182,arrojado,normal,0.75,0.19471245427633638,0.17999999999999997,0.0,0.2038766556289201,0.27416164901331697,0.265415260819831,0.49485874941944014,0.024141241964197847,0.2972345689252222,0.7947831533328172,0.05122116620110374,0.37686452065310105,0.04880436830072127
2020,2020-01-02,2021-01-04,0.02922775028260105,1318.1668203042502,0.0010997543483154291,0.02812799593428562,2395659.4083595504,2463044.506457821,0.9897174988388803,AZUL4.SA:15.00% | BBSE3.SA:15.00% | CMIG3.SA:15.00% | EQTL3.SA:15.00% | MRFG3.SA:15.00% | TITULO_CDI:25.00%,235,triple_factor,0.75,-0.17342743575944428,1.5895663066656345,-0.17161514457713067,7.396192562406299e-11,0.02239628669080207,0.25,0.027325854367195923,67,235,arrojado,normal,0.75,0.13707823405982217,0.13707823405982217,0.0,0.11913137369202824,0.006181845782766704,0.0035889676976212925,0.4829007303834749,0.0021995882627917755,0.025928407671493844,0.9361734097784348,3.311130589157824e-13,-0.1734274357597754,0.022543829852936636
2021,2021-01-04,2022-01-03,0.08511083786382456,845.5011312158973,0.0005937785297171059,0.08451705933410746,2463044.506457821,2671213.785152664,0.9658014607669498,BBSE3.SA:7.64% | CSMG3.SA:7.64% | EQTL3.SA:7.64% | MRFG3.SA:7.64% | TASA4.SA:7.64% | TITULO_CDI:61.78%,258,triple_factor,0.3822303445787806,0.058787232763826414,1.8723468195568695,0.034151836380677314,0.5909730268365796,0.05805530648350121,0.6177696554212193,0.04379550070628846,72,258,arrojado,alerta,0.75,0.30021164365287367,0.153,-0.007263308340276664,0.32045834822768415,-0.11585890450243763,-0.1164869288519651,0.32589805650629755,0.004381052124481281,0.08013600720962617,0.9222890443848136,0.00890204304582395,0.04988518971800246,0.03613128808268798
2022,2022-01-03,2023-01-02,0.026541679004472574,1488.0563457492801,0.0005551542451496456,0.025986524759322928,2671213.785152664,2740629.3483179784,0.6517961130125951,FHER3.SA:8.15% | GOAU4.SA:8.15% | TASA4.SA:8.15% | UNIP6.SA:8.15% | USIM5.SA:8.15% | TITULO_CDI:59.26%,265,triple_factor,0.4073725706328719,-0.031515551334028315,1.8445780887696273,-0.03035021041665642,3.504470799871206e-11,-0.04632136293896927,0.5926274293671281,0.12294915546054463,89,265,arrojado,alerta,0.75,0.28168317720000297,0.15299999999999997,-0.08930126317242737,0.31640615777231607,0.058784472970112134,0.06024213574183901,0.4552632502420476,0.005805076427096455,0.020181448332226473,0.9470707159071894,7.141154881536835e-13,-0.03151555133474243,0.10143305325494932
2023,2023-01-02,2024-01-02,0.2260520113185338,1652.9148308083102,0.0007046427132868298,0.22534736860524698,2740629.3483179784,3358222.960283748,0.9105265004840952,BRAP4.SA:12.06% | CURY3.SA:12.06% | KEPL3.SA:12.06% | UNIP6.SA:12.06% | VIVA3.SA:12.06% | TITULO_CDI:39.72%,297,triple_factor,0.6027723314177797,0.109843694527037,1.8941414318143788,0.1117125874463275,7.675578413429917e-11,0.17467991710689568,0.39722766858222014,0.1293265758525708,89,297,arrojado,alerta,0.75,0.19037038367387682,0.15299999999999997,-0.07755127292423858,0.31728276116645193,0.2614217492667519,0.2704862406620203,0.45,0.01583644682388198,0.209510921781365,0.9999999988399033,0.016756888099246664,0.09308680642779034,0.1066944250783709
2024,2024-01-02,2025-01-02,-0.06602993592256168,1452.2316339391007,0.0007184253900827054,-0.06674836131264439,3358222.960283748,3134067.08076231,0.9,BBSE3.SA:15.00% | CMIN3.SA:15.00% | CURY3.SA:15.00% | PLPL3.SA:15.00% | VIVA3.SA:15.00% | TITULO_CDI:25.00%,311,triple_factor,0.75,0.029452715870276206,1.9999999976798066,0.03126565964378247,7.114299456219486e-11,-0.09297266180623076,0.25,0.10777090353467633,89,311,arrojado,normal,0.75,0.17749786858143654,0.17749786858143654,0.0,0.1858367869249663,-0.09355147441162948,-0.08923577472783695,0.23846078427945144,0.001124337120348051,-0.06787269843299244,0.9999999799615502,0.004689848853931818,0.02476286701634439,0.08891099541610797
