decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,risk_profile,risk_state_at_decision,equity_weight_before_risk,estimated_volatility_before_risk,estimated_volatility_after_risk,trailing_drawdown_at_decision,recent_volatility_at_decision,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax
2015,2015-01-02,2016-01-04,-0.12866939146194867,628.9358400311178,0.0006289358400311178,-0.1292983273019798,1000000.0,870701.6726980202,0.25,CIEL3.SA:15.00% | CMIG4.SA:15.00% | HGTX3.SA:15.00% | ITSA4.SA:15.00% | ITUB4.SA:15.00% | TITULO_CDI:25.00%,167,triple_factor,0.75,0.18871220352080392,1.6575792154713377e-10,0.18960073933042343,1.6575792154713377e-10,-0.16149584660580707,0.25,0.1313058205754336,41,167,,não aplicado,0.75,,,,,-0.10640666226912932,-0.1085484010921044,0.5899196727241772,0.0033888700431529708,-0.13268719734513276,0.7310282906691259,0.020790525660132685,0.16792167786067125,0.10832730197473273
2016,2016-01-04,2017-01-02,0.3992053479403803,502.0682970219982,0.001067164244710498,0.39813818369566983,870701.6726980202,1217361.2552067917,1.1798393454483544,BRSR6.SA:15.00% | CMIG4.SA:15.00% | ENBR3.SA:15.00% | LREN3.SA:15.00% | SMLE3.SA:15.00% | TITULO_CDI:25.00%,178,triple_factor,0.75,0.3552463214008639,1.4620565813382518,0.2824873795981,0.5298686496463155,0.3645015202909401,0.25,0.13881531059776075,35,178,,não aplicado,0.75,,,,,0.4291782349730666,0.41703172361765506,0.509186178296418,0.030932244555315007,0.3672059391403548,0.9999999971034386,0.0552450359856115,0.3000012854152524,0.11452263124315262
2017,2017-01-02,2018-01-02,0.15450752657913513,509.94917255864607,0.0008715768396095767,0.15363594973952555,1217361.2552067917,1404391.7078265883,1.018372356592836,CMIG4.SA:15.00% | CPLE6.SA:15.00% | ELET3.SA:15.00% | SAPR4.SA:15.00% | SMLE3.SA:15.00% | TITULO_CDI:25.00%,183,triple_factor,0.75,0.26820502715461236,1.9999999942068771,0.26961957701813843,1.5555452581305435e-10,0.12983315728819922,0.25,0.09869747716374411,39,183,,não aplicado,0.75,,,,,0.28214938998808514,0.28093004210729355,0.3670168227079064,0.008732426938916764,0.14490352280060878,0.8448553303540947,0.0341684305240085,0.23403659663060386,0.08142541866008889
2018,2018-01-02,2019-01-02,0.4025844427375762,730.9272042876971,0.0012679436392606222,0.40131649909831557,1404391.7078265883,1967997.2713742591,0.7340336454158128,BRSR6.SA:15.00% | CVCB3.SA:15.00% | ITSA3.SA:15.00% | MGLU3.SA:15.00% | SAPR4.SA:15.00% | TITULO_CDI:25.00%,169,triple_factor,0.75,0.5503395651881914,1.6897106607081893,0.5522257159030635,1.188221025314688e-10,0.38666684943936813,0.25,0.06367037319283275,44,169,,não aplicado,0.75,,,,,0.12833318355137302,0.12649800523329735,0.4354088529748783,0.026466591091687135,0.37484990800662843,0.5620857247217244,0.04655972876074615,0.5037798364274453,0.05252805788408702
2019,2019-01-02,2020-01-02,0.3437041437314572,970.0544056303789,0.0009107580920501249,0.3427933856394071,1967997.2713742591,2642613.718957756,0.8708177059497566,BRSR6.SA:15.00% | CMIG3.SA:15.00% | CSNA3.SA:15.00% | IRBR3.SA:15.00% | MGLU3.SA:15.00% | TITULO_CDI:25.00%,182,triple_factor,0.75,0.4280790646657495,1.1241714494434487,0.4296447904167966,3.877087055231941e-12,0.328914941216087,0.25,0.059156810061480325,48,182,,não aplicado,0.75,,,,,0.27416164901331697,0.265415260819831,0.5364051901869028,0.027853028112644063,0.314940357526763,0.7947831533328172,0.05122116620110374,0.3768578984646458,0.04880436830072127
2020,2020-01-02,2021-01-04,0.02922775028260105,1442.0744605194973,0.001133619863094097,0.028094130419506952,2642613.718957756,2716855.653426534,1.0728103803738056,AZUL4.SA:15.00% | BBSE3.SA:15.00% | CMIG3.SA:15.00% | EQTL3.SA:15.00% | MRFG3.SA:15.00% | TITULO_CDI:25.00%,235,triple_factor,0.75,-0.1734381093548158,1.5895663066656345,-0.17161514457713067,7.396192562406299e-11,0.02239628669080207,0.25,0.027325854367195923,67,235,,não aplicado,0.75,,,,,0.006181845782766704,0.0035889676976212925,0.25255721822253296,0.0011503852819698176,0.026943745137537133,0.9361734097784348,3.311130589157824e-13,-0.17343810935514692,0.022543829852936636
2021,2021-01-04,2022-01-03,0.12486311689018814,936.8098728329,0.0005890021801659542,0.12427411471002218,2716855.653426534,3054490.4845510353,0.5051144364450659,BBSE3.SA:15.00% | CSMG3.SA:15.00% | EQTL3.SA:15.00% | MRFG3.SA:15.00% | TASA4.SA:15.00% | TITULO_CDI:25.00%,258,triple_factor,0.75,0.058781234556817795,1.8723468195568695,0.034151836380677314,0.5909730268365796,0.11391424171361586,0.25,0.04379550070628846,72,258,,não aplicado,0.75,,,,,-0.11585890450243763,-0.1164869288519651,0.6180172180433874,0.011744298254938276,0.1125298164550839,0.9222890443848136,0.00890204304582395,0.04987919151099385,0.03613128808268798
2022,2022-01-03,2023-01-02,-0.05454342149357849,1775.4129847116894,0.0010704324457497473,-0.05561385393932824,3054490.4845510353,2884618.4968841462,1.2360344360867748,FHER3.SA:15.00% | GOAU4.SA:15.00% | TASA4.SA:15.00% | UNIP6.SA:15.00% | USIM5.SA:15.00% | TITULO_CDI:25.00%,265,triple_factor,0.75,-0.031524251747602795,1.8445780887696273,-0.03035021041665642,3.504470799871206e-11,-0.08528071035871476,0.25,0.12294915546054463,89,265,,não aplicado,0.75,,,,,0.058784472970112134,0.06024213574183901,0.525,0.0028239884144843847,-0.05843784235381262,0.9470707159071894,7.141154881536835e-13,-0.03152425174831691,0.10143305325494932
2023,2023-01-02,2024-01-02,0.24967728343870288,1643.5005164156187,0.001079823388456016,0.24859746005024685,2884618.4968841462,3601727.328423506,1.05,BRAP4.SA:15.00% | CURY3.SA:15.00% | KEPL3.SA:15.00% | UNIP6.SA:15.00% | VIVA3.SA:15.00% | TITULO_CDI:25.00%,297,triple_factor,0.75,0.10983672130084601,1.8941414318143788,0.1117125874463275,7.675578413429917e-11,0.21734563947556018,0.25,0.1293265758525708,89,297,,não aplicado,0.75,,,,,0.2614217492667519,0.2704862406620203,0.4740763573886385,0.01813810625825746,0.2304593537919894,0.9999999988399033,0.016756888099246664,0.09307983320159935,0.1066944250783709
2024,2024-01-02,2025-01-02,-0.06602993592256168,1790.6696530116164,0.0008532443216188528,-0.06688318024418054,3601727.328423506,3360832.350326166,0.948152714777277,BBSE3.SA:15.00% | CMIN3.SA:15.00% | CURY3.SA:15.00% | PLPL3.SA:15.00% | VIVA3.SA:15.00% | TITULO_CDI:25.00%,311,triple_factor,0.75,0.029445130699344648,1.9999999976798066,0.03126565964378247,7.114299456219486e-11,-0.09297266180623076,0.25,0.10777090353467633,89,311,,não aplicado,0.75,,,,,-0.09355147441162948,-0.08923577472783695,0.23998284267885953,0.0011315135907390339,-0.06801469383491957,0.9999999799615502,0.004689848853931818,0.02475528184541283,0.08891099541610797
