date,decision_year,strategy,mvo,cdi,equity_sleeve,IBOVESPA,BOVA11
2015-01-05,2015,98.759939,98.822538,100.043455,98.415959,97.948961,98.011006
2015-01-06,2015,98.445689,98.905421,100.086929,97.982467,98.946652,98.561158
2015-01-07,2015,100.022871,100.528579,100.130422,100.070879,101.96034,101.883206
2015-01-08,2015,100.941085,99.715933,100.173933,101.280661,102.949786,102.644943
2015-01-09,2015,99.133882,98.348553,100.217464,98.856546,100.676121,100.571309
2015-01-12,2015,97.164313,100.430495,100.261013,96.215938,99.233179,99.090147
2015-01-13,2015,96.642849,98.98349,100.304582,95.50613,99.031168,98.688111
2015-01-14,2015,97.202685,97.689551,100.348169,96.238049,98.214875,98.349558
2015-01-15,2015,97.279607,98.040755,100.391775,96.326076,98.998186,99.449855
2015-01-16,2015,99.343002,100.035423,100.435401,99.062727,101.04098,100.719425
2015-01-19,2015,96.692459,98.637017,100.479045,95.514122,98.445745,97.98985
2015-01-20,2015,97.32527,98.623516,100.522708,96.343316,98.691046,98.434198
2015-01-21,2015,98.954914,99.26261,100.56639,98.501613,101.467678,101.163781
2015-01-22,2015,99.932388,99.247431,100.611948,99.789726,101.919113,101.819722
2015-01-23,2015,98.98692,99.421368,100.65749,98.513922,100.542134,100.08464
2015-01-26,2015,98.485609,99.718698,100.703052,97.830319,100.133987,99.851884
2015-01-27,2015,98.15826,99.31683,100.748636,97.378659,100.162846,100.16928
2015-01-28,2015,97.90781,99.645715,100.79424,97.029525,98.315881,98.03217
2015-01-29,2015,98.976188,100.22279,100.839864,98.438821,98.453991,98.137966
2015-01-30,2015,97.665264,100.211816,100.885509,96.675707,96.693602,96.50868
2015-02-02,2015,99.164306,100.737382,100.931175,98.659208,98.225181,97.90521
2015-02-03,2015,100.24898,102.325576,100.976898,100.090199,100.931728,100.804065
2015-02-04,2015,101.45776,100.706543,101.022641,101.686658,101.626402,101.079141
2015-02-05,2015,100.790215,100.638352,101.068406,100.781342,101.488292,101.311898
2015-02-06,2015,100.205762,100.880363,101.114191,99.98681,100.577177,100.08464
2015-02-09,2015,100.426271,102.25234,101.159996,100.265554,101.795432,101.39653
2015-02-10,2015,99.597385,102.119495,101.205823,99.145097,99.995877,99.788408
2015-02-11,2015,98.413589,101.517879,101.25167,97.55142,99.439314,99.344059
2015-02-12,2015,99.839794,103.008729,101.297538,99.437737,102.104634,101.840886
2015-02-13,2015,100.944152,102.866418,101.343427,100.894918,104.378298,104.506985
2015-02-18,2015,102.280935,105.012437,101.389337,102.661993,105.705805,105.607282
