decision_year,base_return,protected_return,cdi_return,days_alert,days_severe,overlay_turnover,overlay_cost_rate,minimum_equity_weight
2015,-0.09020578555374725,-0.0667783535124703,0.13130582057543272,66,54,0.8925000000000001,0.0008925000000000001,0.3824999999999999
2016,0.28864220620572456,0.2734599272902922,0.13881531059775876,111,30,0.49089675105163,0.00049089675105163,0.2601522025239122
2017,0.13150066864345544,0.12248757649503217,0.09869747716374189,45,0,0.2136302339427873,0.0002136302339427873,0.38065562260813857
2018,0.3666848646327312,0.34663702532419105,0.06367037319283098,93,13,1.166381553465162,0.001166381553465162,0.4035529244275077
2019,0.3213758108894207,0.308281603095232,0.059156810061477216,10,0,0.22874088660332437,0.00022874088660332435,0.5893305614500987
2020,0.028127995934286165,0.016924413996432408,0.027325854367194813,88,87,1.1066699277057666,0.0011066699277057666,0.44999999999999996
2021,0.08451705933410869,0.077413229684973,0.04379550070628935,88,32,0.730888482771061,0.000730888482771061,0.22933820674726835
2022,0.02598652475932317,0.02456735433076096,0.12294915546054397,138,23,1.0398023187281575,0.0010398023187281576,0.24442354237972314
2023,0.2253473686052483,0.2290284843431898,0.12932657585257323,63,0,0.4373373458051727,0.0004373373458051727,0.5123564817051127
2024,-0.06674836131264528,-0.06543007403937584,0.10777090353467789,18,0,0.4847276685822204,0.0004847276685822204,0.6375
2025,0.36722946251487776,0.346059524736138,0.14209253474056927,39,0,0.38249999999999984,0.00038249999999999986,0.541875
