decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,risk_profile,risk_state_at_decision,equity_weight_before_risk,estimated_volatility_before_risk,estimated_volatility_after_risk,trailing_drawdown_at_decision,recent_volatility_at_decision,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax
2015,2015-01-02,2016-01-04,0.0606298730761301,290.06492502758283,0.0001542701860954129,0.06047560289003469,1000000.0,1060475.6028900347,0.8121107427739483,CIEL3.SA:5.37% | CMIG4.SA:5.37% | HGTX3.SA:2.71% | ITSA4.SA:2.28% | ITUB4.SA:3.06% | TITULO_CDI:81.21%,167,triple_factor,0.18788925722605165,0.18871220352080392,1.6575792154713377e-10,0.18960073933042343,1.6575792154713377e-10,-0.04600499440192815,0.8121107427739483,0.1313058205754336,41,167,conservador,alerta,0.35,0.08196317462403978,0.044000000000000004,-0.14865781809248113,0.28690216203439994,-0.10640666226912932,-0.1085484010921044,0.10563198861832857,0.0019712092938578628,0.058504393596176825,0.7310282906691259,0.020790525660132685,0.16792167786067125,0.10832730197473273
2016,2016-01-04,2017-01-02,0.168513674751819,296.30021118764563,0.0001414198555473155,0.1683722548962717,1060475.6028900347,1239030.271411113,0.21126397723665713,BRSR6.SA:2.11% | CMIG4.SA:1.76% | ENBR3.SA:0.81% | LREN3.SA:0.61% | SMLE3.SA:2.11% | TITULO_CDI:92.60%,178,triple_factor,0.07395794633872316,0.35524122492258037,1.4620565813382518,0.2824873795981,0.5298686496463155,0.039964859446240855,0.9260420536612768,0.13881531059776075,35,178,conservador,severo,0.35,0.0946483825813713,0.02,-0.37736327865055797,0.3249141944017116,0.4291782349730666,0.41703172361765506,0.07941494387652842,0.0022625930272486615,0.16610966186902304,0.9999999971034386,0.0552450359856115,0.2999961889369689,0.11452263124315262
2017,2017-01-02,2018-01-02,0.11998011270541276,322.3573930958896,0.00011013049862988574,0.11986998220678287,1239030.271411113,1387552.8079988284,0.15882988775305684,CMIG4.SA:3.57% | CPLE6.SA:1.45% | ELET3.SA:1.52% | SAPR4.SA:2.39% | SMLE3.SA:3.57% | TITULO_CDI:87.49%,183,triple_factor,0.12507536432521837,0.268203516039569,1.9999999942068771,0.26961957701813843,1.5555452581305435e-10,0.03362725845590392,0.8749246356747816,0.09869747716374411,39,183,conservador,alerta,0.35,0.12312576567802147,0.04400000000000001,-0.13225809368698616,0.188197662609888,0.28214938998808514,0.28093004210729355,0.20195354504738444,0.004070542990422637,0.11579943921636023,0.8448553303540947,0.0341684305240085,0.2340350855155605,0.08142541866008889
2018,2018-01-02,2019-01-02,0.21487982015242624,380.5834600912633,0.00032232753967799844,0.21455749261274823,1387552.8079988284,1685262.659350835,0.4039070900947689,BRSR6.SA:4.42% | CVCB3.SA:5.75% | ITSA3.SA:6.30% | MGLU3.SA:7.72% | SAPR4.SA:2.84% | TITULO_CDI:72.98%,169,triple_factor,0.2702002505797448,0.5503412858599631,1.6897106607081893,0.5522257159030635,1.188221025314688e-10,0.1684131977508027,0.7297997494202553,0.06367037319283275,44,169,conservador,normal,0.3499999999999999,0.10362684690307601,0.08,0.0,0.19975655090020766,0.12833318355137302,0.12649800523329735,0.21173884175350094,0.007070730355479223,0.207486762257269,0.5620857247217244,0.04655972876074615,0.503781557099217,0.05252805788408702
2019,2019-01-02,2020-01-02,0.18236215578798531,334.2224207883257,0.00032047161693916844,0.18204168417104616,1685262.659350835,1992050.7121296371,0.4234776835070019,BRSR6.SA:7.73% | CMIG3.SA:1.98% | CSNA3.SA:6.94% | IRBR3.SA:2.68% | MGLU3.SA:7.73% | TITULO_CDI:72.95%,182,triple_factor,0.2704574793065103,0.4280913606959045,1.1241714494434487,0.4296447904167966,3.877087055231941e-12,0.13920474745954703,0.7295425206934897,0.059156810061480325,48,182,conservador,normal,0.35,0.1035282887047376,0.07999999999999999,0.0,0.22347930510605446,0.27416164901331697,0.265415260819831,0.23256216777132993,0.006612500251332381,0.17542918391971377,0.7947831533328172,0.05122116620110374,0.37687019449480075,0.04880436830072127
2020,2020-01-02,2021-01-04,0.02620651026243448,557.1205339805268,0.000554860572581294,0.025651649689853184,1992050.7121296371,2043150.099161609,0.46512433554265986,AZUL4.SA:10.00% | BBSE3.SA:8.25% | CMIG3.SA:3.20% | EQTL3.SA:3.55% | MRFG3.SA:10.00% | TITULO_CDI:65.00%,235,triple_factor,0.35,-0.17340872864535525,1.5895663066656345,-0.17161514457713067,7.396192562406299e-11,0.008444704923757151,0.65,0.027325854367195923,67,235,conservador,normal,0.35,0.07037202238560689,0.07037202238560689,-0.008529473063896509,0.14061380092823292,0.006181845782766704,0.0035889676976212925,0.26946852820988,0.0011789306510643954,0.02447271903878879,0.9361734097784348,3.311130589157824e-13,-0.17340872864568638,0.022543829852936636
2021,2021-01-04,2022-01-03,0.06476263892828249,326.08977813320246,0.0002667812305976173,0.06449585769768487,2043150.099161609,2174924.8172121467,0.53893705641976,BBSE3.SA:2.74% | CSMG3.SA:0.55% | EQTL3.SA:0.97% | MRFG3.SA:2.84% | TASA4.SA:2.84% | TITULO_CDI:90.05%,258,triple_factor,0.09950129271189576,0.05879788029743254,1.8723468195568695,0.034151836380677314,0.5909730268365796,0.02532484715723446,0.9004987072881042,0.04379550070628846,72,258,conservador,alerta,0.35,0.15477185853846567,0.044,-0.030696961603522532,0.4141390919642494,-0.11585890450243763,-0.1164869288519651,0.10753093571331013,0.0011506176407734055,0.06334524005691147,0.9222890443848136,0.00890204304582395,0.049895837251608594,0.03613128808268798
2022,2022-01-03,2023-01-02,0.1095874945903581,601.384701920305,0.00016448945975675128,0.10942300513060135,2174924.8172121467,2412911.6266446235,0.21506187142662025,FHER3.SA:2.86% | GOAU4.SA:2.83% | TASA4.SA:0.97% | UNIP6.SA:2.11% | USIM5.SA:1.23% | TITULO_CDI:90.00%,265,triple_factor,0.09999970438465769,-0.03150329652438128,1.8445780887696273,-0.03035021041665642,3.504470799871206e-11,-0.0010667816697887966,0.9000002956153423,0.12294915546054463,89,265,conservador,alerta,0.35,0.1540004552489729,0.044,-0.1422788516502802,0.3639416330688644,0.058784472970112134,0.06024213574183901,0.1235731168389898,0.002392931416580072,0.10703007371402128,0.9470707159071894,7.141154881536835e-13,-0.0315032965250954,0.10143305325494932
2023,2023-01-02,2024-01-02,0.15388050461160963,701.8432227859608,0.0001853597792483162,0.1536951448323613,2412911.6266446235,2783764.4285694575,0.2471462336779796,BRAP4.SA:1.85% | CURY3.SA:1.14% | KEPL3.SA:4.39% | UNIP6.SA:4.66% | VIVA3.SA:4.82% | TITULO_CDI:83.15%,297,triple_factor,0.16854775533218302,0.10986028299050103,1.8941414318143788,0.1117125874463275,7.675578413429917e-11,0.04635163282378674,0.831452244667817,0.1293265758525708,89,297,conservador,alerta,0.35,0.09136876352727955,0.04400000000000001,-0.13119280787931598,0.32947378943668626,0.2614217492667519,0.2704862406620203,0.24266717963330414,0.0062536054093448885,0.1474415394230164,0.9999999988399033,0.016756888099246664,0.09310339489125437,0.1066944250783709
2024,2024-01-02,2025-01-02,0.02710985853803005,631.8382511227101,0.0002963748500751738,0.026813483687954876,2783764.4285694575,2858406.8506660135,0.4853343592666083,BBSE3.SA:5.20% | CMIN3.SA:6.03% | CURY3.SA:9.40% | PLPL3.SA:2.87% | VIVA3.SA:9.40% | TITULO_CDI:67.11%,311,triple_factor,0.3289004860457544,0.029471782585672707,1.9999999976798066,0.03126565964378247,7.114299456219486e-11,-0.04521514244250113,0.6710995139542456,0.10777090353467633,89,311,conservador,normal,0.35,0.08513213323772598,0.08,0.0,0.20602234496939725,-0.09355147441162948,-0.08923577472783695,0.19811650701829508,0.0025075358987625804,0.024305947789192296,0.9999999799615502,0.004689848853931818,0.02478193373174089,0.08891099541610797
