decision_year,base_return,protected_return,cdi_return,days_alert,days_severe,overlay_turnover,overlay_cost_rate,minimum_equity_weight
2015,0.06047560289003617,0.08616418345282661,0.13130582057543272,66,54,0.3663840515908007,0.0003663840515908006,0.0469723143065129
2016,0.16837225489627117,0.16130926275794333,0.13881531059775876,111,30,0.18379451503315064,0.00018379451503315066,0.018489486584680775
2017,0.11986998220678124,0.1114844182556769,0.09869747716374189,45,0,0.19696632173161704,0.00019696632173161704,0.06879145037887006
2018,0.2145574926127487,0.1981423586983515,0.06367037319283098,93,13,1.0367857131676843,0.0010367857131676843,0.0675500626449362
2019,0.18204168417104394,0.16631510989940268,0.059156810061477216,10,0,0.2436689601026248,0.0002436689601026248,0.1487516136185807
2020,0.02565164968985223,0.0004007500705205391,0.027325854367194813,88,87,1.2345425206934895,0.0012345425206934896,0.0875
2021,0.06449585769768595,0.05617196492304277,0.04379550070628935,88,32,0.44452622807630093,0.000444526228076301,0.024875323177973925
2022,0.10942300513060155,0.11055157343442978,0.12294915546054397,138,23,0.5702724414125674,0.0005702724414125674,0.0249999260961644
2023,0.1536951448323618,0.15699909441050286,0.12932657585257323,63,0,0.265240897719586,0.000265240897719586,0.09270126543270066
2024,0.026813483687954776,0.027361529820237207,0.10777090353467789,18,0,0.6043683868753398,0.0006043683868753398,0.18089526732516492
2025,0.18520654806789993,0.17601836257394465,0.14209253474056927,39,0,0.2508952673251649,0.00025089526732516494,0.048125
