decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,risk_profile,risk_state_at_decision,equity_weight_before_risk,estimated_volatility_before_risk,estimated_volatility_after_risk,trailing_drawdown_at_decision,recent_volatility_at_decision,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax
2015,2015-01-02,2016-01-04,0.0046578416428459946,458.2454124380631,0.00029710594721190644,0.004360735695634088,1000000.0,1004360.7356956342,0.6406616827800321,CIEL3.SA:7.84% | CMIG4.SA:7.84% | HGTX3.SA:6.81% | ITSA4.SA:5.75% | ITUB4.SA:7.69% | TITULO_CDI:64.07%,167,triple_factor,0.35933831721996784,0.18871220352080392,1.6575792154713377e-10,0.18960073933042343,1.6575792154713377e-10,-0.07946476632582411,0.6406616827800321,0.1313058205754336,41,167,equilibrado,alerta,0.55,0.12856964533431262,0.08399999999999999,-0.15596708088919065,0.2951945008732114,-0.10640666226912932,-0.1085484010921044,0.21943284823076234,0.0032303711067538992,0.0011303645888801886,0.7310282906691259,0.020790525660132685,0.16792167786067125,0.10832730197473273
2016,2016-01-04,2017-01-02,0.20570401159709428,443.9696797834871,0.0003229085719394307,0.20538110302515486,1004360.7356956342,1210637.4514279596,0.4388656964615247,BRSR6.SA:4.12% | CMIG4.SA:4.12% | ENBR3.SA:3.72% | LREN3.SA:2.80% | SMLE3.SA:4.12% | TITULO_CDI:81.14%,178,triple_factor,0.18860735935331407,0.35524268069599596,1.4620565813382518,0.2824873795981,0.5298686496463155,0.0930702901689871,0.8113926406466859,0.13881531059776075,35,178,equilibrado,severo,0.5499999999999999,0.13997332919838748,0.048,-0.3333637916215477,0.3040165543931952,0.4291782349730666,0.41703172361765506,0.15211076382681513,0.005121789183918254,0.2002593138412366,0.9999999971034386,0.0552450359856115,0.2999976447103845,0.11452263124315262
2017,2017-01-02,2018-01-02,0.12328591643889442,478.4864410914482,0.00024882740168299635,0.12303708903721142,1210637.4514279596,1359590.7593310843,0.30422152765363025,CMIG4.SA:5.39% | CPLE6.SA:4.15% | ELET3.SA:4.37% | SAPR4.SA:5.39% | SMLE3.SA:5.39% | TITULO_CDI:75.31%,183,triple_factor,0.24687410212559624,0.2682054987766899,1.9999999942068771,0.26961957701813843,1.5555452581305435e-10,0.0489542903320111,0.7531258978744038,0.09869747716374411,39,183,equilibrado,alerta,0.55,0.1871399211266637,0.08399999999999998,-0.1180475646845498,0.17758668527274157,0.28214938998808514,0.28093004210729355,0.30069679853944475,0.006119534106740824,0.1169175549304706,0.8448553303540947,0.0341684305240085,0.23403706825268142,0.08142541866008889
2018,2018-01-02,2019-01-02,0.280374776303866,576.6421616027386,0.0005427843548675872,0.2798319919489984,1359590.7593310843,1740047.749750153,0.6013935970788895,BRSR6.SA:9.21% | CVCB3.SA:9.55% | ITSA3.SA:9.55% | MGLU3.SA:9.55% | SAPR4.SA:5.91% | TITULO_CDI:56.24%,169,triple_factor,0.43755322486758985,0.5503441663718452,1.6897106607081893,0.5522257159030635,1.188221025314688e-10,0.24456358023007996,0.5624467751324103,0.06367037319283275,44,169,equilibrado,normal,0.5499999999999999,0.15083879228629293,0.12000000000000001,0.0,0.179803088376693,0.12833318355137302,0.12649800523329735,0.2886393164383505,0.01239749054572492,0.26743450140327346,0.5620857247217244,0.04655972876074615,0.5037844376110991,0.05252805788408702
2019,2019-01-02,2020-01-02,0.24479417818696603,541.208629037909,0.0005378695356135505,0.24425630865135248,1740047.749750153,2165065.3899812177,0.577278632876701,BRSR6.SA:9.94% | CMIG3.SA:6.68% | CSNA3.SA:9.94% | IRBR3.SA:9.06% | MGLU3.SA:9.94% | TITULO_CDI:54.44%,182,triple_factor,0.4555888237065186,0.4280889018764276,1.1241714494434487,0.4296447904167966,3.877087055231941e-12,0.2125885496356255,0.5444111762934813,0.059156810061480325,48,182,equilibrado,normal,0.55,0.14486746944985615,0.11999999999999998,0.0,0.20495103062396527,0.27416164901331697,0.265415260819831,0.3740016381510084,0.01403413749366038,0.23022217115769208,0.7947831533328172,0.05122116620110374,0.3768677356753239,0.04880436830072127
2020,2020-01-02,2021-01-04,0.026385785241763715,908.8486103938376,0.0008250733682063069,0.025560711873557407,2165065.3899812177,2220406.002601939,0.7480032763020168,AZUL4.SA:12.00% | BBSE3.SA:12.00% | CMIG3.SA:9.01% | EQTL3.SA:9.99% | MRFG3.SA:12.00% | TITULO_CDI:45.00%,235,triple_factor,0.55,-0.1734169602669608,1.5895663066656345,-0.17161514457713067,7.396192562406299e-11,0.014089150776525505,0.44999999999999996,0.027325854367195923,67,235,equilibrado,normal,0.55,0.10162369513871314,0.10162369513871314,0.0,0.12382770843863249,0.006181845782766704,0.0035889676976212925,0.39069477269813196,0.0016664240253075932,0.023894287848249814,0.9361734097784348,3.311130589157824e-13,-0.17341696026729192,0.022543829852936636
2021,2021-01-04,2022-01-03,0.07237473714324572,536.2360123332899,0.0004166967009053046,0.07195804044234042,2220406.002601939,2380182.0675355843,0.7813895453962639,BBSE3.SA:4.54% | CSMG3.SA:2.65% | EQTL3.SA:4.54% | MRFG3.SA:4.54% | TASA4.SA:4.54% | TITULO_CDI:79.19%,258,triple_factor,0.20807425997852386,0.05879326340658743,1.8723468195568695,0.034151836380677314,0.5909730268365796,0.03769195283680715,0.7919257400214761,0.04379550070628846,72,258,equilibrado,alerta,0.55,0.22203611347587382,0.084,-0.01109634438492113,0.3385875434368232,-0.11585890450243763,-0.1164869288519651,0.19620343708816881,0.0023001478650964058,0.06965789257724402,0.9222890443848136,0.00890204304582395,0.049891220360763475,0.03613128808268798
2022,2022-01-03,2023-01-02,0.07814176629368608,990.4046348654227,0.0003187656662403987,0.07782300062744568,2380182.0675355843,2565414.9780708407,0.39240687417633763,FHER3.SA:4.72% | GOAU4.SA:4.72% | TASA4.SA:3.30% | UNIP6.SA:4.72% | USIM5.SA:4.18% | TITULO_CDI:78.35%,265,triple_factor,0.2165428452403816,-0.031508518776138375,1.8445780887696273,-0.03035021041665642,3.504470799871206e-11,-0.01818362922353023,0.7834571547596184,0.12294915546054463,89,265,equilibrado,alerta,0.55,0.2133526967779237,0.084,-0.09872353617031704,0.32553168928423404,0.058784472970112134,0.06024213574183901,0.2557395848137182,0.004310987914903266,0.07351201271254242,0.9470707159071894,7.141154881536835e-13,-0.03150851877685249,0.10143305325494932
2023,2023-01-02,2024-01-02,0.17425653183081558,1146.950307888498,0.0003745155668801504,0.17388201626393543,2565414.9780708407,3011494.5070114983,0.5114791696274364,BRAP4.SA:7.30% | CURY3.SA:4.48% | KEPL3.SA:7.44% | UNIP6.SA:7.44% | VIVA3.SA:7.44% | TITULO_CDI:65.89%,297,triple_factor,0.34111550412561487,0.10985243193768891,1.8941414318143788,0.1117125874463275,7.675578413429917e-11,0.08904525609703406,0.6588844958743851,0.1293265758525708,89,297,equilibrado,alerta,0.55,0.13543799516948063,0.08399999999999998,-0.08244018110782025,0.3066206568619044,0.2614217492667519,0.2704862406620203,0.3597042813185271,0.010168394599540753,0.16371362166439468,0.9999999988399033,0.016756888099246664,0.09309554383844225,0.1066944250783709
2024,2024-01-02,2025-01-02,-0.013062526563394905,1003.172508532333,0.0004912135208190284,-0.013553740084213933,3011494.5070114983,2970677.4931984264,0.7194085626370542,BBSE3.SA:11.53% | CMIN3.SA:11.53% | CURY3.SA:11.53% | PLPL3.SA:6.73% | VIVA3.SA:11.53% | TITULO_CDI:47.13%,311,triple_factor,0.5286614795738589,0.029464008254197746,1.9999999976798066,0.03126565964378247,7.114299456219486e-11,-0.06385910478041767,0.4713385204261411,0.10777090353467633,89,311,equilibrado,normal,0.55,0.12484359566579542,0.12,0.0,0.18074284051426087,-0.09355147441162948,-0.08923577472783695,0.18193778785398135,0.0016173179874874486,-0.015171058071701382,0.9999999799615502,0.004689848853931818,0.02477415940026593,0.08891099541610797
