decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,risk_profile,risk_state_at_decision,equity_weight_before_risk,estimated_volatility_before_risk,estimated_volatility_after_risk,trailing_drawdown_at_decision,recent_volatility_at_decision,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax
2015,2015-01-02,2016-01-04,-0.06254043815873633,458.2454124380631,0.0004582454124380631,-0.0629986835711744,1000000.0,937001.3164288256,0.44999999999999996,CIEL3.SA:12.00% | CMIG4.SA:12.00% | HGTX3.SA:10.43% | ITSA4.SA:8.79% | ITUB4.SA:11.78% | TITULO_CDI:45.00%,167,triple_factor,0.55,0.18871220352080392,1.6575792154713377e-10,0.18960073933042343,1.6575792154713377e-10,-0.12162805741768146,0.44999999999999996,0.1313058205754336,41,167,,não aplicado,0.55,,,,,-0.10640666226912932,-0.1085484010921044,0.4267370315628296,0.004412603167818461,-0.06741128673899285,0.7310282906691259,0.020790525660132685,0.16792167786067125,0.10832730197473273
2016,2016-01-04,2017-01-02,0.33387018902759813,393.21709679654055,0.000744735652187277,0.33312545337541083,937001.3164288256,1249140.304777535,0.8534740631256592,BRSR6.SA:12.00% | CMIG4.SA:12.00% | ENBR3.SA:10.85% | LREN3.SA:8.15% | SMLE3.SA:12.00% | TITULO_CDI:45.00%,178,triple_factor,0.5499999999999999,0.3552444830039847,1.4620565813382518,0.2824873795981,0.5298686496463155,0.27140329925860585,0.45000000000000007,0.13881531059776075,35,178,,não aplicado,0.5499999999999999,,,,,0.4291782349730666,0.41703172361765506,0.38055211465605565,0.019652548643199846,0.313472904732211,0.9999999971034386,0.0552450359856115,0.2999994470183732,0.11452263124315262
2017,2017-01-02,2018-01-02,0.15347698414683197,359.35209398555685,0.0006185227188007656,0.1528584614280312,1249140.304777535,1440081.969873571,0.7611042293121113,CMIG4.SA:12.00% | CPLE6.SA:9.25% | ELET3.SA:9.75% | SAPR4.SA:12.00% | SMLE3.SA:12.00% | TITULO_CDI:45.00%,183,triple_factor,0.5500000000000002,0.2682028155263814,1.9999999942068771,0.26961957701813843,1.5555452581305435e-10,0.10906311942314706,0.44999999999999984,0.09869747716374411,39,183,,não aplicado,0.5500000000000002,,,,,0.28214938998808514,0.28093004210729355,0.31944911249293695,0.007708912197778761,0.14514954923025244,0.8448553303540947,0.0341684305240085,0.23403438500237292,0.08142541866008889
2018,2018-01-02,2019-01-02,0.336065626929418,644.6398174489641,0.0009755930479886376,0.3350900338814294,1440081.969873571,1922639.0859505415,0.6388982249858739,BRSR6.SA:11.57% | CVCB3.SA:12.00% | ITSA3.SA:12.00% | MGLU3.SA:12.00% | SAPR4.SA:7.43% | TITULO_CDI:45.00%,169,triple_factor,0.5499999999999999,0.5503359519793724,1.6897106607081893,0.5522257159030635,1.188221025314688e-10,0.30741395899264323,0.45000000000000007,0.06367037319283275,44,169,,não aplicado,0.5499999999999999,,,,,0.12833318355137302,0.12649800523329735,0.3470506104462255,0.0177433566175712,0.3173466772638582,0.5620857247217244,0.04655972876074615,0.5037762232186263,0.05252805788408702
2019,2019-01-02,2020-01-02,0.2832636080254014,680.9918305413238,0.0006601619568744687,0.28260344606852694,1922639.0859505415,2465983.517186207,0.694101220892451,BRSR6.SA:12.00% | CMIG3.SA:8.06% | CSNA3.SA:12.00% | IRBR3.SA:10.94% | MGLU3.SA:12.00% | TITULO_CDI:45.00%,182,triple_factor,0.55,0.4280809747524071,1.1241714494434487,0.4296447904167966,3.877087055231941e-12,0.25664304349773515,0.44999999999999996,0.059156810061480325,48,182,,não aplicado,0.55,,,,,0.27416164901331697,0.265415260819831,0.4430109164705775,0.01911816060632346,0.2634852854622035,0.7947831533328172,0.05122116620110374,0.37685980855130335,0.04880436830072127
2020,2020-01-02,2021-01-04,0.026385785241763715,1018.0736229775449,0.0008912122414774078,0.02549457300028631,2465983.517186207,2528852.7139826138,0.886021832941155,AZUL4.SA:12.00% | BBSE3.SA:12.00% | CMIG3.SA:9.01% | EQTL3.SA:9.99% | MRFG3.SA:12.00% | TITULO_CDI:45.00%,235,triple_factor,0.5500000000000002,-0.1734305291054586,1.5895663066656345,-0.17161514457713067,7.396192562406299e-11,0.014089150776525616,0.44999999999999984,0.027325854367195923,67,235,,não aplicado,0.5500000000000002,,,,,0.006181845782766704,0.0035889676976212925,0.17061873263294422,0.0007277372903239548,0.024766835709962354,0.9361734097784348,3.311130589157824e-13,-0.1734305291057897,0.022543829852936636
2021,2021-01-04,2022-01-03,0.11933862671307516,613.4205587219435,0.00040112316068481563,0.11893750355239034,2528852.7139826138,2829628.142635393,0.34123746526588844,BBSE3.SA:12.00% | CSMG3.SA:7.00% | EQTL3.SA:12.00% | MRFG3.SA:12.00% | TASA4.SA:12.00% | TITULO_CDI:45.00%,258,triple_factor,0.55,0.05878564897353606,1.8723468195568695,0.034151836380677314,0.5909730268365796,0.0996306513952453,0.44999999999999996,0.04379550070628846,72,258,,não aplicado,0.55,,,,,-0.11585890450243763,-0.1164869288519651,0.4966139708576719,0.00913446579030606,0.10980303776208428,0.9222890443848136,0.00890204304582395,0.04988360592771211,0.03613128808268798
2022,2022-01-03,2023-01-02,0.009142282670934865,1363.390886968297,0.0008360790811445829,0.008306203589790282,2829628.142635393,2853131.6100715226,0.9932279417153438,FHER3.SA:12.00% | GOAU4.SA:12.00% | TASA4.SA:8.38% | UNIP6.SA:12.00% | USIM5.SA:10.62% | TITULO_CDI:45.00%,265,triple_factor,0.55,-0.031519218438351086,1.8445780887696273,-0.03035021041665642,3.504470799871206e-11,-0.046184837286310065,0.44999999999999996,0.12294915546054463,89,265,,não aplicado,0.55,,,,,0.058784472970112134,0.06024213574183901,0.3700000000000001,0.0035824310172316194,0.004723772572558663,0.9470707159071894,7.141154881536835e-13,-0.0315192184390652,0.10143305325494932
2023,2023-01-02,2024-01-02,0.20176970871860078,1123.5040020090682,0.0007408096210249813,0.2010288990975758,2853131.6100715226,3426693.5166246947,0.7400000000000002,BRAP4.SA:11.77% | CURY3.SA:7.23% | KEPL3.SA:12.00% | UNIP6.SA:12.00% | VIVA3.SA:12.00% | TITULO_CDI:45.00%,297,triple_factor,0.55,0.10983823103258505,1.8941414318143788,0.1117125874463275,7.675578413429917e-11,0.1435727495849437,0.44999999999999996,0.1293265758525708,89,297,,não aplicado,0.55,,,,,0.2614217492667519,0.2704862406620203,0.35864621442358907,0.011376394309697706,0.1896525047878781,0.9999999988399033,0.016756888099246664,0.09308134293333839,0.1066944250783709
2024,2024-01-02,2025-01-02,-0.01793976221594673,1137.6369334456203,0.0006214704576171617,-0.018561232673563893,3426693.5166246947,3363089.860961631,0.7172924288471781,BBSE3.SA:12.00% | CMIN3.SA:12.00% | CURY3.SA:12.00% | PLPL3.SA:7.00% | VIVA3.SA:12.00% | TITULO_CDI:45.00%,311,triple_factor,0.55,0.02945055597678109,1.9999999976798066,0.03126565964378247,7.114299456219486e-11,-0.06643666880655102,0.44999999999999996,0.10777090353467633,89,311,,não aplicado,0.55,,,,,-0.09355147441162948,-0.08923577472783695,0.16286792679313558,0.0013822533606511144,-0.019943486034215006,0.9999999799615502,0.004689848853931818,0.024760707122849272,0.08891099541610797
