decision_year,base_return,protected_return,cdi_return,days_alert,days_severe,overlay_turnover,overlay_cost_rate,minimum_equity_weight
2015,0.004360735695631002,0.03152821870363942,0.13130582057543272,66,54,0.6468089709959419,0.0006468089709959418,0.14373532688798712
2016,0.20538110302515444,0.19270284421010175,0.13881531059775876,111,30,0.3512034221766326,0.00035120342217663254,0.0754429437413256
2017,0.12303708903721033,0.11264295952651815,0.09869747716374189,45,0,0.26297341185363415,0.00026297341185363415,0.17281187148791735
2018,0.2798319919489969,0.2588754229824721,0.06367037319283098,93,13,1.2408068624242092,0.0012408068624242092,0.17502128994703592
2019,0.24425630865135073,0.22755556649447994,0.059156810061477216,10,0,0.29138889306284,0.00029138889306284,0.318912176594563
2020,0.025560711873559017,0.004119078578153745,0.027325854367194813,88,87,1.4144111762934817,0.0014144111762934815,0.22000000000000003
2021,0.07195804044233967,0.062335415165103214,0.04379550070628935,88,32,0.654037129989262,0.0006540371299892619,0.08322970399140953
2022,0.07782300062744318,0.0788635838866818,0.12294915546054397,138,23,0.9154079596929032,0.0009154079596929031,0.08661713809615264
2023,0.17388201626393518,0.17896613598524036,0.12932657585257323,63,0,0.39420481493271664,0.0003942048149327167,0.23878085288793036
2024,-0.013553740084213284,-0.012694503326100448,0.10777090353467789,18,0,0.6633413070647172,0.0006633413070647172,0.3700630357017012
2025,0.289448662770625,0.2649489151706863,0.14209253474056927,39,0,0.44706303570170136,0.00044706303570170135,0.26949999999999996
