decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2015,2015-01-02,2016-01-04,-0.11786270351106687,839.312975123551,0.0008393129751235511,-0.11870201648619041,1000000.0,881297.9835138096,0.0,ABEV3.SA:10.00% | BBDC4.SA:10.00% | BBSE3.SA:10.00% | CMIG4.SA:10.00% | ITSA4.SA:10.00% | ITUB4.SA:10.00% | LREN3.SA:10.00% | PSSA3.SA:10.00% | RENT3.SA:10.00% | TOTS3.SA:10.00%,137,triple_factor,1.0,-0.030859587570000898,0.1313058205754336
2016,2016-01-04,2017-01-02,0.49854011290053135,312.2463187321717,0.00035430277224420643,0.49818581012828717,881297.9835138096,1320348.1333950628,0.5959530837159106,ABEV3.SA:10.00% | BBAS3.SA:10.00% | BBSE3.SA:10.00% | BRSR6.SA:10.00% | CMIG4.SA:10.00% | EQTL3.SA:10.00% | ITSA4.SA:10.00% | ITUB4.SA:10.00% | LREN3.SA:10.00% | TOTS3.SA:10.00%,153,triple_factor,1.0,0.3153468463494615,0.13881531059776075
2017,2017-01-02,2018-01-02,0.2547702519131434,621.9590361413649,0.00047105685266665036,0.25429919506047677,1320348.1333950628,1656111.6009170301,0.9899890685619666,ABEV3.SA:10.00% | BBDC4.SA:10.00% | BBSE3.SA:10.00% | CMIG4.SA:10.00% | CVCB3.SA:10.00% | EGIE3.SA:10.00% | ITSA4.SA:10.00% | ITUB4.SA:10.00% | RADL3.SA:10.00% | SAPR4.SA:10.00%,155,triple_factor,1.0,0.2798076023340274,0.09485614678200971
2018,2018-01-02,2019-01-02,0.30039103130745026,873.6763341516623,0.0005275467750288604,0.2998634845324214,1656111.6009170301,2152718.996342578,1.1110578218625238,ABEV3.SA:10.00% | BBDC3.SA:10.00% | BBSE3.SA:10.00% | BRSR6.SA:10.00% | CVCB3.SA:10.00% | EGIE3.SA:10.00% | ITSA3.SA:10.00% | ITUB3.SA:10.00% | MGLU3.SA:10.00% | SAPR4.SA:10.00%,170,triple_factor,1.0,0.08802738259240829,0.06367037319283275
2019,2019-01-02,2020-01-02,0.37402450452825486,1150.0731522548745,0.0005342421162301366,0.3734902624120247,2152718.996342578,2956738.579185918,0.9561745286094013,BBDC3.SA:10.00% | BBSE3.SA:10.00% | BRSR6.SA:10.00% | CMIG3.SA:10.00% | CSNA3.SA:10.00% | EGIE3.SA:10.00% | IRBR3.SA:10.00% | ITUB4.SA:10.00% | MGLU3.SA:10.00% | SLCE3.SA:10.00%,184,triple_factor,1.0,0.3279592260673953,0.05915681006147966
2020,2020-01-02,2021-01-04,0.02414465028132229,1753.7083822051695,0.0005931225690869227,0.023551527712235367,2956738.579185918,3026374.2897714507,1.2464223000083718,BBSE3.SA:10.00% | BRAP4.SA:10.00% | CMIG3.SA:10.00% | CSAN3.SA:10.00% | EQTL3.SA:10.00% | IRBR3.SA:10.00% | LIGT3.SA:10.00% | MGLU3.SA:10.00% | POSI3.SA:10.00% | QUAL3.SA:10.00%,204,triple_factor,1.0,0.08200362504266608,0.027325854367195035
2021,2021-01-04,2022-01-03,-0.0922838678028467,1676.0269423765371,0.0005538068929679909,-0.09283767469581469,3026374.2897714507,2745412.7379498715,1.0533043474633326,BBSE3.SA:10.00% | BEEF3.SA:10.00% | BMGB4.SA:10.00% | CMIG3.SA:10.00% | CSMG3.SA:10.00% | CYRE3.SA:10.00% | EQTL3.SA:10.00% | LIGT3.SA:10.00% | TASA4.SA:10.00% | WEGE3.SA:10.00%,220,triple_factor,1.0,-0.03313610759992129,0.04379550070628868
2022,2022-01-03,2023-01-02,0.016131868232344804,2262.9064926432834,0.0008242500158038539,0.01530761821654095,2745412.7379498715,2787438.4679892366,1.7999999999999998,BRAP4.SA:10.00% | CSNA3.SA:10.00% | FHER3.SA:10.00% | GOAU4.SA:10.00% | PETR4.SA:10.00% | POSI3.SA:10.00% | TASA4.SA:10.00% | UNIP6.SA:10.00% | USIM5.SA:10.00% | VALE3.SA:10.00%,229,triple_factor,1.0,0.036296205392847655,0.12294915546054419
2023,2023-01-02,2024-01-02,0.3054257327372447,1928.50685578218,0.0006918562967143592,0.30473387644053035,2787438.4679892366,3636865.3976790495,1.384742717009276,BBSE3.SA:10.00% | BRAP4.SA:10.00% | CURY3.SA:10.00% | FESA4.SA:10.00% | KEPL3.SA:10.00% | PETR3.SA:10.00% | PRIO3.SA:10.00% | TASA4.SA:10.00% | UNIP6.SA:10.00% | VIVA3.SA:10.00%,267,triple_factor,1.0,0.1989341203588242,0.129326575852571
2024,2024-01-02,2025-01-02,-0.12722084780433962,1868.0074693834854,0.0005136311810097778,-0.1277344789853494,3636865.3976790495,3172312.2909666705,1.0395270871930438,BBSE3.SA:10.00% | CEAB3.SA:10.00% | CMIN3.SA:10.00% | CURY3.SA:10.00% | KEPL3.SA:10.00% | LEVE3.SA:10.00% | PETR4.SA:10.00% | PLPL3.SA:10.00% | TASA4.SA:10.00% | VIVA3.SA:10.00%,286,triple_factor,1.0,-0.19578223666891534,0.08222592706285003
