decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2015,2015-01-02,2016-01-04,-0.11525694828119093,838.5375073483827,0.0008385375073483828,-0.11609548578853932,1000000.0,883904.5142114606,0.0,ABEV3.SA:10.00% | BBDC3.SA:10.00% | BBDC4.SA:10.00% | BBSE3.SA:10.00% | CMIG4.SA:10.00% | ITSA4.SA:10.00% | ITUB4.SA:10.00% | LREN3.SA:10.00% | PSSA3.SA:10.00% | TOTS3.SA:10.00%,137,triple_factor,1.0,-0.030859587570000898,0.1313058205754336
2016,2016-01-04,2017-01-02,0.49854011290053135,312.4444302748539,0.0003534821072314451,0.4981866307932999,883904.5142114606,1324253.9260894565,0.5983112438366467,ABEV3.SA:10.00% | BBAS3.SA:10.00% | BBSE3.SA:10.00% | BRSR6.SA:10.00% | CMIG4.SA:10.00% | EQTL3.SA:10.00% | ITSA4.SA:10.00% | ITUB4.SA:10.00% | LREN3.SA:10.00% | TOTS3.SA:10.00%,153,triple_factor,1.0,0.3153468463494615,0.13881531059776075
2017,2017-01-02,2018-01-02,0.24899782811496962,736.6998890464182,0.000556313162100191,0.24844151495286942,1324253.9260894565,1653253.5776694063,1.1899890685619665,ABEV3.SA:10.00% | BBDC3.SA:10.00% | BBDC4.SA:10.00% | BBSE3.SA:10.00% | CMIG4.SA:10.00% | CVCB3.SA:10.00% | EGIE3.SA:10.00% | ITUB4.SA:10.00% | RADL3.SA:10.00% | SAPR4.SA:10.00%,155,triple_factor,1.0,0.2798076023340274,0.09485614678200971
2018,2018-01-02,2019-01-02,0.309632434398029,732.1664242721149,0.00044286395877893753,0.30918957043925005,1653253.5776694063,2164422.3411761634,0.908531621260175,ABEV3.SA:10.00% | BBSE3.SA:10.00% | BRSR6.SA:10.00% | CVCB3.SA:10.00% | EGIE3.SA:10.00% | ITSA3.SA:10.00% | ITUB3.SA:10.00% | ITUB4.SA:10.00% | MGLU3.SA:10.00% | SAPR4.SA:10.00%,170,triple_factor,1.0,0.08802738259240829,0.06367037319283275
2019,2019-01-02,2020-01-02,0.37402450452825486,1146.887444467276,0.0005298815405148927,0.37349462298773994,2164422.3411761634,2972822.4474799964,0.9435293735763787,BBDC3.SA:10.00% | BBSE3.SA:10.00% | BRSR6.SA:10.00% | CMIG3.SA:10.00% | CSNA3.SA:10.00% | EGIE3.SA:10.00% | IRBR3.SA:10.00% | ITUB4.SA:10.00% | MGLU3.SA:10.00% | SLCE3.SA:10.00%,184,triple_factor,1.0,0.3279592260673953,0.05915681006147966
2020,2020-01-02,2021-01-04,0.02414465028132229,1763.6173852476254,0.0005932467937137011,0.023551403487608587,2972822.4474799964,3042836.5884376178,1.2464223000083718,BBSE3.SA:10.00% | BRAP4.SA:10.00% | CMIG3.SA:10.00% | CSAN3.SA:10.00% | EQTL3.SA:10.00% | IRBR3.SA:10.00% | LIGT3.SA:10.00% | MGLU3.SA:10.00% | POSI3.SA:10.00% | QUAL3.SA:10.00%,204,triple_factor,1.0,0.08200362504266608,0.027325854367195035
2021,2021-01-04,2022-01-03,-0.0922838678028467,1685.5315139479658,0.0005539342863013957,-0.09283780208914809,3042836.5884376178,2760346.327450628,1.0533043474633326,BBSE3.SA:10.00% | BEEF3.SA:10.00% | BMGB4.SA:10.00% | CMIG3.SA:10.00% | CSMG3.SA:10.00% | CYRE3.SA:10.00% | EQTL3.SA:10.00% | LIGT3.SA:10.00% | TASA4.SA:10.00% | WEGE3.SA:10.00%,220,triple_factor,1.0,-0.03313610759992129,0.04379550070628868
2022,2022-01-03,2023-01-02,0.04789035302580302,2258.931454224547,0.0008183507380071498,0.04707200228779587,2760346.327450628,2890281.3560914933,1.7999999999999998,BRAP4.SA:10.00% | CSNA3.SA:10.00% | FHER3.SA:10.00% | GOAU4.SA:10.00% | PETR3.SA:10.00% | PETR4.SA:10.00% | TASA4.SA:10.00% | UNIP6.SA:10.00% | USIM5.SA:10.00% | VALE3.SA:10.00%,229,triple_factor,1.0,0.036296205392847655,0.12294915546054419
2023,2023-01-02,2024-01-02,0.4134421751829678,1620.1379351480832,0.0005605467895827914,0.412881628393385,2890281.3560914933,4083625.42890959,0.9898989194605282,BBSE3.SA:10.00% | BRAP4.SA:10.00% | CURY3.SA:10.00% | KEPL3.SA:10.00% | PETR3.SA:10.00% | PETR4.SA:10.00% | PRIO3.SA:10.00% | TASA4.SA:10.00% | UNIP6.SA:10.00% | VIVA3.SA:10.00%,267,triple_factor,1.0,0.1989341203588242,0.129326575852571
2024,2024-01-02,2025-01-02,-0.12722084780433962,1925.615252049782,0.0004715455140468062,-0.12769239331838642,4083625.42890959,3562177.5244763023,0.8802923960682147,BBSE3.SA:10.00% | CEAB3.SA:10.00% | CMIN3.SA:10.00% | CURY3.SA:10.00% | KEPL3.SA:10.00% | LEVE3.SA:10.00% | PETR4.SA:10.00% | PLPL3.SA:10.00% | TASA4.SA:10.00% | VIVA3.SA:10.00%,286,triple_factor,1.0,-0.19578223666891534,0.08222592706285003
2025,2025-01-02,2025-12-31,0.4243732937300657,1334.431775909473,0.00037461125020872056,0.423998682479857,3562177.5244763023,5072536.101613613,0.8256365625887347,BBSE3.SA:10.00% | CMIG4.SA:10.00% | CMIN3.SA:10.00% | CURY3.SA:10.00% | LEVE3.SA:10.00% | PLPL3.SA:10.00% | POMO4.SA:10.00% | VBBR3.SA:10.00% | VIVA3.SA:10.00% | WEGE3.SA:10.00%,285,triple_factor,1.0,0.2576715867752035,0.14209253474057104
