decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2015,2015-01-02,2016-01-04,-0.32635491505394,869.0250060045421,0.0008690250060045421,-0.32722394005994454,1000000.0,672776.0599400554,2.220446049250313e-16,ABEV3.SA:8.75% | BBSE3.SA:26.19% | CMIG4.SA:54.92% | ITUB4.SA:10.14%,137,triple_factor,0.9999999999999998,0.43876683017829227,0.1313058205754336
2016,2016-01-04,2017-01-02,0.39549609870239544,269.4675651355632,0.0004005308470095872,0.39509556785538585,672776.0599400554,938586.8993815806,0.4641460671277828,ABEV3.SA:24.55% | BBSE3.SA:39.23% | BRSR6.SA:13.86% | CMIG4.SA:22.36%,153,triple_factor,1.0,0.7556830268843867,0.13881531059776075
2017,2017-01-02,2018-01-02,0.1684565625069372,770.3850423760582,0.0008207924518056369,0.16763577005513156,938586.8993815806,1095927.6370230704,1.3146091163427907,BBSE3.SA:9.86% | CMIG4.SA:53.51% | CVCB3.SA:21.61% | SAPR4.SA:15.03%,155,triple_factor,1.0,0.037729559606565516,0.09485614678200971
2018,2018-01-02,2019-01-02,0.8645189841063261,860.6541197705651,0.0007853202079184791,0.8637336638984077,1095927.6370230704,2042517.2303165311,1.4635117251595309,BBSE3.SA:8.54% | CVCB3.SA:18.28% | ITSA3.SA:12.19% | MGLU3.SA:60.99%,170,triple_factor,1.0,1.2866508727797166,0.06367037319283275
2019,2019-01-02,2020-01-02,0.5203726549499583,2138.531365821449,0.0010470077481256,0.5193256472018327,2042517.2303165311,3103248.8128715586,1.3393263883871622,BRSR6.SA:34.37% | CSNA3.SA:27.79% | IRBR3.SA:9.62% | MGLU3.SA:28.23%,184,triple_factor,1.0,0.5094043537525801,0.05915681006147966
2020,2020-01-02,2021-01-04,-0.14418942652845002,2590.4241731253233,0.0008347458838559263,-0.14502417241230595,3103248.8128715586,2653202.72199539,1.8167633991592074,BBSE3.SA:54.57% | CMIG3.SA:14.67% | EQTL3.SA:19.54% | IRBR3.SA:11.22%,204,triple_factor,1.0,-0.4171528154226983,0.027325854367195035
2021,2021-01-04,2022-01-03,0.10188314430945455,1794.7163522639917,0.0006764339329918379,0.10120671037646271,2653202.72199539,2921724.64145042,0.5685875725363172,BBSE3.SA:37.40% | CSMG3.SA:8.47% | EQTL3.SA:14.22% | TASA4.SA:39.91%,220,triple_factor,1.0,0.13669158001847662,0.04379550070628868
2022,2022-01-03,2023-01-02,-0.037830369336231184,3657.779707968848,0.0012519248583785195,-0.03908229419460971,2921724.64145042,2807536.939457614,1.7392366008421591,FHER3.SA:52.05% | GOAU4.SA:24.80% | TASA4.SA:13.04% | USIM5.SA:10.12%,229,triple_factor,1.0,0.08038386213365509,0.12294915546054419
2023,2023-01-02,2024-01-02,0.449812496283333,2776.8206942088805,0.0009890593620276043,0.4488234369213054,2807536.939457614,4067625.317908503,1.3765474278423475,BRAP4.SA:12.20% | KEPL3.SA:18.17% | UNIP6.SA:7.29% | VIVA3.SA:62.35%,267,triple_factor,1.0,0.19819753006438232,0.129326575852571
2024,2024-01-02,2025-01-02,-0.15418192709560807,736.4185982071668,0.0001810438623648403,-0.1543629709579729,4067625.317908503,3439734.5890922775,0.3392225815654203,BBSE3.SA:6.33% | CMIN3.SA:7.88% | KEPL3.SA:18.01% | VIVA3.SA:67.78%,286,triple_factor,1.0,-0.17215617919515488,0.08222592706285003
2025,2025-01-02,2025-12-31,0.6484577511670366,820.1716267433965,0.00023844038122715572,0.6482193107858095,3439734.5890922775,5669436.973719784,0.4568666565292472,BBSE3.SA:24.60% | CMIN3.SA:6.90% | CURY3.SA:5.98% | VIVA3.SA:62.52%,285,triple_factor,1.0,0.07678053347573988,0.14209253474057104
