policy,objective,window,years,cagr,cdi_cagr,excess_cdi,cdi_hit_rate,worst_year,max_drawdown,average_turnover,unique_rules_used
hit_rate_expanding,hit_rate,expanding,8,0.1823975375720699,0.08635880060642354,0.09603873696564635,0.75,-0.143559027482121,-0.14355902748212102,0.3817793265335675,1
information_ratio_expanding,information_ratio,expanding,8,0.1816300134070592,0.08635880060642354,0.09527121280063566,0.75,-0.1199470218881319,-0.11994702188813189,0.6385862345108685,5
return_expanding,return,expanding,8,0.16627251923591757,0.08635880060642354,0.07991371862949403,0.625,-0.2173742143474384,-0.21737421434743842,1.182080907130786,3
excess_return_expanding,excess_return,expanding,8,0.16627251923591757,0.08635880060642354,0.07991371862949403,0.625,-0.2173742143474384,-0.21737421434743842,1.182080907130786,3
excess_return_3y,excess_return,3,8,0.13248713269518797,0.08635880060642354,0.046128332088764434,0.625,-0.1520401460311934,-0.15204014603119342,1.3990141762759314,1
excess_return_2y,excess_return,2,8,0.13248713269518797,0.08635880060642354,0.046128332088764434,0.625,-0.1520401460311934,-0.15204014603119342,1.3990141762759314,1
return_3y,return,3,8,0.13248713269518797,0.08635880060642354,0.046128332088764434,0.625,-0.1520401460311934,-0.15204014603119342,1.3990141762759314,1
return_2y,return,2,8,0.13248713269518797,0.08635880060642354,0.046128332088764434,0.625,-0.1520401460311934,-0.15204014603119342,1.3990141762759314,1
information_ratio_3y,information_ratio,3,8,0.13248713269518797,0.08635880060642354,0.046128332088764434,0.625,-0.1520401460311934,-0.15204014603119342,1.3990141762759314,1
information_ratio_2y,information_ratio,2,8,0.13248713269518797,0.08635880060642354,0.046128332088764434,0.625,-0.1520401460311934,-0.15204014603119342,1.3990141762759314,1
hit_rate_3y,hit_rate,3,8,0.13248713269518797,0.08635880060642354,0.046128332088764434,0.625,-0.1520401460311934,-0.15204014603119342,1.3990141762759314,1
hit_rate_2y,hit_rate,2,8,0.13248713269518797,0.08635880060642354,0.046128332088764434,0.625,-0.1520401460311934,-0.15204014603119342,1.3990141762759314,1
hit_rate_5y,hit_rate,5,8,0.13161447428778406,0.08635880060642354,0.04525567368136052,0.625,-0.1520401460311934,-0.15204014603119342,1.3834182229816827,2
return_5y,return,5,8,0.13130699669369972,0.08635880060642354,0.04494819608727618,0.625,-0.1520401460311934,-0.15204014603119342,1.3920891320523692,2
excess_return_5y,excess_return,5,8,0.13130699669369972,0.08635880060642354,0.04494819608727618,0.625,-0.1520401460311934,-0.15204014603119342,1.3920891320523692,2
information_ratio_5y,information_ratio,5,8,0.13130699669369972,0.08635880060642354,0.04494819608727618,0.625,-0.1520401460311934,-0.15204014603119342,1.3920891320523692,2
