policy,objective,window,years,cagr,cdi_cagr,excess_cdi,cdi_hit_rate,worst_year,max_drawdown,average_turnover,unique_rules_used,recent_years,recent_cagr,recent_cdi_cagr,recent_excess_cdi,recent_cdi_hit_rate,recent_worst_year,recent_max_drawdown,recent_average_turnover,recent_unique_rules_used
hit_rate_expanding,hit_rate,expanding,8,0.1823975375720699,0.08635880060642354,0.09603873696564635,0.75,-0.143559027482121,-0.14355902748212102,0.3817793265335675,1,3,0.12007031188858419,0.12630738483222426,-0.006237072943640065,0.6666666666666666,-0.143559027482121,-0.14355902748212102,0.3726019344544275,1
information_ratio_expanding,information_ratio,expanding,8,0.1816300134070592,0.08635880060642354,0.09527121280063566,0.75,-0.1199470218881319,-0.11994702188813189,0.6385862345108685,5,3,0.1392355595400292,0.12630738483222426,0.01292817470780494,0.6666666666666666,-0.1199470218881319,-0.11994702188813189,0.4849437161268407,2
return_expanding,return,expanding,8,0.16627251923591757,0.08635880060642354,0.07991371862949403,0.625,-0.2173742143474384,-0.21737421434743842,1.182080907130786,3,3,0.1388428143479692,0.12630738483222426,0.012535429515744934,0.6666666666666666,-0.1369210221047158,-0.1369210221047159,1.1478179449004975,1
excess_return_expanding,excess_return,expanding,8,0.16627251923591757,0.08635880060642354,0.07991371862949403,0.625,-0.2173742143474384,-0.21737421434743842,1.182080907130786,3,3,0.1388428143479692,0.12630738483222426,0.012535429515744934,0.6666666666666666,-0.1369210221047158,-0.1369210221047159,1.1478179449004975,1
excess_return_3y,excess_return,3,8,0.13248713269518797,0.08635880060642354,0.046128332088764434,0.625,-0.1520401460311934,-0.15204014603119342,1.3990141762759314,1,3,0.1419896684988331,0.12630738483222426,0.015682283666608843,0.6666666666666666,-0.1027741310706106,-0.10277413107061062,1.1887468856161432,1
excess_return_2y,excess_return,2,8,0.13248713269518797,0.08635880060642354,0.046128332088764434,0.625,-0.1520401460311934,-0.15204014603119342,1.3990141762759314,1,3,0.1419896684988331,0.12630738483222426,0.015682283666608843,0.6666666666666666,-0.1027741310706106,-0.10277413107061062,1.1887468856161432,1
return_3y,return,3,8,0.13248713269518797,0.08635880060642354,0.046128332088764434,0.625,-0.1520401460311934,-0.15204014603119342,1.3990141762759314,1,3,0.1419896684988331,0.12630738483222426,0.015682283666608843,0.6666666666666666,-0.1027741310706106,-0.10277413107061062,1.1887468856161432,1
return_2y,return,2,8,0.13248713269518797,0.08635880060642354,0.046128332088764434,0.625,-0.1520401460311934,-0.15204014603119342,1.3990141762759314,1,3,0.1419896684988331,0.12630738483222426,0.015682283666608843,0.6666666666666666,-0.1027741310706106,-0.10277413107061062,1.1887468856161432,1
information_ratio_3y,information_ratio,3,8,0.13248713269518797,0.08635880060642354,0.046128332088764434,0.625,-0.1520401460311934,-0.15204014603119342,1.3990141762759314,1,3,0.1419896684988331,0.12630738483222426,0.015682283666608843,0.6666666666666666,-0.1027741310706106,-0.10277413107061062,1.1887468856161432,1
information_ratio_2y,information_ratio,2,8,0.13248713269518797,0.08635880060642354,0.046128332088764434,0.625,-0.1520401460311934,-0.15204014603119342,1.3990141762759314,1,3,0.1419896684988331,0.12630738483222426,0.015682283666608843,0.6666666666666666,-0.1027741310706106,-0.10277413107061062,1.1887468856161432,1
hit_rate_3y,hit_rate,3,8,0.13248713269518797,0.08635880060642354,0.046128332088764434,0.625,-0.1520401460311934,-0.15204014603119342,1.3990141762759314,1,3,0.1419896684988331,0.12630738483222426,0.015682283666608843,0.6666666666666666,-0.1027741310706106,-0.10277413107061062,1.1887468856161432,1
hit_rate_2y,hit_rate,2,8,0.13248713269518797,0.08635880060642354,0.046128332088764434,0.625,-0.1520401460311934,-0.15204014603119342,1.3990141762759314,1,3,0.1419896684988331,0.12630738483222426,0.015682283666608843,0.6666666666666666,-0.1027741310706106,-0.10277413107061062,1.1887468856161432,1
hit_rate_5y,hit_rate,5,8,0.13161447428778406,0.08635880060642354,0.04525567368136052,0.625,-0.1520401460311934,-0.15204014603119342,1.3834182229816827,2,3,0.1419896684988331,0.12630738483222426,0.015682283666608843,0.6666666666666666,-0.1027741310706106,-0.10277413107061062,1.1887468856161432,1
return_5y,return,5,8,0.13130699669369972,0.08635880060642354,0.04494819608727618,0.625,-0.1520401460311934,-0.15204014603119342,1.3920891320523692,2,3,0.1419896684988331,0.12630738483222426,0.015682283666608843,0.6666666666666666,-0.1027741310706106,-0.10277413107061062,1.1887468856161432,1
excess_return_5y,excess_return,5,8,0.13130699669369972,0.08635880060642354,0.04494819608727618,0.625,-0.1520401460311934,-0.15204014603119342,1.3920891320523692,2,3,0.1419896684988331,0.12630738483222426,0.015682283666608843,0.6666666666666666,-0.1027741310706106,-0.10277413107061062,1.1887468856161432,1
information_ratio_5y,information_ratio,5,8,0.13130699669369972,0.08635880060642354,0.04494819608727618,0.625,-0.1520401460311934,-0.15204014603119342,1.3920891320523692,2,3,0.1419896684988331,0.12630738483222426,0.015682283666608843,0.6666666666666666,-0.1027741310706106,-0.10277413107061062,1.1887468856161432,1
