method,decision_year,decision_date,eligible_assets,gross_return,turnover,cost_rate,net_return,cdi_return
minimum_variance_diagonal,2015,2015-01-02,257,0.00939427562704509,0.9999999999999999,0.0014999999999999998,0.00789427562704509,0.1318997108790032
minimum_variance_diagonal,2016,2016-01-04,258,0.008172482596936037,0.5925698080338953,0.0008888547120508429,0.007283627884885194,0.13939289494698648
minimum_variance_diagonal,2017,2017-01-02,260,0.050326000944796334,0.7276992551595871,0.0010915488827393806,0.049234452062056955,0.09869747716374477
minimum_variance_diagonal,2018,2018-01-02,262,1.800960730925714,1.6271572930319793,0.002440735939547969,1.798519994986166,0.06393224883871174
minimum_variance_diagonal,2019,2019-01-02,266,0.6581110299223507,1.6602476748785835,0.002490371512317875,0.6556206584100328,0.05933780936875266
minimum_variance_diagonal,2020,2020-01-02,268,5.009415104950676e-11,1.999999999520683,0.0029999999992810244,-0.0029999999491868734,0.0274025853352573
minimum_variance_diagonal,2021,2021-01-04,273,0.11760494932996801,1.9999999994613882,0.0029999999991920825,0.11460494933077593,0.04415820920482849
minimum_variance_diagonal,2022,2022-01-03,297,0.03745911767740551,1.203616397099837,0.0018054245956497556,0.03565369308175575,0.12294915546054375
minimum_variance_diagonal,2023,2023-01-02,332,0.1515891527323543,1.0765266694953575,0.0016147900042430363,0.14997436272811127,0.1293265758525719
minimum_variance_diagonal,2024,2024-01-02,333,-0.09394902119479642,0.8641284298311804,0.0012961926447467708,-0.0952452138395432,0.10777090353467478
minimum_variance_diagonal,2025,2025-01-02,325,0.31907335894587097,0.7062938681004265,0.0010594408021506398,0.3180139181437203,0.14209253474057149
