method,decision_year,ticker,weight
mvo_gamma_5.0,2015,ABCB4,2.8146060906448676e-11
mvo_gamma_5.0,2015,ABEV3,2.1870958204922104e-11
mvo_gamma_5.0,2015,ADHM3,6.080299075618461e-11
mvo_gamma_5.0,2015,AFLT3,1.775622069255364e-11
mvo_gamma_5.0,2015,AGRO3,2.4437099409138812e-11
mvo_gamma_5.0,2015,ALOS3,1.9197915246486236e-11
mvo_gamma_5.0,2015,ALPA3,1.295064866048145e-11
mvo_gamma_5.0,2015,ALPA4,1.148019293878659e-11
mvo_gamma_5.0,2015,AMAR3,1.4710807054270978e-11
mvo_gamma_5.0,2015,AMER3,0.016579634059743217
mvo_gamma_5.0,2015,ANIM3,0.058133864047616016
mvo_gamma_5.0,2015,AZEV3,2.6846422893016466e-11
mvo_gamma_5.0,2015,AZEV4,9.286715272792073e-10
mvo_gamma_5.0,2015,AZZA3,2.0071051272411472e-11
mvo_gamma_5.0,2015,B3SA3,2.030292488945421e-11
mvo_gamma_5.0,2015,BALM4,6.210233175487938e-11
mvo_gamma_5.0,2015,BAUH4,3.2287953560236465e-11
mvo_gamma_5.0,2015,BBAS3,2.1552838518914764e-11
mvo_gamma_5.0,2015,BBDC3,2.5165205391296907e-11
mvo_gamma_5.0,2015,BBDC4,3.797603212581313e-11
mvo_gamma_5.0,2015,BBSE3,5.893222477131255e-11
mvo_gamma_5.0,2015,BEEF3,1.7412267189609566e-11
mvo_gamma_5.0,2015,BEES3,1.8583549091215913e-11
mvo_gamma_5.0,2015,BEES4,2.547449078608463e-11
mvo_gamma_5.0,2015,BGIP3,1.4922871710570792e-11
mvo_gamma_5.0,2015,BGIP4,1.7058105539384146e-11
mvo_gamma_5.0,2015,BHIA3,4.0929237151147896e-11
mvo_gamma_5.0,2015,BIED3,4.4727781896045275e-11
mvo_gamma_5.0,2015,BIOM3,1.7697905010153697e-11
mvo_gamma_5.0,2015,BMEB3,1.1865323407322347e-11
mvo_gamma_5.0,2015,BMEB4,1.1353641599536071e-11
mvo_gamma_5.0,2015,BMIN3,2.290428381872162e-11
mvo_gamma_5.0,2015,BMIN4,2.0157940691746513e-11
mvo_gamma_5.0,2015,BMKS3,1.987886087356826e-11
mvo_gamma_5.0,2015,BNBR3,2.0706074240153316e-11
mvo_gamma_5.0,2015,BOBR4,9.612456874195095e-12
mvo_gamma_5.0,2015,BPHA3,9.23401450614777e-12
mvo_gamma_5.0,2015,BRAP3,1.4253936744583872e-11
mvo_gamma_5.0,2015,BRAP4,1.345268722339565e-11
mvo_gamma_5.0,2015,BRKM3,1.4387418374613653e-11
