decision_year,decision_date,ticker,weight,previous_weight,decision_action,factor,value_quality_score,factor_signal_at_decision,trailing_12m_return_at_decision,trailing_12m_volatility_at_decision,eligible_at_decision,fundamental_status,decision_rationale,realised_next_year_return
2015,2015-01-02,BBSE3.SA,0.14999999994155702,0.0,entered,mvo_risk_adjusted,0.48148148148148145,,0.3704341338937569,0.27180100037109783,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.15289142812468115
2015,2015-01-02,CIEL3.SA,0.14999999954632348,0.0,entered,mvo_risk_adjusted,0.5026455026455027,,0.2934241622450864,0.26683438364809114,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.13438948916030435
2015,2015-01-02,ITUB4.SA,0.14999999786292323,0.0,entered,mvo_risk_adjusted,0.5740740740740741,,0.2616405736022114,0.3375381686842137,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.1003699246527715
2015,2015-01-02,VLID3.SA,0.14999999999387353,0.0,entered,mvo_risk_adjusted,0.2857142857142857,,0.35935928513266324,0.2785980287755247,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.030561577629850012
2015,2015-01-02,WEGE3.SA,0.14999999975908798,0.0,entered,mvo_risk_adjusted,0.4285714285714285,,0.30289835471416326,0.20545536033588302,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.006421118769278644
2015,2015-01-02,TITULO_CDI,0.25000000289623475,0.0,entered,mvo_risk_adjusted,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.1313058205754336
2016,2016-01-04,ABEV3.SA,0.1499999998776646,0.0,entered,mvo_risk_adjusted,0.6043956043956044,,0.23808045676556278,0.2245009969857083,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.012329125426664644
2016,2016-01-04,ENBR3.SA,0.14999999997289476,0.0,entered,mvo_risk_adjusted,0.31318681318681324,,0.385518601472552,0.3623327728386188,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.20005170850135023
2016,2016-01-04,LREN3.SA,0.1130667139340928,0.0,entered,mvo_risk_adjusted,0.4945054945054945,,0.17779672401812174,0.3223246639652782,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.464912637287612
2016,2016-01-04,SANB3.SA,0.1499999999615838,0.0,entered,mvo_risk_adjusted,0.5467032967032966,,0.38567489871004845,0.5418783534582144,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,1.4988959169042473
2016,2016-01-04,UGPA3.SA,0.14999999970263148,0.0,entered,mvo_risk_adjusted,0.17032967032967034,,0.22538103851541358,0.2343630443587411,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.21824392650610203
2016,2016-01-04,TITULO_CDI,0.2869332865511326,0.28909995687199974,reduced,mvo_risk_adjusted,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.13881531059776075
2017,2017-01-02,EQTL3.SA,0.14999999990467286,0.0,entered,mvo_risk_adjusted,0.2554112554112554,,0.5887352921019298,0.23730214081698867,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.21182436600484134
2017,2017-01-02,FLRY3.SA,0.15000000000271763,0.0,entered,mvo_risk_adjusted,0.2987012987012987,,1.5438074449148447,0.3120530219946915,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.7364341211801695
2017,2017-01-02,PNVL3.SA,0.14999999999071592,0.0,entered,mvo_risk_adjusted,0.12554112554112556,,1.321987550347163,0.4071359175641353,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.37805173913579193
2017,2017-01-02,SANB3.SA,0.14999999999050007,0.27198842617268126,reduced,mvo_risk_adjusted,0.5606060606060607,,1.416799796928232,0.5008072091958491,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.034913215531088726
2017,2017-01-02,SAPR4.SA,0.15000000001822764,0.0,entered,mvo_risk_adjusted,0.5194805194805194,,2.6541896281313977,0.44574248730881005,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.14625971702566765
2017,2017-01-02,TITULO_CDI,0.25000000009316586,0.2371074652314121,increased,mvo_risk_adjusted,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.09869747716374411
2018,2018-01-02,ABEV3.SA,0.14999999945662357,0.0,entered,mvo_risk_adjusted,0.5252100840336135,,0.3341291530657222,0.16813337020719837,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.2677611790832285
2018,2018-01-02,ALPA4.SA,0.1500000004076303,0.0,entered,mvo_risk_adjusted,0.41806722689075626,,0.7867046792776722,0.3206774270084783,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.002021320969146867
2018,2018-01-02,CGAS3.SA,0.1499999997882224,0.0,entered,mvo_risk_adjusted,0.5336134453781513,,0.6416422293216357,0.2475387476678198,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.1512986068439981
2018,2018-01-02,FLRY3.SA,0.1499999995754039,0.22900421633970633,reduced,mvo_risk_adjusted,0.42647058823529405,,0.6901617175614079,0.29546142176535284,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.31092495994993463
