decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax
2015,2015-01-02,2016-01-04,-0.02170010165166425,656.1433702836615,0.0006445894265987078,-0.02234469107826296,1000000.0,977655.308921737,0.25000000289623475,BBSE3.SA:15.00% | CIEL3.SA:15.00% | ITUB4.SA:15.00% | VLID3.SA:15.00% | WEGE3.SA:15.00% | TITULO_CDI:25.00%,161,mvo_risk_adjusted,0.7499999971037653,-0.009686996393581605,0.19940751053225356,-0.03514669079835342,0.19940751053225356,-0.05452655717581523,0.25000000289623475,0.1313058205754336,27,161,-0.10640666226912932,-0.1085484010921044,0.7130667134488674,0.0040963042320867945,-0.026440995310349755,0.7723687897484107,0.0035390626821106335,-0.013226059075692239,0.10832730197473273
2016,2016-01-04,2017-01-02,0.3781262413043356,1464.7539490399377,0.0014005712092811653,0.3767256700950544,977655.308921737,1345963.160297266,1.4261334268977348,ABEV3.SA:15.00% | ENBR3.SA:15.00% | LREN3.SA:11.31% | SANB3.SA:15.00% | UGPA3.SA:15.00% | TITULO_CDI:28.69%,174,mvo_risk_adjusted,0.7130667134488675,0.23863807726231512,1.5447375794968214,0.1461960398104854,0.6734454583355027,0.3382955080109036,0.2869332865511326,0.13881531059776075,26,174,0.4291782349730666,0.41703172361765506,0.6128925347780878,0.035372911552125776,0.3413527585429286,0.8954845644040347,0.03428738807923947,0.20435068918307564,0.11452263124315262
2017,2017-01-02,2018-01-02,0.13738132137868053,1655.688254384082,0.0012801373162292789,0.13610118406245125,1345963.160297266,1529150.3401181628,1.2257850695561756,EQTL3.SA:15.00% | FLRY3.SA:15.00% | PNVL3.SA:15.00% | SANB3.SA:15.00% | SAPR4.SA:15.00% | TITULO_CDI:25.00%,182,mvo_risk_adjusted,0.7499999999068341,0.21645940208253836,1.7909691288080694,0.21769379893111318,8.568823576535298e-11,0.1127069520785493,0.25000000009316586,0.09869747716374411,33,182,0.28214938998808514,0.28093004210729355,0.6085028312427164,0.012914899042275352,0.1231862850201759,0.7803455618666943,0.025481458477424123,0.19097794360511425,0.08142541866008889
2018,2018-01-02,2019-01-02,-0.06501328836334319,5293.482869833379,0.0014216511262686309,-0.06643493948961182,1529150.3401181628,1427561.3298018933,1.2170056624854328,ABEV3.SA:15.00% | ALPA4.SA:15.00% | CGAS3.SA:15.00% | FLRY3.SA:15.00% | GRND3.SA:15.00% | TITULO_CDI:25.00%,169,mvo_risk_adjusted,0.7499999990533377,-0.11161530865636207,1.5606911237333887,-0.10899180502247519,2.5363391124302152e-11,-0.08093088172182583,0.25000000094666236,0.06367037319283275,34,169,0.12833318355137302,0.12649800523329735,0.6749999996546301,0.0018802657145086939,-0.06831520520412052,0.6357481277552337,1.796668083324339e-13,-0.11161530865654173,0.05252805788408702
2019,2019-01-02,2020-01-02,0.15067754266850208,2431.213786595304,0.0017474896812658776,0.14893005298723622,1427561.3298018933,1640168.1142918186,1.3499999993092602,CSMG3.SA:15.00% | IRBR3.SA:15.00% | ITSA3.SA:15.00% | SANB4.SA:15.00% | UNIP6.SA:15.00% | TITULO_CDI:25.00%,182,mvo_risk_adjusted,0.749999999833108,0.35637171514986254,1.2714962555104674,0.35923045559840683,4.7960822231614796e-11,0.135888340143259,0.2500000001668921,0.059156810061480325,36,182,0.27416164901331697,0.265415260819831,0.6198840961055337,0.01423958163705714,0.1346904713501791,0.8102331306234871,0.0436590624986221,0.31271265265124043,0.04880436830072127
2020,2020-01-02,2021-01-04,0.12365986325703782,5462.3999714283555,0.0017046214309438428,0.12195524182609398,1640168.1142918186,1840195.213305726,1.2397681922110675,ALPA4.SA:15.00% | BPAN4.SA:15.00% | CGAS5.SA:15.00% | CPLE3.SA:15.00% | TOTS3.SA:15.00% | TITULO_CDI:25.00%,234,mvo_risk_adjusted,0.7499999999405157,0.10625430740556642,1.6204662612469742,0.11054821627114553,2.3041912369429777e-11,0.11682839966361347,0.25000000005948414,0.027325854367195923,55,234,0.006181845782766704,0.0035889676976212925,0.5464330894165662,0.010229099611370794,0.11172614221472318,0.7898329841238912,0.013097194132138855,0.09315711327342757,0.022543829852936636
2021,2021-01-04,2022-01-03,0.31086733362204555,5207.449291176324,0.0014800611847143848,0.30938727243733116,1840195.213305726,2409528.1911026174,1.0928661788331324,BSLI3.SA:15.00% | CGAS5.SA:15.00% | TAEE3.SA:15.00% | UNIP6.SA:15.00% | WEGE3.SA:15.00% | TITULO_CDI:25.00%,257,mvo_risk_adjusted,0.7499999994785229,0.1381290125541748,1.5796659682477825,0.12858247584018145,0.3060401624784766,0.2999184584226351,0.25000000052147714,0.04379550070628846,48,257,-0.11585890450243763,-0.1164869288519651,0.7259341836350944,0.03404908767725089,0.27533818476008026,0.6999742263442101,0.01514249221718994,0.12298652033698487,0.03613128808268798
2022,2022-01-03,2023-01-02,0.05658006341828958,5603.729210881681,0.0031256563602579616,0.053454407058031624,2409528.1911026174,2538328.0918476195,1.4518683672701889,BRKM3.SA:15.00% | CMIG3.SA:15.00% | ENMT3.SA:15.00% | FESA4.SA:15.00% | UNIP3.SA:15.00% | TITULO_CDI:25.00%,265,mvo_risk_adjusted,0.7499999949845209,-0.01120789975132383,1.3999484526884203,-0.005433267290069654,1.2578905924547944e-10,0.02584277393650458,0.2500000050154791,0.12294915546054463,62,265,0.058784472970112134,0.06024213574183901,0.6003699087400944,0.005556688718669527,0.0478977183393621,0.5458436266486377,1.47732045631738e-12,-0.01120789975280115,0.10143305325494932
2023,2023-01-02,2024-01-02,0.17303689789748478,4541.511911830273,0.001584119705507383,0.1714527781919774,2538328.0918476195,2973531.495157635,1.2007398174801889,BBSE3.SA:15.00% | CPFE3.SA:15.00% | CURY3.SA:15.00% | LAND3.SA:15.00% | PRIO3.SA:15.00% | TITULO_CDI:25.00%,297,mvo_risk_adjusted,0.7499999941156489,0.12182377948709262,1.0916872532972755,0.12482679298041699,2.5063219565815678e-11,0.14070525317333904,0.2500000058843512,0.1293265758525708,55,297,0.2614217492667519,0.2704862406620203,0.7593156267168242,0.02032219116273707,0.15113058702924034,0.9999999961244684,0.018724018875064256,0.10309976061202837,0.1066944250783709
2024,2024-01-02,2025-01-02,-0.04854992768001676,4032.717400074431,0.0016905439244211382,-0.0502404716044379,2973531.495157635,2824139.8705102657,1.5186312534336484,BEES3.SA:15.00% | CMIN3.SA:15.00% | CXSE3.SA:15.00% | SAPR4.SA:15.00% | UGPA3.SA:15.00% | TITULO_CDI:25.00%,311,mvo_risk_adjusted,0.7500000000013518,-0.14839055910135104,1.9999999922489369,-0.14538915784460194,6.461026739958268e-11,-0.07549265356354007,0.24999999999864814,0.10777090353467633,60,311,-0.09355147441162948,-0.08923577472783695,0.7499999988819179,0.003536232766940714,-0.05377670437137861,0.9999999907014105,1.2185436953415243e-12,-0.1483905591025696,0.08891099541610797
