decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax
2015,2015-01-02,2016-01-04,0.06623585363569573,299.1900573945718,0.0003005569466984705,0.06593529668899725,1000000.0,1065935.2966889972,0.6500000000447914,BBSE3.SA:10.00% | CIEL3.SA:3.16% | ITUB4.SA:2.00% | VLID3.SA:10.00% | WEGE3.SA:9.84% | TITULO_CDI:65.00%,161,mvo_risk_adjusted,0.34999999995520864,-0.009686996393581605,0.19940751053225356,-0.03514669079835342,0.19940751053225356,-0.019112929744217577,0.6500000000447914,0.1313058205754336,27,161,-0.10640666226912932,-0.1085484010921044,0.3499999974351746,0.005227612943711358,0.060707683745285894,0.7723687897484107,0.0035390626821106335,-0.013226059075692239,0.10832730197473273
2016,2016-01-04,2017-01-02,0.2747373778016302,828.1674432841636,0.0006666965832168005,0.27407068121841344,1065935.2966889972,1358076.9095873022,0.6999999948703493,ABEV3.SA:10.00% | ENBR3.SA:10.00% | LREN3.SA:2.00% | SANB3.SA:10.00% | UGPA3.SA:3.00% | TITULO_CDI:65.00%,174,mvo_risk_adjusted,0.3499999974351747,0.23863086093689745,1.5447375794968214,0.1461960398104854,0.6734454583355027,0.18450742555704852,0.6500000025648254,0.13881531059776075,26,174,0.4291782349730666,0.41703172361765506,0.3193078987228368,0.013879150632296076,0.2601915305861174,0.8954845644040347,0.03428738807923947,0.20434347285765797,0.11452263124315262
2017,2017-01-02,2018-01-02,0.14880898342291027,821.5145306023616,0.0006078314662744927,0.14820115195663577,1358076.9095873022,1559345.4720338483,0.6386157974456736,EQTL3.SA:2.00% | FLRY3.SA:10.00% | PNVL3.SA:3.00% | SANB3.SA:10.00% | SAPR4.SA:10.00% | TITULO_CDI:65.00%,182,mvo_risk_adjusted,0.34999999988476654,0.2164580706210762,1.7909691288080694,0.21769379893111318,8.568823576535298e-11,0.0846556232551034,0.6500000001152334,0.09869747716374411,33,182,0.28214938998808514,0.28093004210729355,0.27835326011993033,0.006659652274393892,0.1415414996822419,0.7803455618666943,0.025481458477424123,0.19097661214365208,0.08142541866008889
2018,2018-01-02,2019-01-02,-0.001738182671361277,2786.883088702351,0.0005888037690442488,-0.002326986440405526,1559345.4720338483,1555716.8962645177,0.5567065202398607,ABEV3.SA:2.00% | ALPA4.SA:10.00% | CGAS3.SA:3.00% | FLRY3.SA:10.00% | GRND3.SA:10.00% | TITULO_CDI:65.00%,169,mvo_risk_adjusted,0.34999999999006454,-0.11162721055368088,1.5606911237333887,-0.10899180502247519,2.5363391124302152e-11,-0.04312392524733527,0.6500000000099355,0.06367037319283275,34,169,0.12833318355137302,0.12649800523329735,0.2999999999006871,0.002172751484519355,-0.004499737924924881,0.6357481277552337,1.796668083324339e-13,-0.11162721055386055,0.05252805788408702
2019,2019-01-02,2020-01-02,0.11347863534029523,986.8807286964234,0.0007281372243673545,0.11275049811592788,1555716.8962645177,1731124.7512457075,0.5999999998013742,CSMG3.SA:3.00% | IRBR3.SA:10.00% | ITSA3.SA:2.00% | SANB4.SA:10.00% | UNIP6.SA:10.00% | TITULO_CDI:65.00%,182,mvo_risk_adjusted,0.3499999999818949,0.3563164292160018,1.2714962555104674,0.35923045559840683,4.7960822231614796e-11,0.07502670879926188,0.6500000000181051,0.059156810061480325,36,182,0.27416164901331697,0.265415260819831,0.28171069990257047,0.005066029846317384,0.1076844682696105,0.8102331306234871,0.0436590624986221,0.3126573667173797,0.04880436830072127
2020,2020-01-02,2021-01-04,0.07033060207906416,2905.4148157156296,0.0008256308019431122,0.06950497127712105,1731124.7512457075,1851446.5273581536,0.5634213998051409,ALPA4.SA:10.00% | BPAN4.SA:10.00% | CGAS5.SA:10.00% | CPLE3.SA:3.00% | TOTS3.SA:2.00% | TITULO_CDI:65.00%,234,mvo_risk_adjusted,0.349999999998326,0.10618061895922325,1.6204662612469742,0.11054821627114553,2.3041912369429777e-11,0.052568796740340984,0.650000000001674,0.027325854367195923,55,234,0.006181845782766704,0.0035889676976212925,0.2961163062868582,0.003255394720734715,0.06624957655638633,0.7898329841238912,0.013097194132138855,0.0930834248270844,0.022543829852936636
2021,2021-01-04,2022-01-03,0.21367182444240562,1786.4018311807754,0.0007849251519891839,0.21288689929041643,1851446.5273581536,2245595.2377694403,0.5922326125737164,BSLI3.SA:10.00% | CGAS5.SA:3.00% | TAEE3.SA:2.00% | UNIP6.SA:10.00% | WEGE3.SA:10.00% | TITULO_CDI:65.00%,257,mvo_risk_adjusted,0.34999999939375165,0.1381208261662804,1.5796659682477825,0.12858247584018145,0.3060401624784766,0.18520474895676714,0.6500000006062484,0.04379550070628846,48,257,-0.11585890450243763,-0.1164869288519651,0.39097979186845633,0.012809456098508724,0.2000774431919077,0.6999742263442101,0.01514249221718994,0.12297833394909047,0.03613128808268798
2022,2022-01-03,2023-01-02,0.07716248373681256,2135.7125945715575,0.0016017429605819603,0.0755607407762306,2245595.2377694403,2415274.077418875,0.7819595837369127,BRKM3.SA:7.68% | CMIG3.SA:2.00% | ENMT3.SA:10.00% | FESA4.SA:10.00% | UNIP3.SA:5.32% | TITULO_CDI:65.00%,265,mvo_risk_adjusted,0.34999999998972264,-0.011054537534121127,1.3999484526884203,-0.005433267290069654,1.2578905924547944e-10,-0.0027544673138050757,0.6500000000102775,0.12294915546054463,62,265,0.058784472970112134,0.06024213574183901,0.28619729970611624,0.00400260272850071,0.07155813804772988,0.5458436266486377,1.47732045631738e-12,-0.011054537535598447,0.10143305325494932
2023,2023-01-02,2024-01-02,0.1797741947115612,1405.6995574491339,0.0006555888065967927,0.1791186059049644,2415274.077418875,2847894.6030445425,0.5723945994122325,BBSE3.SA:10.00% | CPFE3.SA:2.00% | CURY3.SA:10.00% | LAND3.SA:3.00% | PRIO3.SA:10.00% | TITULO_CDI:65.00%,297,mvo_risk_adjusted,0.3500000000482204,0.12185820985831432,1.0916872532972755,0.12482679298041699,2.5063219565815678e-11,0.09571192041362636,0.6499999999517795,0.1293265758525708,55,297,0.2614217492667519,0.2704862406620203,0.37779426135932515,0.010981604986042594,0.1681370009189218,0.9999999961244684,0.018724018875064256,0.10313419098325007,0.1066944250783709
2024,2024-01-02,2025-01-02,0.0033438027019916383,1797.5702073818888,0.0007848460112096898,0.0025589566907819484,2847894.6030445425,2855182.241993645,0.7555885227186503,BEES3.SA:10.00% | CMIN3.SA:10.00% | CXSE3.SA:2.00% | SAPR4.SA:3.00% | UGPA3.SA:10.00% | TITULO_CDI:65.00%,311,mvo_risk_adjusted,0.35000000030875716,-0.14836063376661726,1.9999999922489369,-0.14538915784460194,6.461026739958268e-11,-0.06670728456227298,0.6499999996912429,0.10777090353467633,60,311,-0.09355147441162948,-0.08923577472783695,0.3499999997865863,0.00429062909231998,-0.0017316724015380312,0.9999999907014105,1.2185436953415243e-12,-0.14836063376783581,0.08891099541610797
2025,2025-01-02,2025-12-31,0.21133406473692595,3113.9125709456794,0.0010837965767365408,0.2102502681601894,2855182.241993645,3455485.07401902,0.6999999995731726,BMEB3.SA:10.00% | CMIG4.SA:8.19% | EKTR4.SA:10.00% | PSSA3.SA:2.00% | STBP3.SA:4.81% | TITULO_CDI:65.00%,303,mvo_risk_adjusted,0.34999999978658636,0.24099566681551712,1.999999981402821,0.24463814013111507,1.6028804223091568e-10,0.11897391712523037,0.6500000002134136,0.14209253474057104,51,303,0.3413111342351718,0.3492741422615624,1.0,0.03400911340083129,0.17624115475935812,1.0,0.03669572102365302,0.2042999457918641,0.11722634116097111
