decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax
2015,2015-01-02,2016-01-04,0.0199470844422156,481.9464748225804,0.0004701080521508097,0.019476976390064793,1000000.0,1019476.9763900648,0.45000000040564364,BBSE3.SA:12.00% | CIEL3.SA:8.56% | ITUB4.SA:10.44% | VLID3.SA:12.00% | WEGE3.SA:12.00% | TITULO_CDI:45.00%,161,mvo_risk_adjusted,0.5499999995943564,-0.005076139124644699,0.21407785226898934,-0.03247208688023351,0.21407785226898934,-0.03914053486999303,0.45000000040564364,0.1313058205754336,27,161,-0.10640666226912932,-0.1085484010921044,0.5499999998888558,0.0056871833576508,0.013789793032413993,0.7567513249650952,0.003722604995923315,-0.008798744120568015,0.10832730197473273
2016,2016-01-04,2017-01-02,0.3222677413635169,1131.6661914006702,0.001027604283061269,0.3212401370804556,1019476.9763900648,1346973.9000359776,1.0999999997777117,ABEV3.SA:12.00% | ENBR3.SA:12.00% | LREN3.SA:7.00% | SANB3.SA:12.00% | UGPA3.SA:12.00% | TITULO_CDI:45.00%,174,mvo_risk_adjusted,0.5499999998888558,0.23932441181486572,1.5135026499301905,0.14548762764982948,0.6834038018305125,0.25980085157909605,0.4500000001111442,0.13881531059776075,26,174,0.4291782349730666,0.41703172361765506,0.4924333418239852,0.024573326608502977,0.29666681047195265,0.8954845633132591,0.03440886322404141,0.2049155485908243,0.11452263124315262
2017,2017-01-02,2018-01-02,0.12398820787325371,1258.662073442414,0.0009735886734823875,0.12301461919977132,1346973.9000359776,1512671.3814209343,0.9848666836479704,EQTL3.SA:7.00% | FLRY3.SA:12.00% | PNVL3.SA:12.00% | SANB3.SA:12.00% | SAPR4.SA:12.00% | TITULO_CDI:45.00%,182,mvo_risk_adjusted,0.5499999984554459,0.21645939332428898,1.7909691266265182,0.21769379893452845,8.619565903378493e-11,0.07957434299712529,0.45000000154455405,0.09869747716374411,33,182,0.28214938998808514,0.28093004210729355,0.4401253973856486,0.008674245637403493,0.11434037356236783,0.780345561862341,0.025481458477688578,0.19097793484660042,0.08142541866008889
2018,2018-01-02,2019-01-02,-0.02270497857968079,3760.9651031196313,0.0010178515153546758,-0.023722830095035466,1512671.3814209343,1476786.5352498628,0.8802507947712972,ABEV3.SA:7.00% | ALPA4.SA:12.00% | CGAS3.SA:12.00% | FLRY3.SA:12.00% | GRND3.SA:12.00% | TITULO_CDI:45.00%,169,mvo_risk_adjusted,0.549999999920358,-0.11160876361990722,1.560691123724682,-0.10899180502247519,2.5363391124302152e-11,-0.05135664652152644,0.4500000000796421,0.06367037319283275,34,169,0.12833318355137302,0.12649800523329735,0.48999999991410514,0.0024568805255825777,-0.026179710620618045,0.6357481277552337,1.796668083324339e-13,-0.11160876362008688,0.05252805788408702
2019,2019-01-02,2020-01-02,0.12978798929393087,1797.5916949907075,0.0012318703296571353,0.12855611896427374,1476786.5352498628,1666636.4807602817,0.9799999998282103,CSMG3.SA:12.00% | IRBR3.SA:12.00% | ITSA3.SA:7.00% | SANB4.SA:12.00% | UNIP6.SA:12.00% | TITULO_CDI:45.00%,182,mvo_risk_adjusted,0.5500000002404354,0.35635019711423005,1.2714962555104674,0.35923045559840683,4.7960822231614796e-11,0.10316742478048824,0.44999999975956456,0.059156810061480325,36,182,0.27416164901331697,0.265415260819831,0.45813273929022613,0.009223912862879765,0.11933220610139397,0.8122821924177726,0.04376947530890969,0.31258072180532037,0.04880436830072127
2020,2020-01-02,2021-01-04,0.0911734072149808,3976.7637686725434,0.0012419593882648696,0.08993144782671593,1666636.4807602817,1816519.5124758764,0.9162654785804523,ALPA4.SA:12.00% | BPAN4.SA:12.00% | CGAS5.SA:12.00% | CPLE3.SA:12.00% | TOTS3.SA:7.00% | TITULO_CDI:45.00%,234,mvo_risk_adjusted,0.5499999999978883,0.10442114979055858,1.624564384835545,0.10874133726533008,1.6267242029993815e-11,0.07887677274968496,0.4500000000021116,0.027325854367195923,55,234,0.006181845782766704,0.0035889676976212925,0.3963307411614105,0.005542061964644207,0.08438938586207172,0.7899155749691875,0.01288447139239068,0.0915366783981679,0.022543829852936636
2021,2021-01-04,2022-01-03,0.2482320286486841,3328.5883086370764,0.0010322907759812508,0.24719973787270286,1816519.5124758764,2265562.659800563,0.792661482322821,BSLI3.SA:12.00% | CGAS5.SA:12.00% | TAEE3.SA:7.00% | UNIP6.SA:12.00% | WEGE3.SA:12.00% | TITULO_CDI:45.00%,257,mvo_risk_adjusted,0.5499999952795038,0.1381354014415748,1.579831149938375,0.1285824750634187,0.30604016227230474,0.22852405312411772,0.45000000472049617,0.04379550070628846,48,257,-0.11585890450243763,-0.1164869288519651,0.5637013871041219,0.021267046159445295,0.22593269171325756,0.6999742263098141,0.015142492133782702,0.1229929093077921,0.03613128808268798
2022,2022-01-03,2023-01-02,0.057247357372464114,3614.416617615665,0.0022799187259036303,0.054967438646560486,2265562.659800563,2390094.836303089,1.1274027742082438,BRKM3.SA:12.00% | CMIG3.SA:7.00% | ENMT3.SA:12.00% | FESA4.SA:12.00% | UNIP3.SA:12.00% | TITULO_CDI:45.00%,265,mvo_risk_adjusted,0.5499999987187394,-0.011073510299558238,1.3999484526196282,-0.005433267341522829,1.2427832156792377e-10,0.0019202372576890836,0.4500000012812606,0.12294915546054463,62,265,0.058784472970112134,0.06024213574183901,0.430333615516776,0.004290547332409067,0.05067689131415142,0.5458436266000086,1.4595777074254933e-12,-0.011073510301017815,0.10143305325494932
2023,2023-01-02,2024-01-02,0.15544012380761352,2770.400966505911,0.001110051892087756,0.15433007191552575,2390094.836303089,2758958.3442746713,0.860667231033552,BBSE3.SA:12.00% | CPFE3.SA:7.00% | CURY3.SA:12.00% | LAND3.SA:12.00% | PRIO3.SA:12.00% | TITULO_CDI:45.00%,297,mvo_risk_adjusted,0.5500000000668772,0.12186536230516262,1.0916872532000172,0.12482679299555932,2.5496826817025567e-11,0.09724316468260585,0.4499999999331226,0.1293265758525708,55,297,0.2614217492667519,0.2704862406620203,0.5601702341931586,0.01387594468900831,0.14045412722651746,0.9999999960330607,0.0187240188756339,0.10314134342952871,0.1066944250783709
2024,2024-01-02,2025-01-02,-0.021612881784783933,2699.1584012751555,0.0012080223165732698,-0.022820904101357203,2758958.3442746713,2695996.42048034,1.1203404683863172,BEES3.SA:12.00% | CMIN3.SA:12.00% | CXSE3.SA:7.00% | SAPR4.SA:12.00% | UGPA3.SA:12.00% | TITULO_CDI:45.00%,311,mvo_risk_adjusted,0.5500000000166358,-0.1483390471804309,1.9999999920661213,-0.14538915587431078,6.373808498325915e-11,-0.07010978837359522,0.44999999998336404,0.10777090353467633,60,311,-0.09355147441162948,-0.08923577472783695,0.5499999995708412,0.004667827255530852,-0.027488731356888056,0.9999999919965871,1.202094416816911e-12,-0.148339047181633,0.08891099541610797
2025,2025-01-02,2025-12-31,0.24819211358698134,4437.628369719835,0.0016105094181654307,0.24658160416881592,2695996.42048034,3360779.542675767,1.0999999991416824,BBSE3.SA:7.00% | BMEB3.SA:12.00% | CMIG4.SA:12.00% | EKTR4.SA:12.00% | PSSA3.SA:12.00% | TITULO_CDI:45.00%,303,mvo_risk_adjusted,0.5499999995708411,0.23917785789777793,1.9999999839931741,0.24277958681282952,1.3525949659482116e-10,0.1842504728927441,0.4500000004291589,0.14209253474057104,51,303,0.3413111342351718,0.3492741422615624,1.0,0.03882735805540313,0.20775424611341278,1.0,0.03641693802528781,0.20276091987249012,0.11722634116097111
