decision_year,decision_date,ticker,previous_weight,new_weight,reason,decision_action,factor
2018,2018-01-02,BPAC3.SA,0.0,0.09999999999635151,entered_after_point_in_time_screen,entered,momentum_12m
2018,2018-01-02,BRSR3.SA,0.0,0.0999999999983433,entered_after_point_in_time_screen,entered,momentum_12m
2018,2018-01-02,SAPR3.SA,0.0,0.09999999999823171,entered_after_point_in_time_screen,entered,momentum_12m
2018,2018-01-02,SEER3.SA,0.0,0.04999999758634909,entered_after_point_in_time_screen,entered,momentum_12m
2018,2018-01-02,TITULO_CDI,0.0,0.649999999988443,defensive_residual_adjustment,entered,momentum_12m
2019,2019-01-02,BPAC3.SA,0.0950359872079897,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2019,2019-01-02,BRSR3.SA,0.0915129468176877,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2019,2019-01-02,BRSR6.SA,1.3377415252420598e-11,0.1,entered_after_point_in_time_screen,entered,triple_factor
2019,2019-01-02,CMIG3.SA,0.0,0.02555882262407123,entered_after_point_in_time_screen,entered,triple_factor
2019,2019-01-02,CSNA3.SA,0.0,0.08975747507655762,entered_after_point_in_time_screen,entered,triple_factor
2019,2019-01-02,IRBR3.SA,0.0,0.034683702299371094,entered_after_point_in_time_screen,entered,triple_factor
2019,2019-01-02,MGLU3.SA,0.0,0.1,entered_after_point_in_time_screen,entered,triple_factor
2019,2019-01-02,SAPR3.SA,0.125129468121797,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2019,2019-01-02,SEER3.SA,0.024258999907711187,0.0,removed_by_constrained_allocator,exited,triple_factor
2019,2019-01-02,TITULO_CDI,0.6640625956602768,0.65,defensive_residual_adjustment,reduced,triple_factor
2020,2020-01-02,AZUL4.SA,0.0,0.1,entered_after_point_in_time_screen,entered,triple_factor
2020,2020-01-02,BBSE3.SA,0.0,0.08253874246443939,entered_after_point_in_time_screen,entered,triple_factor
2020,2020-01-02,BRSR6.SA,0.08195993601807516,0.0,removed_by_constrained_allocator,exited,triple_factor
2020,2020-01-02,CMIG3.SA,0.021895348144883458,0.03200480626700767,rebalanced_after_point_in_time_review,increased,triple_factor
2020,2020-01-02,CSNA3.SA,0.12088990867182865,0.0,removed_by_constrained_allocator,exited,triple_factor
2020,2020-01-02,EQTL3.SA,0.0,0.03545645126855292,entered_after_point_in_time_screen,entered,triple_factor
2020,2020-01-02,IRBR3.SA,0.04122654600156527,0.0,removed_by_constrained_allocator,exited,triple_factor
2020,2020-01-02,MGLU3.SA,0.1690738412532657,0.0,removed_by_constrained_allocator,exited,triple_factor
2020,2020-01-02,MRFG3.SA,0.0,0.1,entered_after_point_in_time_screen,entered,triple_factor
2020,2020-01-02,TITULO_CDI,0.5649544199103818,0.65,defensive_residual_adjustment,increased,triple_factor
2021,2021-01-04,AZUL4.SA,0.06622284736563966,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2021,2021-01-04,BBSE3.SA,0.07048488716027819,0.0965083508353874,rebalanced_after_point_in_time_review,increased,triple_factor
2021,2021-01-04,CMIG3.SA,0.03526537971316646,0.0,removed_by_constrained_allocator,exited,triple_factor
2021,2021-01-04,CSMG3.SA,0.0,0.019221060686990827,entered_after_point_in_time_screen,entered,triple_factor
2021,2021-01-04,EQTL3.SA,0.03441970979506189,0.03427058847762173,rebalanced_after_point_in_time_review,reduced,triple_factor
2021,2021-01-04,MRFG3.SA,0.14289818254121775,0.1,rebalanced_after_point_in_time_review,reduced,triple_factor
2021,2021-01-04,TASA4.SA,0.0,0.1,entered_after_point_in_time_screen,entered,triple_factor
2021,2021-01-04,TITULO_CDI,0.6507089934246361,0.65,defensive_residual_adjustment,reduced,triple_factor
2022,2022-01-03,BBSE3.SA,0.06352568958600713,0.0,removed_by_constrained_allocator,exited,triple_factor
2022,2022-01-03,CSMG3.SA,0.014275683361635804,0.0,removed_by_constrained_allocator,exited,triple_factor
2022,2022-01-03,EQTL3.SA,0.03137313828932914,0.0,removed_by_constrained_allocator,exited,triple_factor
2022,2022-01-03,FHER3.SA,0.0,0.1,entered_after_point_in_time_screen,entered,triple_factor
2022,2022-01-03,GOAU4.SA,0.0,0.09912529229115788,entered_after_point_in_time_screen,entered,triple_factor
2022,2022-01-03,MRFG3.SA,0.14190899680022753,0.0,removed_by_constrained_allocator,exited,triple_factor
2022,2022-01-03,TASA4.SA,0.14181335515161586,0.03396002549744374,rebalanced_after_point_in_time_review,reduced,triple_factor
2022,2022-01-03,UNIP6.SA,0.0,0.07383668982812347,entered_after_point_in_time_screen,entered,triple_factor
2022,2022-01-03,USIM5.SA,0.0,0.04307799238327488,entered_after_point_in_time_screen,entered,triple_factor
2022,2022-01-03,TITULO_CDI,0.6071031368111846,0.65,defensive_residual_adjustment,increased,triple_factor
2023,2023-01-02,BRAP4.SA,0.0,0.03845924890373915,entered_after_point_in_time_screen,entered,triple_factor
2023,2023-01-02,CURY3.SA,0.0,0.023628364779660814,entered_after_point_in_time_screen,entered,triple_factor
2023,2023-01-02,FHER3.SA,0.0901036186130869,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2023,2023-01-02,GOAU4.SA,0.11775754830582727,0.0,removed_by_constrained_allocator,exited,triple_factor
2023,2023-01-02,KEPL3.SA,0.0,0.09120177364145288,entered_after_point_in_time_screen,entered,triple_factor
2023,2023-01-02,TASA4.SA,0.018306067270762935,0.0,removed_by_constrained_allocator,exited,triple_factor
2023,2023-01-02,UNIP6.SA,0.07540773389358074,0.0967106126751471,rebalanced_after_point_in_time_review,increased,triple_factor
2023,2023-01-02,USIM5.SA,0.020179034188176934,0.0,removed_by_constrained_allocator,exited,triple_factor
2023,2023-01-02,VIVA3.SA,0.0,0.1,entered_after_point_in_time_screen,entered,triple_factor
2023,2023-01-02,TITULO_CDI,0.6782459977285651,0.65,defensive_residual_adjustment,reduced,triple_factor
2024,2024-01-02,BBSE3.SA,0.0,0.0552871075795687,entered_after_point_in_time_screen,entered,triple_factor
2024,2024-01-02,BRAP4.SA,0.03166106262307453,0.0,removed_by_constrained_allocator,exited,triple_factor
2024,2024-01-02,CMIN3.SA,0.0,0.06415550012972454,entered_after_point_in_time_screen,entered,triple_factor
2024,2024-01-02,CURY3.SA,0.03276595105576177,0.1,rebalanced_after_point_in_time_review,increased,triple_factor
2024,2024-01-02,KEPL3.SA,0.09448467338426998,0.0,removed_by_constrained_allocator,exited,triple_factor
2024,2024-01-02,PLPL3.SA,0.0,0.030557392290706736,entered_after_point_in_time_screen,entered,triple_factor
2024,2024-01-02,UNIP6.SA,0.07687474796360955,0.0,removed_by_constrained_allocator,exited,triple_factor
2024,2024-01-02,VIVA3.SA,0.14229257110734553,0.1,rebalanced_after_point_in_time_review,reduced,triple_factor
2024,2024-01-02,TITULO_CDI,0.6219209938659387,0.65,defensive_residual_adjustment,increased,triple_factor
2025,2025-01-02,BBSE3.SA,0.06227035250029045,0.0867359322814905,rebalanced_after_point_in_time_review,increased,triple_factor
2025,2025-01-02,CMIN3.SA,0.04598452044242856,0.025588695659656286,rebalanced_after_point_in_time_review,reduced,triple_factor
2025,2025-01-02,CURY3.SA,0.10571430970064569,0.1,rebalanced_after_point_in_time_review,reduced,triple_factor
2025,2025-01-02,PLPL3.SA,0.02515226284097864,0.0,removed_by_constrained_allocator,exited,triple_factor
2025,2025-01-02,STBP3.SA,0.0,0.0376753720588532,entered_after_point_in_time_screen,entered,triple_factor
2025,2025-01-02,VIVA3.SA,0.056282994992368815,0.1,rebalanced_after_point_in_time_review,increased,triple_factor
2025,2025-01-02,TITULO_CDI,0.7045955595232879,0.65,defensive_residual_adjustment,reduced,triple_factor
