date,decision_year,strategy,mvo,cdi,IBOVESPA,BOVA11
2018-01-03,2018,100.135657,99.338181,100.026444,100.13352,100.266318
2018-01-04,2018,99.553505,99.366595,100.052895,100.970587,101.198404
2018-01-05,2018,100.405488,100.453285,100.079353,101.514938,101.784293
2018-01-08,2018,100.235808,99.675769,100.105818,101.910362,102.210391
2018-01-09,2018,99.557437,98.72296,100.13229,101.249182,101.411458
2018-01-10,2018,99.107088,98.70555,100.158769,100.397992,100.665779
2018-01-11,2018,98.724,98.216821,100.185255,101.892388,102.077237
2018-01-12,2018,98.550603,98.102442,100.211748,101.871847,102.090546
2018-01-15,2018,98.731339,98.564062,100.238248,102.389236,102.623171
2018-01-16,2018,98.146351,97.707566,100.264755,102.491944,102.609852
2018-01-17,2018,98.069918,99.205233,100.291269,104.234122,104.407464
2018-01-18,2018,99.065173,98.906061,100.31779,103.943973,103.994674
2018-01-19,2018,99.656173,99.308713,100.344318,104.273921,104.420772
2018-01-22,2018,99.65362,99.899403,100.370853,104.858071,104.980024
2018-01-23,2018,101.011489,99.372082,100.397395,103.578077,103.741685
2018-01-24,2018,101.050311,101.380058,100.423944,107.432181,107.629832
2018-01-25,2018,101.067572,101.380058,100.4505,,107.629832
2018-01-26,2018,102.035903,102.217282,100.477063,109.808579,110.053267
2018-01-29,2018,101.48386,101.083673,100.503634,108.739135,108.894808
2018-01-30,2018,101.845761,101.118638,100.530211,108.461825,108.668445
2018-01-31,2018,102.29308,101.95553,100.556795,109.015162,109.187752
2018-02-01,2018,102.60018,102.335578,100.583386,109.76236,109.920113
2018-02-02,2018,101.898445,101.100388,100.609984,107.895649,108.175765
2018-02-05,2018,102.004199,100.269601,100.63659,105.096866,105.459386
2018-02-06,2018,101.937229,100.12102,100.663202,107.706924,108.05593
2018-02-07,2018,101.874413,100.838402,100.689821,106.26003,106.471372
2018-02-08,2018,101.048752,100.000695,100.715512,104.675765,104.793607
2018-02-09,2018,103.224272,101.294682,100.74121,103.861807,104.087882
2018-02-14,2018,104.142872,103.044345,100.766914,107.256294,107.323569
2018-02-15,2018,103.876149,102.288816,100.792625,108.21661,108.388819
2018-02-16,2018,103.687565,101.761984,100.818342,108.51703,108.601863
2018-02-19,2018,102.17145,100.632229,100.844066,108.861101,109.001335
2018-02-20,2018,101.969379,101.076424,100.869796,110.159068,110.43942
2018-02-21,2018,101.698427,101.473866,100.895533,110.477462,110.572573
2018-02-22,2018,102.195491,102.467265,100.921277,111.29142,111.517978
2018-02-23,2018,101.820153,101.882237,100.947027,112.070714,112.237021
2018-02-26,2018,101.793828,101.144474,100.972783,112.532899,112.809591
2018-02-27,2018,101.158682,99.603412,100.998547,111.611098,111.970703
2018-02-28,2018,101.838113,99.962998,101.024316,109.744386,109.853531
2018-03-01,2018,101.887151,99.860489,101.050093,109.61215,109.880158
2018-03-02,2018,101.976989,100.327693,101.075876,110.103863,110.452728
2018-03-05,2018,102.188133,100.988033,101.101665,110.440231,110.386156
2018-03-06,2018,101.906636,100.42181,101.127461,109.965208,110.10653
2018-03-07,2018,101.819879,100.086048,101.153264,109.748238,109.986685
