date,decision_year,strategy,mvo,cdi,IBOVESPA,BOVA11
2018-01-03,2018,100.00179,99.338181,100.026444,100.13352,100.266318
2018-01-04,2018,99.377569,99.366595,100.052895,100.970587,101.198404
2018-01-05,2018,100.373271,100.453285,100.079353,101.514938,101.784293
2018-01-08,2018,100.182655,99.675769,100.105818,101.910362,102.210391
2018-01-09,2018,99.322436,98.72296,100.13229,101.249182,101.411458
2018-01-10,2018,98.806099,98.70555,100.158769,100.397992,100.665779
2018-01-11,2018,98.381082,98.216821,100.185255,101.892388,102.077237
2018-01-12,2018,98.014527,98.102442,100.211748,101.871847,102.090546
2018-01-15,2018,98.237632,98.564062,100.238248,102.389236,102.623171
2018-01-16,2018,97.567965,97.707566,100.264755,102.491944,102.609852
2018-01-17,2018,97.791692,99.205233,100.291269,104.234122,104.407464
2018-01-18,2018,98.854355,98.906061,100.31779,103.943973,103.994674
2018-01-19,2018,99.470105,99.308713,100.344318,104.273921,104.420772
2018-01-22,2018,99.545833,99.899403,100.370853,104.858071,104.980024
2018-01-23,2018,101.022405,99.372082,100.397395,103.578077,103.741685
2018-01-24,2018,101.29456,101.380058,100.423944,107.432181,107.629832
2018-01-25,2018,101.30651,101.380058,100.4505,,107.629832
2018-01-26,2018,102.739647,102.217282,100.477063,109.808579,110.053267
2018-01-29,2018,101.876271,101.083673,100.503634,108.739135,108.894808
2018-01-30,2018,102.282221,101.118638,100.530211,108.461825,108.668445
2018-01-31,2018,102.935675,101.95553,100.556795,109.015162,109.187752
2018-02-01,2018,103.315131,102.335578,100.583386,109.76236,109.920113
2018-02-02,2018,102.185798,101.100388,100.609984,107.895649,108.175765
2018-02-05,2018,102.186373,100.269601,100.63659,105.096866,105.459386
2018-02-06,2018,102.326722,100.12102,100.663202,107.706924,108.05593
2018-02-07,2018,102.360324,100.838402,100.689821,106.26003,106.471372
2018-02-08,2018,101.139866,100.000695,100.715512,104.675765,104.793607
2018-02-09,2018,103.523789,101.294682,100.74121,103.861807,104.087882
2018-02-14,2018,104.859135,103.044345,100.766914,107.256294,107.323569
2018-02-15,2018,104.407329,102.288816,100.792625,108.21661,108.388819
2018-02-16,2018,103.993584,101.761984,100.818342,108.51703,108.601863
2018-02-19,2018,102.168021,100.632229,100.844066,108.861101,109.001335
2018-02-20,2018,102.067554,101.076424,100.869796,110.159068,110.43942
2018-02-21,2018,101.816132,101.473866,100.895533,110.477462,110.572573
2018-02-22,2018,102.396848,102.467265,100.921277,111.29142,111.517978
2018-02-23,2018,102.000251,101.882237,100.947027,112.070714,112.237021
2018-02-26,2018,101.901636,101.144474,100.972783,112.532899,112.809591
2018-02-27,2018,100.955963,99.603412,100.998547,111.611098,111.970703
2018-02-28,2018,101.655936,99.962998,101.024316,109.744386,109.853531
2018-03-01,2018,101.673048,99.860489,101.050093,109.61215,109.880158
2018-03-02,2018,101.790682,100.327693,101.075876,110.103863,110.452728
2018-03-05,2018,102.068323,100.988033,101.101665,110.440231,110.386156
2018-03-06,2018,101.705172,100.42181,101.127461,109.965208,110.10653
2018-03-07,2018,101.407687,100.086048,101.153264,109.748238,109.986685
2018-03-08,2018,101.566621,99.208369,101.179073,109.107599,109.374169
2018-03-09,2018,102.434983,99.903971,101.204889,110.887009,111.051935
2018-03-12,2018,103.710901,101.050173,101.230711,111.566163,111.784286
2018-03-13,2018,103.408786,100.642179,101.25654,110.903699,111.185089
2018-03-14,2018,103.272806,100.243895,101.282376,110.476178,110.705727
2018-03-15,2018,103.624364,100.049529,101.308218,109.03442,109.280961
2018-03-16,2018,102.525829,97.640446,101.334067,108.980498,109.20107
2018-03-19,2018,101.628474,96.975652,101.359922,107.731317,107.976029
2018-03-20,2018,102.125151,97.199864,101.385784,108.053562,108.388819
2018-03-21,2018,102.831644,97.400085,101.411653,109.097328,109.307587
2018-03-22,2018,102.119447,96.841693,101.436583,108.829005,108.908126
2018-03-23,2018,100.067349,94.739282,101.461519,108.327021,108.6285
2018-03-26,2018,100.53033,95.171972,101.486461,109.239835,109.494015
2018-03-27,2018,99.116251,94.071511,101.51141,107.596513,107.829567
2018-03-28,2018,99.636797,94.311142,101.536364,107.681247,107.882821
2018-03-29,2018,100.095984,97.412912,101.561325,109.596744,109.760322
2018-04-02,2018,98.754075,95.165814,101.586292,108.698052,108.988016
2018-04-03,2018,98.754842,94.689961,101.611265,108.642847,108.854862
2018-04-04,2018,98.207272,93.857996,101.636244,108.305196,108.388819
2018-04-05,2018,97.739587,93.356175,101.661229,109.396464,109.680432
2018-04-06,2018,97.22878,92.734088,101.686221,108.895765,109.107862
2018-04-09,2018,97.087621,92.373537,101.711218,106.953307,107.083888
2018-04-10,2018,97.681109,92.900439,101.736222,108.497773,108.601863
2018-04-11,2018,97.396578,92.661526,101.761232,109.442683,109.786949
2018-04-12,2018,96.89367,92.759664,101.786248,109.696884,109.760322
2018-04-13,2018,97.29336,92.732857,101.81127,108.271816,108.255665
2018-04-16,2018,97.994114,92.484844,101.836298,106.381995,106.498009
2018-04-17,2018,98.577125,92.771387,101.861332,107.953422,108.002666
2018-04-18,2018,97.950547,92.767923,101.886373,110.123121,110.119838
2018-04-19,2018,97.67426,92.69431,101.91142,110.184745,110.386156
2018-04-20,2018,98.912966,93.688402,101.936473,109.832972,110.173102
2018-04-23,2018,98.607365,93.071892,101.961532,109.899732,110.119838
2018-04-24,2018,99.031524,93.493982,101.986597,109.72898,109.826904
2018-04-25,2018,99.310687,94.417129,102.011668,109.183346,109.294279
2018-04-26,2018,100.326165,95.285407,102.036746,110.902415,111.198407
2018-04-27,2018,96.293301,92.317651,102.061829,110.982013,111.145144
