ticker,source_symbol,status,reason,from_cache,first_date,last_date,adjusted_close_rows,cash_dividend_events,stock_split_events
ABCB4,ABCB4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,29.0,0.0
ABEV3,ABEV3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,32.0,1.0
ABRE3,ABRE3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
ADHM3,ADHM3.SA,accepted,,True,2013-01-02,2024-08-06,2883.0,0.0,2.0
AEDU3,AEDU3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
AELP3,AELP3.SA,accepted,,True,2013-01-02,2018-09-06,1399.0,3.0,0.0
AERI3,AERI3.SA,accepted,,True,2020-11-12,2025-12-30,1278.0,1.0,1.0
AESB3,AESB3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
AFLT3,AFLT3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,23.0,0.0
AGRO3,AGRO3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,14.0,0.0
AGXY3,AGXY3.SA,accepted,,True,2021-07-27,2025-12-30,1107.0,2.0,1.0
ALLD3,ALLD3.SA,accepted,,True,2021-04-12,2025-12-30,1180.0,9.0,0.0
ALLL3,ALLL3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
ALOS3,ALOS3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,27.0,0.0
ALPA3,ALPA3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,30.0,3.0
ALPA4,ALPA4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,32.0,3.0
ALSC3,ALSC3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
ALUP3,ALUP3.SA,accepted,,True,2016-10-04,2025-12-30,2302.0,21.0,3.0
ALUP4,ALUP4.SA,accepted,,True,2016-09-09,2025-12-30,2319.0,21.0,3.0
AMAR3,AMAR3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,3.0,2.0
AMBP3,AMBP3.SA,accepted,,True,2020-07-13,2025-12-30,1363.0,3.0,1.0
AMBV3,AMBV3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
AMBV4,AMBV4.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
AMER3,AMER3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,1.0,4.0
ANIM3,ANIM3.SA,accepted,,True,2013-10-28,2025-12-30,3027.0,8.0,1.0
ARML3,ARML3.SA,accepted,,True,2021-07-29,2025-12-30,1105.0,15.0,0.0
ARTR3,ARTR3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
ASAI3,ASAI3.SA,accepted,,True,2021-03-01,2025-12-30,1209.0,7.0,1.0
AURE3,AURE3.SA,accepted,,True,2022-03-28,2025-12-30,941.0,5.0,0.0
AUTM3,AUTM3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
AVLL3,AVLL3.SA,accepted,,True,2021-01-04,2025-12-30,1246.0,0.0,0.0
AZEV3,AZEV3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,3.0,1.0
AZEV4,AZEV4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,3.0,1.0
AZUL4,AZUL4.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
AZZA3,AZZA3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,45.0,0.0
B3SA3,B3SA3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,57.0,2.0
BALM4,BALM4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,19.0,1.0
BAUH4,BAUH4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,11.0,0.0
BBAS3,BBAS3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,96.0,1.0
BBDC3,BBDC3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,190.0,9.0
BBDC4,BBDC4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,188.0,9.0
BBSE3,BBSE3.SA,accepted,,True,2013-04-29,2025-12-30,3154.0,27.0,0.0
BEEF3,BEEF3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,10.0,0.0
BEES3,BEES3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,175.0,2.0
BEES4,BEES4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,176.0,2.0
BEMA3,BEMA3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
BGIP3,BGIP3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,32.0,1.0
BGIP4,BGIP4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,32.0,1.0
BHGR3,BHGR3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
BHIA3,BHIA3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,7.0,3.0
BICB4,BICB4.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
BIDI3,BIDI3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
BIDI4,BIDI4.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
BIED3,BIED3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,4.0,2.0
BIOM3,BIOM3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,0.0,1.0
BISA3,BISA3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
BLAU3,BLAU3.SA,accepted,,True,2021-04-19,2025-12-30,1175.0,19.0,0.0
BLUT3,BLUT3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
BLUT4,BLUT4.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
BMEB3,BMEB3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,17.0,1.0
BMEB4,BMEB4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,21.0,1.0
BMGB4,BMGB4.SA,accepted,,True,2019-11-29,2025-12-30,1514.0,17.0,0.0
BMIN3,BMIN3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,11.0,1.0
BMIN4,BMIN4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,17.0,1.0
BMKS3,BMKS3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,15.0,0.0
BMOB3,BMOB3.SA,accepted,,True,2021-02-11,2025-12-30,1219.0,7.0,0.0
BMTO4,BMTO4.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
BNBR3,BNBR3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,25.0,0.0
BNBR4,BNBR4.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
BOAS3,BOAS3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
BOBR4,BOBR4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,0.0,0.0
BPAC3,BPAC3.SA,accepted,,True,2016-07-11,2025-12-30,2362.0,24.0,1.0
BPAN10,BPAN10.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
BPAN4,BPAN4.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
BPHA3,BPHA3.SA,accepted,,True,2013-01-02,2024-08-06,2883.0,0.0,1.0
BRAP3,BRAP3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,28.0,1.0
BRAP4,BRAP4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,28.0,1.0
BRAV3,BRAV3.SA,accepted,,True,2020-11-12,2025-12-30,1278.0,1.0,0.0
BRFS3,BRFS3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
BRGE11,BRGE11.SA,accepted,,True,2025-09-24,2025-09-24,1.0,0.0,0.0
BRGE12,BRGE12.SA,accepted,,True,2025-09-24,2025-09-24,1.0,0.0,0.0
BRGE3,BRGE3.SA,accepted,,True,2025-09-24,2025-09-24,1.0,0.0,0.0
BRGE5,BRGE5.SA,accepted,,True,2025-09-24,2025-09-24,1.0,0.0,0.0
BRGE8,BRGE8.SA,accepted,,True,2025-09-24,2025-09-24,1.0,0.0,0.0
BRIN3,BRIN3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
BRIT3,BRIT3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
BRIV3,BRIV3.SA,accepted,,True,2025-09-24,2025-09-24,1.0,0.0,0.0
BRIV4,BRIV4.SA,accepted,,True,2025-09-24,2025-09-24,1.0,0.0,0.0
BRKM3,BRKM3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,9.0,0.0
BRKM6,BRKM6.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,7.0,0.0
BRML3,BRML3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
BRPR3,BRPR3.SA,accepted,,True,2013-01-02,2024-08-06,2883.0,13.0,2.0
BRSR3,BRSR3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,69.0,0.0
BRSR5,BRSR5.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,68.0,0.0
BRSR6,BRSR6.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,68.0,0.0
BSEV3,BSEV3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
BSLI3,BSLI3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,51.0,1.0
BSLI4,BSLI4.SA,accepted,,True,2013-01-02,2025-12-30,3226.0,49.0,1.0
CAMB3,CAMB3.SA,accepted,,True,2013-01-02,2025-12-30,2813.0,17.0,2.0
CAML3,CAML3.SA,accepted,,True,2017-09-28,2025-12-30,2055.0,34.0,0.0
CARD3,CARD3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
CASH3,CASH3.SA,accepted,,True,2020-11-09,2025-12-30,1281.0,1.0,2.0
CBAV3,CBAV3.SA,accepted,,True,2021-07-16,2025-12-30,1114.0,3.0,0.0
CBAV9,CBAV9.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
CBEE3,CBEE3.SA,accepted,,True,2013-01-02,2025-12-30,3227.0,8.0,1.0
CBMA3,CBMA3.SA,accepted,,True,2013-01-02,2019-02-15,1539.0,0.0,0.0
CBMA4,CBMA4.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
CCXC3,CCXC3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
CEAB3,CEAB3.SA,accepted,,True,2019-11-05,2025-12-30,1530.0,4.0,0.0
CEDO3,CEDO3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,2.0,0.0
CEDO4,CEDO4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,1.0,0.0
CEEB3,CEEB3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,42.0,0.0
CEED3,CEED3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,0.0,1.0
CEGR3,CEGR3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,26.0,2.0
CEPE5,CEPE5.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
CEPE6,CEPE6.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
CESP3,CESP3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
CESP5,CESP5.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
CESP6,CESP6.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
CGAS3,CGAS3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,32.0,0.0
CGAS5,CGAS5.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,32.0,0.0
CGRA3,CGRA3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,24.0,1.0
CGRA4,CGRA4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,23.0,1.0
CIEL3,CIEL3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
CLSA3,CLSA3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
CLSC3,CLSC3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,31.0,0.0
CLSC4,CLSC4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,29.0,0.0
CMIG10,CMIG10.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
CMIG3,CMIG3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,43.0,5.0
CMIG4,CMIG4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,43.0,6.0
CMIG9,CMIG9.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
CMIN3,CMIN3.SA,accepted,,True,2021-02-22,2025-12-30,1214.0,15.0,0.0
COCE3,COCE3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,16.0,0.0
COGN3,COGN3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,29.0,3.0
CPFE3,CPFE3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,15.0,2.0
CPLE3,CPLE3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,24.0,1.0
CPLE5,CPLE5.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
CPLE6,CPLE6.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
CPRE3,CPRE3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
CREM3,CREM3.SA,accepted,,True,2013-01-02,2018-11-13,1445.0,12.0,0.0
CRFB3,CRFB3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
CRIV3,CRIV3.SA,accepted,,True,2025-09-24,2025-09-24,1.0,0.0,0.0
CRIV4,CRIV4.SA,accepted,,True,2025-09-24,2025-09-24,1.0,0.0,0.0
CRPG5,CRPG5.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,21.0,2.0
CRPG6,CRPG6.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,21.0,2.0
CSAB3,CSAB3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
CSAB4,CSAB4.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
CSAN3,CSAN3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,17.0,2.0
CSED3,CSED3.SA,accepted,,True,2021-02-11,2025-12-30,1219.0,7.0,0.0
CSMG3,CSMG3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,56.0,1.0
CSNA3,CSNA3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,19.0,0.0
CSRN3,CSRN3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
CSRN5,CSRN5.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
CSUD3,CSUD3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,40.0,0.0
CTAX3,CTAX3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,4.0,3.0
CTKA4,CTKA4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,0.0,1.0
CTSA3,CTSA3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,11.0,5.0
CTSA4,CTSA4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,11.0,4.0
CURY3,CURY3.SA,accepted,,True,2020-09-21,2025-12-30,1314.0,15.0,0.0
CVCB3,CVCB3.SA,accepted,,True,2013-12-09,2025-12-30,2999.0,13.0,0.0
CXSE3,CXSE3.SA,accepted,,True,2021-04-30,2025-12-30,1167.0,12.0,0.0
CYRE3,CYRE3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,18.0,0.0
DASA3,DASA3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,11.0,0.0
DAYC4,DAYC4.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
DESK3,DESK3.SA,accepted,,True,2021-07-22,2025-12-30,1110.0,5.0,0.0
DEXP3,DEXP3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,10.0,4.0
DIRR3,DIRR3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,19.0,1.0
DMVF3,DMVF3.SA,accepted,,True,2020-08-10,2025-12-30,1343.0,0.0,0.0
DOHL4,DOHL4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,12.0,3.0
DOTZ3,DOTZ3.SA,accepted,,True,2021-05-31,2025-12-30,1146.0,0.0,1.0
DTCY3,DTCY3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,0.0,1.0
DUQE4,DUQE4.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
DXCO3,DXCO3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,20.0,5.0
EALT3,EALT3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,18.0,1.0
EALT4,EALT4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,19.0,1.0
ECOR3,ECOR3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,15.0,0.0
ECPR3,ECPR3.SA,accepted,,True,2013-01-02,2024-08-06,2883.0,4.0,0.0
ECPR4,ECPR4.SA,accepted,,True,2013-01-02,2024-08-06,2883.0,4.0,0.0
EEEL3,EEEL3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
EEEL4,EEEL4.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
EGIE3,EGIE3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,40.0,3.0
EKTR3,EKTR3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,44.0,0.0
EKTR4,EKTR4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,44.0,0.0
ELEK3,ELEK3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
ELEK4,ELEK4.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
ELET3,ELET3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
ELMD3,ELMD3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
ELPL3,ELPL3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
ELPL4,ELPL4.SA,accepted,,True,2013-01-02,2018-03-12,1293.0,4.0,0.0
EMAE4,EMAE4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,20.0,0.0
EMBR3,EMBR3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
ENAT3,ENAT3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
ENBR3,ENBR3.SA,blocked,Yahoo returned no adjusted-close history,,,,,,
ENEV3,ENEV3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,0.0,2.0
ENGI3,ENGI3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,30.0,1.0
ENGI4,ENGI4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,30.0,1.0
ENJU3,ENJU3.SA,accepted,,True,2020-11-09,2025-12-30,1281.0,0.0,0.0
ENMT3,ENMT3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,22.0,0.0
ENMT4,ENMT4.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,28.0,0.0
EPAR3,EPAR3.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,6.0,1.0
EQMA3B,EQMA3B.SA,accepted,,True,2013-01-02,2025-12-30,3233.0,17.0,0.0
