decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2015,2015-01-02,2016-01-04,-0.01788037848167401,466.9378962577974,0.00046693789625779737,-0.018347316377931806,1000000.0,981652.6836220681,0.45000000081598107,BBDC4.SA:12.00% | BBSE3.SA:12.00% | ITSA4.SA:6.23% | ITUB3.SA:12.00% | ITUB4.SA:12.00% | PSSA3.SA:0.77% | TITULO_CDI:45.00%,163,low_volatility,0.549999999184019,-0.01844621880494696,0.1313058205754336
2016,2016-01-04,2017-01-02,0.32916673332711244,871.1598043778006,0.0008874419832108289,0.3282792913439016,981652.6836220681,1303908.93094736,0.95798210436055,SANB3.SA:12.00% | SANB4.SA:12.00% | TITULO_CDI:76.00%,181,low_volatility,0.24000000220992188,0.3338192485153985,0.13881531059776075
2017,2017-01-02,2018-01-02,0.17720216244981213,1159.6336046474253,0.0008893516848641332,0.176312810764948,1303908.93094736,1533804.7795442075,0.8599999759528154,BBAS3.SA:12.00% | BBDC3.SA:7.00% | BBDC4.SA:12.00% | BRSR6.SA:12.00% | SANB3.SA:12.00% | TITULO_CDI:45.00%,190,low_volatility,0.5499999989331159,0.32804041663687045,0.09485614678200971
2018,2018-01-02,2019-01-02,0.03684577159714153,3721.1807281858714,0.002426111052601932,0.0344196605445396,1533804.7795442075,1586597.8193977117,1.0263590422213376,BPAC3.SA:12.00% | BRSR3.SA:12.00% | ITSA4.SA:7.00% | PSSA3.SA:12.00% | QUAL3.SA:12.00% | TITULO_CDI:45.00%,201,low_volatility,0.5499999999872172,0.0527785791601681,0.06367037319283275
2019,2019-01-02,2020-01-02,0.1470726642547664,3248.0025366052023,0.0020471492503614914,0.14502551500440491,1586597.8193977117,1816694.9852607306,0.739999995406305,BRSR6.SA:12.00% | IRBR3.SA:12.00% | ITSA3.SA:7.00% | PSSA3.SA:12.00% | SANB4.SA:12.00% | TITULO_CDI:45.00%,211,low_volatility,0.5499999999932887,0.1473256021760252,0.05915681006147966
2020,2020-01-02,2021-01-04,-0.09039481819693362,3846.8707629999562,0.0021175105310525513,-0.09251232872798618,1816694.9852607306,1648628.3015858058,0.9203379402852938,ABCB4.SA:7.00% | BBSE3.SA:12.00% | BPAC3.SA:12.00% | IRBR3.SA:12.00% | QUAL3.SA:12.00% | TITULO_CDI:45.00%,225,low_volatility,0.549999999962689,-0.09133978232781242,0.027325854367195035
2021,2021-01-04,2022-01-03,0.175237036614033,1756.0173154425684,0.001065138402484942,0.17417189821154805,1648628.3015858058,1935773.0223182861,0.5381172121178,BPAC3.SA:12.00% | BSLI3.SA:12.00% | QUAL3.SA:3.59% | SANB4.SA:12.00% | TITULO_CDI:60.41%,239,low_volatility,0.3958942824754463,0.1727513599044067,0.04379550070628868
2022,2022-01-03,2023-01-02,0.08658143052566603,1073.8897734150478,0.0005547601712771856,0.08602667035438884,1935773.0223182861,2102301.1299901805,0.36030678174182523,BPAC3.SA:12.00% | BSLI3.SA:11.06% | TITULO_CDI:76.94%,271,low_volatility,0.23059904302566853,0.08193824292089186,0.12294915546054419
2023,2023-01-02,2024-01-02,0.2954222747582509,4478.466959977738,0.0021302690162177938,0.2932920057420331,2102301.1299901805,2718889.2450787434,1.099999974778274,ABCB4.SA:12.00% | BBAS3.SA:12.00% | BBSE3.SA:12.00% | ITUB3.SA:1.98% | ITUB4.SA:12.00% | PSSA3.SA:5.02% | TITULO_CDI:45.00%,312,low_volatility,0.5499999938587998,0.2924066831543475,0.129326575852571
2024,2024-01-02,2025-01-02,0.02138668745896477,2422.084280983595,0.0008908359490433924,0.02049585150992138,2718889.2450787434,2774615.1953177997,0.8380442537185965,BBAS3.SA:12.00% | BEES3.SA:12.00% | BRSR6.SA:12.00% | CXSE3.SA:12.00% | ITUB4.SA:7.00% | TITULO_CDI:45.00%,319,low_volatility,0.5500000000893283,0.011583300731029299,0.04189391442617829
