decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2015,2015-01-02,2016-01-04,-0.018959409705091246,466.98149295474997,0.00046698149295475,-0.019426391198045997,1000000.0,980573.608801954,0.45000000015756153,BBDC4.SA:12.00% | BBSE3.SA:12.00% | ITSA4.SA:7.00% | ITUB3.SA:12.00% | ITUB4.SA:12.00% | TITULO_CDI:45.00%,163,momentum_12m,0.5499999998424383,-0.01844621880494696,0.1313058205754336
2016,2016-01-04,2017-01-02,0.32916677472157363,869.7741484390342,0.0008870054635691324,0.3282797692580045,980573.608801954,1302476.0868399483,0.9571290838141577,SANB3.SA:12.00% | SANB4.SA:12.00% | TITULO_CDI:76.00%,181,momentum_12m,0.24000007914825733,0.3338192485153985,0.13881531059776075
2017,2017-01-02,2018-01-02,0.2876902051329273,1322.6496407423574,0.0010154886174926665,0.28667471651543464,1302476.0868399483,1675863.049802923,0.8599998510742195,BBAS3.SA:12.00% | BBDC4.SA:12.00% | BRSR3.SA:4.61% | BRSR6.SA:12.00% | QUAL3.SA:2.39% | SANB3.SA:12.00% | TITULO_CDI:45.00%,190,momentum_12m,0.549999999987465,0.32804041663687045,0.09485614678200971
2018,2018-01-02,2019-01-02,0.05389452432415376,3069.8173002587296,0.001831782913657373,0.05206274141049638,1675863.049802923,1763113.0744042185,0.6552582526114907,BPAC3.SA:12.00% | BRSR3.SA:12.00% | BRSR6.SA:7.00% | PSSA3.SA:12.00% | QUAL3.SA:12.00% | TITULO_CDI:45.00%,201,momentum_12m,0.5499999994747256,0.0527785791601681,0.06367037319283275
2019,2019-01-02,2020-01-02,0.1453043357001227,3484.983422206818,0.001976608008187135,0.14332772769193555,1763113.0744042185,2015816.0650225177,0.6273418943757714,BBAS3.SA:12.00% | BRSR6.SA:12.00% | IRBR3.SA:12.00% | PSSA3.SA:7.00% | SANB4.SA:12.00% | TITULO_CDI:45.00%,211,momentum_12m,0.5499999999922929,0.1473256021760252,0.05915681006147966
2020,2020-01-02,2021-01-04,-0.08995926493356277,4372.015465880232,0.0021688563464402166,-0.09212812128000299,2015816.0650225177,1830102.7181059448,0.9180000065565113,BBDC3.SA:7.00% | BBSE3.SA:12.00% | BPAC3.SA:12.00% | IRBR3.SA:12.00% | QUAL3.SA:12.00% | TITULO_CDI:45.00%,225,momentum_12m,0.5499999998588148,-0.09133978232781242,0.027325854367195035
2021,2021-01-04,2022-01-03,0.1884293958206935,2031.393006722993,0.0011099885195653787,0.18731940730112814,1830102.7181059448,2172916.474561734,0.5736721280404865,BPAC3.SA:12.00% | BSLI3.SA:12.00% | QUAL3.SA:1.77% | SANB4.SA:12.00% | TITULO_CDI:62.23%,239,momentum_12m,0.3776822387423098,0.1727513599044067,0.04379550070628868
2022,2022-01-03,2023-01-02,0.08245535830409123,1069.7834198883825,0.0004923260661016214,0.0819630322379896,2172916.474561734,2351015.2976166965,0.3165218313221813,BPAC3.SA:12.00% | BSLI3.SA:12.00% | TITULO_CDI:76.00%,271,momentum_12m,0.2400000024261942,0.08193824292089186,0.12294915546054419
2023,2023-01-02,2024-01-02,0.29405667349045705,5342.337427822062,0.0022723533246413875,0.2917843201658157,2351015.2976166965,3037004.697931217,1.0999999915462166,ABCB4.SA:12.00% | BBAS3.SA:12.00% | BBSE3.SA:12.00% | ITUB4.SA:12.00% | PSSA3.SA:7.00% | TITULO_CDI:45.00%,312,momentum_12m,0.54999999985559,0.2924066831543475,0.129326575852571
2024,2024-01-02,2025-01-02,0.013831354461416367,5124.729101252748,0.001687428769782171,0.012143925691634196,3037004.697931217,3073885.857308038,0.9770226380135758,BBAS3.SA:12.00% | BEES3.SA:12.00% | BPAC3.SA:7.00% | BRSR6.SA:12.00% | CXSE3.SA:12.00% | TITULO_CDI:45.00%,319,momentum_12m,0.5499999999680425,0.011583300731029299,0.04189391442617829
