decision_year,decision_date,ticker,previous_weight,new_weight,reason,decision_action,factor
2018,2018-01-02,BPAC3.SA,0.0,0.1199999999389372,entered_after_point_in_time_screen,entered,value_quality
2018,2018-01-02,BRSR3.SA,0.0,0.11999999997968168,entered_after_point_in_time_screen,entered,value_quality
2018,2018-01-02,BRSR6.SA,0.0,0.08347605283122585,entered_after_point_in_time_screen,entered,value_quality
2018,2018-01-02,QUAL3.SA,0.0,0.11999999963390345,entered_after_point_in_time_screen,entered,value_quality
2018,2018-01-02,SANB4.SA,0.0,0.10652393968260199,entered_after_point_in_time_screen,entered,value_quality
2018,2018-01-02,TITULO_CDI,0.0,0.4500000003348395,defensive_residual_adjustment,entered,value_quality
2019,2019-01-02,BBAS3.SA,1.8932516101438981e-10,0.02936036675005015,entered_after_point_in_time_screen,entered,value_quality
2019,2019-01-02,BPAC3.SA,0.11120018481546493,3.418907569470466e-10,removed_by_constrained_allocator,exited,value_quality
2019,2019-01-02,BRSR3.SA,0.10707792807072238,5.821715885645819e-10,removed_by_constrained_allocator,exited,value_quality
2019,2019-01-02,BRSR6.SA,0.12598077771113686,0.11999999997645226,rebalanced_after_point_in_time_review,reduced,value_quality
2019,2019-01-02,IRBR3.SA,0.0,0.12000000012594687,entered_after_point_in_time_screen,entered,value_quality
2019,2019-01-02,ITSA3.SA,5.705847169406907e-09,0.11999999956043807,entered_after_point_in_time_screen,entered,value_quality
2019,2019-01-02,PSSA3.SA,1.6707870084639962e-09,0.040639602298115904,entered_after_point_in_time_screen,entered,value_quality
2019,2019-01-02,QUAL3.SA,0.0488110530600771,0.0,removed_by_constrained_allocator,exited,value_quality
2019,2019-01-02,SANB4.SA,0.15865522211370683,0.11999999986452957,rebalanced_after_point_in_time_review,reduced,value_quality
2019,2019-01-02,TITULO_CDI,0.4482748241786748,0.4499999995080721,defensive_residual_adjustment,increased,value_quality
2020,2020-01-02,ABCB4.SA,0.0,0.029275822070971645,entered_after_point_in_time_screen,entered,value_quality
2020,2020-01-02,BBAS3.SA,0.029873989577825603,1.951029904251964e-10,removed_by_constrained_allocator,exited,value_quality
2020,2020-01-02,BBDC3.SA,1.4670901806995691e-09,0.026355472204859183,entered_after_point_in_time_screen,entered,value_quality
2020,2020-01-02,BBSE3.SA,3.367669096170703e-10,0.11999999981818048,entered_after_point_in_time_screen,entered,value_quality
2020,2020-01-02,BPAC3.SA,1.5196903381262178e-09,0.12000000002617772,entered_after_point_in_time_screen,entered,value_quality
2020,2020-01-02,BRSR6.SA,0.10654949698290242,4.030230498279068e-11,removed_by_constrained_allocator,exited,value_quality
2020,2020-01-02,IRBR3.SA,0.15452590452956466,0.11999999986850693,rebalanced_after_point_in_time_review,reduced,value_quality
2020,2020-01-02,ITSA3.SA,0.11850886711016827,1.198734303795273e-10,removed_by_constrained_allocator,exited,value_quality
2020,2020-01-02,PSSA3.SA,0.04533059677140324,1.736324649124429e-10,removed_by_constrained_allocator,exited,value_quality
2020,2020-01-02,QUAL3.SA,0.0,0.12000000001766055,entered_after_point_in_time_screen,entered,value_quality
2020,2020-01-02,SANB3.SA,2.007004577695418e-08,0.014368704519429551,entered_after_point_in_time_screen,entered,value_quality
2020,2020-01-02,SANB4.SA,0.12148901352684065,2.9698147776014376e-10,removed_by_constrained_allocator,exited,value_quality
2020,2020-01-02,TITULO_CDI,0.4237220984722102,0.4500000000380118,defensive_residual_adjustment,increased,value_quality
