universe_year,b3_instruments,b3_equities,identifier_accepted,fundamental_accepted,fundamental_blocked,identifier_accepted_share,fundamental_accepted_share_of_mapped,fundamental_accepted_share_of_equities
2013,443,344,297,195,102,0.8633720930232558,0.6565656565656566,0.5668604651162791
2014,407,313,268,179,89,0.8562300319488818,0.667910447761194,0.5718849840255591
2015,419,285,246,157,89,0.8631578947368421,0.6382113821138211,0.5508771929824562
2016,424,276,237,181,56,0.8586956521739131,0.7637130801687764,0.6557971014492754
2017,384,277,237,184,53,0.855595667870036,0.7763713080168776,0.6642599277978339
2018,477,315,278,192,86,0.8825396825396825,0.6906474820143885,0.6095238095238096
2019,547,328,285,204,81,0.8689024390243902,0.7157894736842105,0.6219512195121951
2020,612,358,323,212,111,0.9022346368715084,0.6563467492260062,0.5921787709497207
2021,1254,395,365,218,147,0.9240506329113924,0.5972602739726027,0.5518987341772152
2022,1191,395,372,246,126,0.9417721518987342,0.6612903225806451,0.6227848101265823
2023,1091,377,357,258,99,0.946949602122016,0.7226890756302521,0.6843501326259946
2024,1327,382,366,252,114,0.9581151832460733,0.6885245901639344,0.6596858638743456
2025,1340,357,347,270,77,0.9719887955182073,0.7780979827089337,0.7563025210084033
