ticker,isin,issuer_name,asset_class,cnpj_cia,cvm_name,cvm_sector,match_method,confidence,mapping_status,source,universe_year,decision_date
ABCB4.SA,BRABCBACNPR4,ABC BRASIL,equity,28.195.667/0001-06,BANCO ABC BRASIL S/A,Bancos,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
ABRE11.SA,BRABRECDAM15,ABRIL EDUCA,equity,02.541.982/0001-54,SOMOS EDUCAÇÃO S.A.,Gráficas e Editoras,unique_cotahist_prefix,0.97,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
AEDU3.SA,BRAEDUACNOR9,ANHANGUERA,equity,04.310.392/0001-46,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.,Emp. Adm. Part. - Educação,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
AELP3.SA,BRAELPACNOR2,AES ELPA,equity,01.917.705/0001-30,AES ELPA SA,Emp. Adm. Part. - Energia Elétrica,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
AFLT3.SA,BRAFLTACNOR1,AFLUENTE T,equity,10.338.320/0001-00,AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A,Energia Elétrica,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
AGRO3.SA,BRAGROACNOR7,BRASILAGRO,equity,07.628.528/0001-59,BRASILAGRO CIA BRAS DE PROP AGRICOLAS,"Agricultura (Açúcar, Álcool e Cana)",official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
ALLL3.SA,BRALLLACNOR6,ALL AMER LAT,equity,01.258.944/0001-26,RUMO MALHA SUL S.A.,Serviços Transporte e Logística,official_b3_issuer_unique_prefix,0.99,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
ALPA4.SA,BRALPAACNPR7,ALPARGATAS,equity,61.079.117/0001-05,ALPARGATAS SA,Têxtil e Vestuário,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
ALSC3.SA,BRALSCACNOR0,ALIANSCE,equity,06.082.980/0001-03,ALIANSCE SHOPPING CENTERS S/A,Emp. Adm. Part. - Comércio (Atacado e Varejo),official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
AMAR3.SA,BRAMARACNOR4,LOJAS MARISA,equity,61.189.288/0001-89,MARISA LOJAS SA,Comércio (Atacado e Varejo),official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
AMBV3.SA,BRAMBVACNOR4,AMBEV,equity,02.808.708/0001-07,COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV,Bebidas e Fumo,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
AMBV4.SA,BRAMBVACNPR1,AMBEV,equity,02.808.708/0001-07,COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV,Bebidas e Fumo,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
AMIL3.SA,BRAMILACNOR0,AMIL,equity,36.461.242/0001-20,AMIL PARTICIPAÇÕES S/A,Serviços Médicos,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
ARZZ3.SA,BRARZZACNOR3,AREZZO CO,equity,,,,no_deterministic_cnpj_match,0.0,review_required,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
AUTM3.SA,BRAUTMACNOR8,AUTOMETAL,equity,59.104.513/0001-95,AUTOMETAL S/A,"Máquinas, Equipamentos, Veículos e Peças",official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
BAUH4.SA,BRBAUHACNPR3,EXCELSIOR,equity,95.426.862/0001-97,EXCELSIOR ALIMENTOS SA.,Alimentos,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
BAZA3.SA,BRBAZAACNOR0,AMAZONIA,equity,04.902.979/0001-44,BANCO DA AMAZÔNIA S.A.,Bancos,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
BBAS3.SA,BRBBASACNOR3,BRASIL,equity,00.000.000/0001-91,BANCO DO BRASIL S.A.,Bancos,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
BBDC3.SA,BRBBDCACNOR1,BRADESCO,equity,60.746.948/0001-12,BANCO BRADESCO S.A.,Bancos,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
BBDC4.SA,BRBBDCACNPR8,BRADESCO,equity,60.746.948/0001-12,BANCO BRADESCO S.A.,Bancos,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
BBRK3.SA,BRBBRKACNOR4,BR BROKERS,equity,,,,no_deterministic_cnpj_match,0.0,review_required,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
BDLL4.SA,BRBDLLACNPR8,BARDELLA,equity,60.851.615/0001-53,BARDELLA S.A. INDUSTRIAS MECANICAS - EM RECUPERAÇÃO JUDICIAL,"Máquinas, Equipamentos, Veículos e Peças",official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
BEEF3.SA,BRBEEFACNOR6,MINERVA,equity,67.620.377/0001-14,MINERVA S/A,Alimentos,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
BEES3.SA,BRBEESACNOR9,BANESTES,equity,28.127.603/0001-78,BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO,Bancos,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
BEES4.SA,BRBEESACNPR6,BANESTES,equity,28.127.603/0001-78,BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO,Bancos,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
BEMA3.SA,BRBEMAACNOR0,BEMATECH,equity,82.373.077/0001-71,BEMATECH  S/A,Comunicação e Informática,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
BHGR3.SA,BRBHGRACNOR9,BHG,equity,08.723.106/0001-25,BHG S.A. - BRAZIL HOSPITALITY GROUP,Emp. Adm. Part. - Hospedagem e Turismo,official_b3_isin_cnpj,1.0,accepted,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012,2012-01-02
