decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2012-01-02,MILK11.SA,MILK11,bdr,LAEP,DR3,BRMILKBDR003,2012-01-02,0.42,6804436.516666667,60,460,7114200,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012
2012-01-02,AGEN11.SA,AGEN11,bdr,AGRENCO,DR3,BRAGENBDR001,2012-01-02,0.15,2303928.9833333334,60,106,401900,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012
2012-01-02,WSON11.SA,WSON11,bdr,WILSON SONS,DR3,BRWSONBDR009,2012-01-02,25.4,1405474.65,60,4,1700,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012
2012-01-02,DAGB11.SA,DAGB11,bdr,DUFRY AG,DR3,BRDAGBBDR008,2012-01-02,170.0,1246940.0666666667,60,5,919,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012
2012-01-02,GPIV11.SA,GPIV11,bdr,GP INVEST,DR3,BRGPIVBDR003,2012-01-02,4.01,1162056.0333333334,60,66,122000,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012
2012-01-02,CZLT11.SA,CZLT11,bdr,COSAN LTD,DR3,BRCZLTBDR009,2012-01-02,20.0,1146855.7833333334,60,49,5900,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012
2012-01-02,VALE5.SA,VALE5,equity,VALE,PNA     N1,BRVALEACNPA3,2012-01-02,38.9,681416174.05,60,24290,8821800,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012
2012-01-02,PETR4.SA,PETR4,equity,PETROBRAS,PN,BRPETRACNPR6,2012-01-02,21.73,446069198.85,60,34122,20482400,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012
2012-01-02,ITUB4.SA,ITUB4,equity,ITAUUNIBANCO,PN  EDJ N1,BRITUBACNPR1,2012-01-02,34.03,269950199.0,60,7192,3403800,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012
2012-01-02,OGXP3.SA,OGXP3,equity,OGX PETROLEO,ON      NM,BROGXPACNOR3,2012-01-02,13.75,235986152.86666667,60,12253,13262500,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012
2012-01-02,BBDC4.SA,BBDC4,equity,BRADESCO,PN      N1,BRBBDCACNPR8,2012-01-02,30.71,176420359.28333333,60,6513,2266100,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012
2012-01-02,VALE3.SA,VALE3,equity,VALE,ON      N1,BRVALEACNOR0,2012-01-02,40.9,175759088.0,60,6379,2111100,B3 COTAHIST official annual file; last trading session 2012-01-02; 60-session average traded value,2012
