decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2025-01-02,TSLA34.SA,TSLA34,bdr,TESLA INC,DRN,BRTSLABDR008,2025-01-02,72.41,138861642.61116666,60,16849,3055166,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2025
2025-01-02,NVDC34.SA,NVDC34,bdr,NVIDIA CORP,DRN,BRNVDCBDR008,2025-01-02,17.68,124232888.08866666,60,8231,4804885,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2025
2025-01-02,INBR32.SA,INBR32,bdr,INTER CO,DR2,BRINBRBDR007,2025-01-02,25.16,87836466.605,60,40764,2150157,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2025
2025-01-02,MELI34.SA,MELI34,bdr,MERCADOLIBRE,DRN,BRMELIBDR006,2025-01-02,90.3,56051751.572333336,60,12301,234546,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2025
2025-01-02,XPBR31.SA,XPBR31,bdr,XP INC,DR1,BRXPBRBDR001,2025-01-02,72.21,46052979.94366667,60,8087,241349,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2025
2025-01-02,ROXO34.SA,ROXO34,bdr,NU HOLDINGS,DRN,BRROXOBDR007,2025-01-02,10.77,45994783.9875,60,8464,1684835,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2025
2025-01-02,M2ST34.SA,M2ST34,bdr,MICROSTRATEG,DRN,BRM2STBDR009,2025-01-02,26.3,39303631.74283334,60,3273,532548,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2025
2025-01-02,GOGL34.SA,GOGL34,bdr,ALPHABET,DRN A,BRGOGLBDR001,2025-01-02,97.15,19381750.578333333,60,3937,190381,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2025
2025-01-02,AMZO34.SA,AMZO34,bdr,AMAZON,DRN,BRAMZOBDR002,2025-01-02,67.7,18464654.406166665,60,3098,213815,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2025
2025-01-02,MSFT34.SA,MSFT34,bdr,MICROSOFT,DRN,BRMSFTBDR005,2025-01-02,107.44,17640119.932,60,2350,225256,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2025
2025-01-02,C2OI34.SA,C2OI34,bdr,COINBASEGLOB,DRN,BRC2OIBDR003,2025-01-02,63.23,16774576.936833333,60,629,59211,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2025
2025-01-02,M1TA34.SA,M1TA34,bdr,META PLAT,DRN,BRM1TABDR009,2025-01-02,131.48,14092236.388,60,916,42546,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2025
2025-01-02,AAPL34.SA,AAPL34,bdr,APPLE,DRN,BRAAPLBDR004,2025-01-02,74.99,13855059.576833334,60,4883,342327,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2025
2025-01-02,TSMC34.SA,TSMC34,bdr,TAIWANSMFAC,DRN,BRTSMCBDR002,2025-01-02,155.06,10525288.848833332,60,747,44824,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2025
2025-01-02,STOC31.SA,STOC31,bdr,STONE CO,DR1,BRSTOCBDR008,2025-01-02,49.89,8698848.188333334,60,224,19024,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2025
