ticker,coverage_start,coverage_end,status,source_url,extracted_at,note
ABCB4,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFCQ0IiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
ABEV3,2013-11-11,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFCRVYiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
ABRE3,2014-09-26,2015-07-27,failed,https://sistemaswebb3-listados.b3.com.br/dividensOtherCorpActPage/,2026-08-21T01:15:30.188864+00:00,B3 request failed after 4 attempts: GetListedSupplementCompany
ADHM3,2017-01-02,2020-12-28,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFESE0iLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
AEDU3,2011-01-03,2014-07-03,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFFRFUiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
AELP3,2011-01-10,2018-09-05,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFFTFAiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
AERI3,2020-11-11,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFFUkkiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
AESB3,2021-03-29,2024-10-31,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFFU0IiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
AFLT3,2011-01-06,2025-12-29,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFGTFQiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
AGRO3,2011-01-04,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFHUk8iLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
AGXY3,2021-07-26,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFHWFkiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
ALLD3,2021-04-12,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFMTEQiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
ALLL3,2011-01-03,2015-03-31,failed,https://sistemaswebb3-listados.b3.com.br/dividensOtherCorpActPage/,2026-08-21T01:15:30.188864+00:00,B3 request failed after 4 attempts: GetListedSupplementCompany
ALOS3,2023-10-25,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFMT1MiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
ALPA3,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFMUEEiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
ALPA4,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFMUEEiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
ALSC3,2011-01-03,2019-08-05,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFMU0MiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
ALUP3,2016-10-04,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFMVVAiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
ALUP4,2016-09-09,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFMVVAiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
AMAR3,2011-01-03,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFNQVIiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
AMBP3,2020-07-13,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFNQlAiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
AMBV3,2011-01-03,2013-11-08,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFNQlYiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
AMBV4,2011-01-03,2013-11-08,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFNQlYiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
AMER3,2021-07-19,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFNRVIiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
ANIM3,2013-10-28,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFOSU0iLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
ARML3,2021-07-28,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFSTUwiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
ARTR3,2012-12-26,2016-06-16,failed,https://sistemaswebb3-listados.b3.com.br/dividensOtherCorpActPage/,2026-08-21T01:15:30.188864+00:00,company not found in the current B3 listed-company service
ASAI3,2021-03-01,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFTQUkiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
AURE3,2022-03-28,2025-12-30,complete,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/GetListedSupplementCompany/eyJpc3N1aW5nQ29tcGFueSI6IkFVUkUiLCJsYW5ndWFnZSI6InB0LWJyIn0=,2026-08-21T01:09:24.085902+00:00,B3 company supplement and paginated cash history queried
