ticker,as_of_date,available_date,sector,is_financial,market_cap_brl,price_to_earnings,price_to_book,ev_to_ebit,free_cash_flow_yield,roe,roic,debt_to_ebitda,interest_coverage,operating_margin,revenue_growth_3y,average_daily_value_brl,source,decision_date,mapping_method,snapshot_vintage
PETR4.SA,2018-09-30,2018-11-06,Petróleo e Gás,False,134785149479.28,7.3460404119947675,0.4550861803976703,8.22639020508116,0.4730936623682159,0.06194986072423398,0.08843023913619838,,,0.15695924802474612,,2221199357.9333334,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-06; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 73975, received 2018-05-08",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
VALE3.SA,2018-09-30,2018-10-24,Extração Mineral,False,269983815999.30002,19.965890003633273,1.619641696379425,7.911418966620148,0.1814044364797295,0.08112043570733347,0.1886963461082851,,,0.31174181654298344,,1089199212.0833333,"CVM ITR 2018, ref 2018-09-30, receipt 2018-10-24; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 73488, received 2018-04-25",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
ITUB4.SA,2018-09-30,2018-10-29,Bancos,True,119530843062.0,4.91188999638381,0.8248797025816558,,,0.16793529643150434,,,,,,748452582.2166667,"CVM ITR 2018, ref 2018-09-30, receipt 2018-10-29; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 73850, received 2018-05-07",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
BBAS3.SA,2018-09-30,2018-11-08,Bancos,True,139259267172.0,10.412781331787235,1.5012983363605794,,,0.14417841770839326,,,,,,599525293.0,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-08; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 74927, received 2018-05-18",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
BBDC4.SA,2018-09-30,2018-11-01,Bancos,True,135707527140.08,6.63521124201967,1.1732343829148026,,,0.17681944705617023,,,,,,599508195.9666667,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-01; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 75048, received 2018-05-24",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
PETR3.SA,2018-09-30,2018-11-06,Petróleo e Gás,False,198341402884.3,10.809973996310223,0.6696763835040094,9.440083315210252,0.3214961630436642,0.06194986072423398,0.08843023913619838,,,0.15695924802474612,,359933105.5,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-06; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 73975, received 2018-05-08",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
ABEV3.SA,2018-09-30,2018-10-25,Bebidas e Fumo,False,253912679072.64996,22.643994350311228,4.230301844581906,14.46765690348429,0.057276198467579816,0.18681782812420472,0.32305666249370424,,,0.3462472179022883,,329186384.26666665,"CVM ITR 2018, ref 2018-09-30, receipt 2018-10-25; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 74969, received 2018-05-21",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
ITSA4.SA,2018-09-30,2018-11-13,Emp. Adm. Part. - Intermediação Financeira,True,58824348784.85,6.323159065339138,1.04845023321659,,,0.16581114319324136,,,,,,276436136.98333335,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-13; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 73444, received 2018-04-23",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
GGBR4.SA,2018-09-30,2018-11-07,Metalurgia e Siderurgia,False,17419674924.0,31.464129724223135,0.6509051365033702,14.598857845727881,0.18328430432425444,0.020687212460933285,0.05331928389116607,,,0.04986889671584909,,237320551.71666667,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-07; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 73743, received 2018-05-03",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
MGLU3.SA,2018-09-30,2018-11-05,Comércio (Atacado e Varejo),False,35448106389.36,61.82047280688659,15.330077614278968,34.08259922176575,0.011302832247204667,0.24797735957417733,0.42277228163505964,,,0.07154800941258975,,228591089.9333333,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-05; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 73446, received 2018-04-23",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
SUZB3.SA,2018-09-30,2018-10-25,Papel e Celulose,False,42684889197.0,,4.009009771264666,12.437663023603548,-0.15626187921482962,-0.0737830649069618,0.1590285801569294,,,0.39023338305432503,,217374268.35,"CVM ITR 2018, ref 2018-09-30, receipt 2018-10-25; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 73955, received 2018-05-08",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
CMIG4.SA,2018-09-30,2018-11-27,Energia Elétrica,False,13887278948.400002,10.66068426630679,0.9274973048486225,8.038657525739199,-0.04998012948245474,0.08700166721755262,0.11972179494687919,,,0.14802870483929537,,208009061.5833333,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-27; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 73859, received 2018-05-07",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
USIM5.SA,2018-09-30,2018-10-26,Metalurgia e Siderurgia,False,5345948851.36,13.979443409280492,0.34457880068284746,8.771021949821781,0.24205637501952593,0.02464896423945555,0.05692098856808415,,,0.0863463700505358,,173291673.6,"CVM ITR 2018, ref 2018-09-30, receipt 2018-10-26; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 75046, received 2018-05-24",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
LREN3.SA,2018-09-30,2018-10-25,Comércio (Atacado e Varejo),False,31061392132.55,34.05245787490832,8.610269471212884,25.56767459664171,0.005719157700399443,0.2528530980889163,0.2609575873649458,,,0.15703850559893137,,150758729.15,"CVM ITR 2018, ref 2018-09-30, receipt 2018-10-25; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 73565, received 2018-04-27",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
RAIL3.SA,2018-09-30,2018-11-08,Emp. Adm. Part. - Serviços Transporte e Logística,False,26425319471.1,336.8771763991229,3.234541705694903,21.707972846936038,-0.003866897431902511,0.009601546000441141,0.09241729017678751,,,0.2567582507945073,,146299907.51666668,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-08; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 74113, received 2018-05-09",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
RENT3.SA,2018-09-30,2018-10-24,Serviços Transporte e Logística,False,20594896112.7,33.72171399961685,6.959484449030432,22.272773505735717,-0.09688565502253503,0.2063799144109195,0.13927937251166148,,,0.15693404922827567,,145262101.28333333,"CVM ITR 2018, ref 2018-09-30, receipt 2018-10-24; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 74492, received 2018-05-14",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
CIEL3.SA,2018-09-30,2018-10-30,Intermediação Financeira,True,26162929037.43,6.730083148747512,1.74169987769057,,,0.2587932183296585,,,,,,142574172.56666666,"CVM ITR 2018, ref 2018-09-30, receipt 2018-10-30; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 73724, received 2018-05-03",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
GOLL4.SA,2018-09-30,2018-11-01,Emp. Adm. Part. - Serviços Transporte e Logística,False,6783929985.75,,,12.651184857911536,-0.038816880562320154,,0.39615252395296113,,,0.0980543660349287,,135258991.31666666,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-01; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 74902, received 2018-05-17",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
FIBR3.SA,2018-09-30,2018-10-24,Papel e Celulose,False,37501375534.200005,20.665490081589876,2.313215075477748,8.14629249660812,0.06372691577194387,0.11193613441272832,0.20288010990207708,,,0.36163172495398227,,135063470.05,"CVM ITR 2018, ref 2018-09-30, receipt 2018-10-24; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 73979, received 2018-05-08",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
PCAR4.SA,2018-09-30,2018-10-25,Comércio (Atacado e Varejo),False,13818442229.76,10.397623950158014,1.0041013101119023,9.07543777373044,0.029163924073299784,0.09657026594971661,0.11053453855596473,,,0.04136908490999457,,131040902.13333334,"CVM ITR 2018, ref 2018-09-30, receipt 2018-10-25; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 74302, received 2018-05-11",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
BRFS3.SA,2018-09-30,2018-11-08,Emp. Adm. Part. - Alimentos,False,18183151245.48,,1.9678115381301302,,-0.027090188787955424,-0.33822549527931534,-0.02254845989425308,,,-0.01787937359242497,,126162505.21666668,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-08; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 74489, received 2018-05-14",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
ELET3.SA,2018-09-30,2018-11-12,Emp. Adm. Part. - Energia Elétrica,False,344123003.25,9.0311516704283,1.9719724896422492,7.705313643101483,0.2594014325021732,0.21835227240168018,0.2606054843042398,,,,,123287065.7,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-12; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 73632, received 2018-05-02",2019-01-02,official_b3_issuer_unique_prefix,B3/CVM point-in-time full-universe gate
BBSE3.SA,2018-09-30,2018-11-05,Emp. Adm. Part. - Seguradoras e Corretoras,True,56640000000.0,15.18261354860621,5.588289297764951,,,0.36807162876631117,,,,,,122831502.88333334,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-05; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 73727, received 2018-05-03",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
UGPA3.SA,2018-09-30,2018-11-07,Emp. Adm. Part. - Petróleo e Gás,False,30235052916.640003,28.1475464307,3.1614355638805445,20.9689053289128,-0.03442580381353176,0.112316559159573,0.09368634135996866,,,0.022470838901000687,,121509400.68333334,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-07; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 74354, received 2018-05-11",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
GOAU4.SA,2018-09-30,2018-11-07,Emp. Adm. Part. - Metalurgia e Siderurgia,False,4674262492.12,9.625944710805411,0.1783447080694655,9.32713874102962,0.6906131192764702,0.01852750181177212,0.05259340128172566,,,0.049319299822342705,,99362363.50983334,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-07; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 74464, received 2018-05-14",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
BRML3.SA,2018-09-30,2018-11-13,Emp. Adm. Part. - Comércio (Atacado e Varejo),False,11756656947.720001,,1.1350964399316896,,0.10387417149539546,-0.038727932702853844,-0.02918754602452681,,,-0.31725326498954165,,97109821.3,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-13; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 75053, received 2018-05-24",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
RADL3.SA,2018-09-30,2018-10-30,Comércio (Atacado e Varejo),False,18732886200.0,35.88888650475411,5.51802247813235,25.097613177685663,-0.0038076887479303644,0.15375295852105614,0.19170087858492119,,,0.05392866439866246,,94419057.15,"CVM ITR 2018, ref 2018-09-30, receipt 2018-10-30; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 73304, received 2018-04-16",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
ESTC3.SA,2018-09-30,2018-11-07,Emp. Adm. Part. - Educação,False,7899725987.3,12.828708051186696,2.529256666439346,11.320896378464294,0.08640198420771875,0.1971559923530555,0.2074207008599649,,,0.20464853333927444,,87839171.31666666,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-07; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 73576, received 2018-04-27",2019-01-02,unique_cotahist_prefix,B3/CVM point-in-time full-universe gate
BBDC3.SA,2018-09-30,2018-11-01,Bancos,True,120184668306.71,5.876244885399341,1.03903437140296,,,0.17681944705617023,,,,,,87085822.4,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-01; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 75048, received 2018-05-24",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
NATU3.SA,2018-09-30,2018-11-08,Farmacêutico e Higiene,False,20009501849.6,47.24057608401051,7.996837094098458,23.920252777028562,0.0198662616884661,0.16927899185389364,0.11081261750180554,,,0.09185767747056506,,84324334.21666667,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-08; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 75082, received 2018-05-25",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
BRAP4.SA,2018-09-30,2018-11-13,Emp. Adm. Part. - Extração Mineral,False,7022068109.64,12.63384533250332,0.7667194269379268,8.438808321361531,0.05924194888239657,0.060687732575399986,0.08820972265708328,,,,,81583937.31666666,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-13; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 75045, received 2018-05-24",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
EQTL3.SA,2018-09-30,2018-11-08,Energia Elétrica,False,14887873112.97,12.905117894535648,2.380989205328484,12.37856101803087,0.08277616222604646,0.18449960897580447,0.1519911063375919,,,0.1460595319803733,,81541903.66666667,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-08; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 74399, received 2018-05-14",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
AZUL4.SA,2018-09-30,2018-11-08,Emp. Adm. Part. - Serviços Transporte e Logística,False,11769660693.21,20.09280290425341,3.990052276687083,26.69013337300291,0.010621036855558364,0.19858116837658502,0.09435148726702226,,,0.061813409575484264,,76789828.63333334,"CVM ITR 2018, ref 2018-09-30, receipt 2018-11-08; CVM DFP 2017 TTM bridge; market snapshot: B3 COTAHIST 2019-01-02; CVM FRE document 74040, received 2018-05-09",2019-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
