ticker,as_of_date,available_date,sector,is_financial,market_cap_brl,price_to_earnings,price_to_book,ev_to_ebit,free_cash_flow_yield,roe,roic,debt_to_ebitda,interest_coverage,operating_margin,revenue_growth_3y,average_daily_value_brl,source,decision_date,mapping_method,snapshot_vintage
PETR4.SA,2024-09-30,2024-11-07,Petróleo e Gás,False,205987113314.76,2.4195634331143845,0.5214164006215876,2.9376580307635343,0.7032381670335306,0.2155001987075152,0.24432590920558997,,,0.32483888062974997,,1201570458.266667,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-07; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137831, received 2024-05-23",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
ITUB4.SA,2024-09-30,2024-11-04,Bancos,True,148137481313.73,3.7080721229969966,0.702116629525658,,,0.1893481588913061,,,,,,829282749.3833333,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-04; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 136081, received 2024-04-30",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
B3SA3.SA,2024-09-30,2024-11-13,Bolsas de Valores/Mercadorias e Futuros,False,56574299999.99999,13.114268825554305,2.953068569821766,11.794824212389825,0.0993855160382011,0.22517981056385333,0.19005394129087363,,,0.5507681486613272,,547919055.0833334,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-13; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137720, received 2024-05-20",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
BBDC4.SA,2024-09-30,2024-10-31,Bancos,True,60649073275.8,4.092406622593507,0.3617523779352181,,,0.08839600051911813,,,,,,521079742.1333333,"CVM ITR 2024, ref 2024-09-30, receipt 2024-10-31; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137689, received 2024-05-20",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
BBAS3.SA,2024-09-30,2024-11-13,Bancos,True,137081550236.8,4.28758250443407,0.737598181151236,,,0.17203125080122364,,,,,,508301477.7166666,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-13; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137597, received 2024-05-16",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
ABEV3.SA,2024-09-30,2024-10-31,Bebidas e Fumo,False,182788825097.6,12.73717204376587,1.84851626918255,8.442672475677012,0.10878283718593187,0.14512768319615302,0.2389378499909578,,,0.23915097215953332,,441758630.98333335,"CVM ITR 2024, ref 2024-09-30, receipt 2024-10-31; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 136881, received 2024-05-09",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
RENT3.SA,2024-09-30,2024-11-11,Serviços Transporte e Logística,False,34514853427.600006,20.524690643222694,1.3457101015671362,13.655879838843541,-0.09303432236024656,0.06556542678081695,0.08287426377995633,,,0.1579140509610328,,428126144.3333333,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-11; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137317, received 2024-05-14",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
SUZB3.SA,2024-09-30,2024-10-24,Papel e Celulose,False,81376939176.0,19.345117509962943,1.9560937587300997,11.31630567877349,0.021679249893934348,0.10111563073848946,0.11681595164822389,,,0.3310508649410043,,420217841.1666667,"CVM ITR 2024, ref 2024-09-30, receipt 2024-10-24; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137725, received 2024-05-20",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
PETR3.SA,2024-09-30,2024-11-07,Petróleo e Gás,False,301568241833.84,3.542277372540231,0.7633614776595546,3.5216805684580232,0.4803489887367343,0.2155001987075152,0.24432590920558997,,,0.32483888062974997,,369291804.5833333,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-07; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 137831, received 2024-05-23",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
SBSP3.SA,2024-09-30,2024-11-11,"Saneamento, Serv. Água e Gás",False,60470118110.43,6.480613455839587,1.5951400135680283,5.149571616798904,-0.030382857804987597,0.24614028045920106,0.26798163808741027,,,0.4472795913111049,,360988496.6166667,"CVM ITR 2024, ref 2024-09-30, receipt 2024-11-11; CVM DFP 2023 TTM bridge; market snapshot: B3 COTAHIST 2025-01-02; CVM FRE document 136741, received 2024-05-08",2025-01-02,official_b3_isin_cnpj,B3/CVM point-in-time full-universe gate
