ticker,as_of_date,available_date,sector,is_financial,market_cap_brl,price_to_earnings,price_to_book,ev_to_ebit,free_cash_flow_yield,roe,roic,debt_to_ebitda,interest_coverage,operating_margin,revenue_growth_3y,average_daily_value_brl,source,decision_date,snapshot_vintage
BBAS3.SA,2011-09-30,2011-11-03,Financials,True,33899642668.23161,2.6633804867871453,0.6023484207667263,,,0.2261593579118481,,,,,,146036883.08974585,"CVM ITR 2011, ref 2011-09-30, receipt 2011-11-03; CVM DFP 2010 TTM bridge; market snapshot: CVM FRE document 9670, received 2011-06-10; Yahoo Finance historical OHLCV through 2011-12-29",2012-01-01,CVM ITR/DFP available at January decision
BBDC4.SA,2011-09-30,2011-10-26,Financials,True,20956169140.21792,1.851276548962311,0.3899395213487823,,,0.210632777456914,,,,,,161141903.33416075,"CVM ITR 2011, ref 2011-09-30, receipt 2011-10-26; CVM DFP 2010 TTM bridge; market snapshot: CVM FRE document 7190, received 2011-05-05; Yahoo Finance historical OHLCV through 2011-12-29",2012-01-01,CVM ITR/DFP available at January decision
ITUB4.SA,2011-09-30,2011-11-01,Financials,True,31167948773.002167,2.239704926798592,0.4439252377994553,,,0.1982070193657148,,,,,,249752646.674866,"CVM ITR 2011, ref 2011-09-30, receipt 2011-11-01; CVM DFP 2010 TTM bridge; market snapshot: CVM FRE document 7150, received 2011-05-04; Yahoo Finance historical OHLCV through 2011-12-29",2012-01-01,CVM ITR/DFP available at January decision
PETR4.SA,2011-09-30,2011-11-11,Energy,False,120387898231.91415,3.125748284512558,0.3634935780288597,4.8621966803337,-0.1395549324038802,0.1162900991835765,0.1081019646792523,,,0.204471963460269,,400266699.00125504,"CVM ITR 2011, ref 2011-09-30, receipt 2011-11-11; CVM DFP 2010 TTM bridge; market snapshot: CVM FRE document 7246, received 2011-05-06; Yahoo Finance historical OHLCV through 2011-12-29",2012-01-01,CVM ITR/DFP available at January decision
RENT3.SA,2011-09-30,2011-10-24,Industrials,False,1479903777.8949738,5.203105815885882,1.3696915475234956,4.890571571776746,-0.0822600778634132,0.2632449917396676,0.2376004759820882,,,0.2042983641819026,,23335001.089972783,"CVM ITR 2011, ref 2011-09-30, receipt 2011-10-24; CVM DFP 2010 TTM bridge; market snapshot: CVM FRE document 7155, received 2011-05-04; Yahoo Finance historical OHLCV through 2011-12-29",2012-01-01,CVM ITR/DFP available at January decision
VALE3.SA,2011-09-30,2011-11-07,Materials,False,128477783299.5836,3.2574213606703752,0.8818775558851399,2.9327656835386358,0.136130960161551,0.2707287324055768,0.3078108754928721,,,0.5310671698843852,,164769282.72182465,"CVM ITR 2011, ref 2011-09-30, receipt 2011-11-07; CVM DFP 2010 TTM bridge; market snapshot: CVM FRE document 8573, received 2011-05-26; Yahoo Finance historical OHLCV through 2011-12-29",2012-01-01,CVM ITR/DFP available at January decision
WEGE3.SA,2011-09-30,2011-10-26,Industrials,False,1724939970.4741025,2.9234239154128314,0.4649358690894763,2.979782333157242,0.0632688684058982,0.1590381287634162,0.1653202483642723,,,0.1299005259186706,,5285508.727188333,"CVM ITR 2011, ref 2011-09-30, receipt 2011-10-26; CVM DFP 2010 TTM bridge; market snapshot: CVM FRE document 8497, received 2011-05-25; Yahoo Finance historical OHLCV through 2011-12-29",2012-01-01,CVM ITR/DFP available at January decision
BBDC4.SA,2012-09-30,2012-10-22,Financials,True,23968405912.555824,2.1258499896721186,0.3628988085219428,,,0.1707076276712801,,,,,,207428221.88851172,"CVM ITR 2012, ref 2012-09-30, receipt 2012-10-22; CVM DFP 2011 TTM bridge; market snapshot: CVM FRE document 15163, received 2012-03-20; Yahoo Finance historical OHLCV through 2012-12-28",2013-01-01,CVM ITR/DFP available at January decision
PETR4.SA,2012-09-30,2012-10-26,Energy,False,109351877786.17168,5.936429976799282,0.317285339976768,8.017925384576442,-0.1234783642801559,0.053447162893655,0.0661471247334616,,,0.1212924664687257,,487424147.80676526,"CVM ITR 2012, ref 2012-09-30, receipt 2012-10-26; CVM DFP 2011 TTM bridge; market snapshot: CVM FRE document 15367, received 2012-03-26; Yahoo Finance historical OHLCV through 2012-12-28",2013-01-01,CVM ITR/DFP available at January decision
RENT3.SA,2012-09-30,2012-10-26,Industrials,False,2163203151.0658264,9.26108036247036,1.7220158119746685,7.437620222248852,0.0684882508270216,0.1859411369490942,0.1816762357074313,,,0.1492206422842711,,28085742.206260365,"CVM ITR 2012, ref 2012-09-30, receipt 2012-10-26; CVM DFP 2011 TTM bridge; market snapshot: CVM FRE document 16552, received 2012-04-27; Yahoo Finance historical OHLCV through 2012-12-28",2013-01-01,CVM ITR/DFP available at January decision
