decision_year,decision_date,holding_end_exclusive,eligible_instruments,candidate_gross_return,candidate_turnover,candidate_cost_rate,candidate_net_return,mvo_gross_return,mvo_turnover,mvo_cost_rate,mvo_net_return,cdi_return,beats_cdi,beats_mvo,beats_both
2015,2015-01-02,2016-01-04,257,-0.04100351124445223,1.0,0.0015,-0.04250351124445223,0.24883970149137014,1.0,0.0015,0.24733970149137013,0.1318997108790032,False,False,False
2016,2016-01-04,2017-01-02,258,0.13579827333665784,0.7840726349499066,0.00117610895242486,0.13462216438423297,0.7423384144002876,1.7158386314209615,0.002573757947131442,0.7397646564531561,0.13939289494698648,False,False,False
2017,2017-01-02,2018-01-02,260,0.43190158975232373,0.9354105842541129,0.0014031158763811694,0.4304984738759426,0.8781183242098998,1.5365853268532779,0.002304877990279917,0.8758134462196199,0.09869747716374477,True,False,False
2018,2018-01-02,2019-01-02,262,0.2611804882450459,0.7663243045673394,0.001149486456851009,0.2600310017881949,0.6553301267465308,1.5170071764127988,0.0022755107646191984,0.6530546159819116,0.06393224883871174,True,False,False
2019,2019-01-02,2020-01-02,266,0.5950505831476496,0.8106549647387905,0.0012159824471081858,0.5938346007005414,0.20888590577857724,1.8290099703678406,0.002743514955551761,0.2061423908230255,0.05933780936875266,True,True,True
2020,2020-01-02,2021-01-04,268,0.0007505131446967628,1.9941631159925073,0.002991244673988761,-0.0022407315292919984,0.3140751887711344,1.9999999873242549,0.0029999999809863826,0.311075188790148,0.0274025853352573,False,False,False
2021,2021-01-04,2022-01-03,273,0.2046285447005063,1.9933273001989478,0.0029899909502984216,0.20163855375020787,0.5304314632618696,1.7003072056469113,0.002550460808470367,0.5278810024533993,0.04415820920482849,True,False,False
2022,2022-01-03,2023-01-02,297,0.01593855128870647,0.7823851385148581,0.0011735777077722873,0.014764973580934183,0.013642430386354265,1.9119840392334475,0.002867976058850171,0.010774454327504094,0.12294915546054375,False,True,False
2023,2023-01-02,2024-01-02,332,0.2806984857038519,0.7718740790918397,0.0011578111186377595,0.27954067458521414,0.2105973884313399,1.9999999986169832,0.002999999997925475,0.20759738843341444,0.1293265758525719,True,True,True
2024,2024-01-02,2025-01-02,333,-0.08194058538798232,0.806018117799458,0.001209027176699187,-0.08314961256468151,0.15052716910915853,1.9999999996625923,0.0029999999994938884,0.14752716910966465,0.10777090353467478,False,False,False
2025,2025-01-02,2025-12-31,325,0.3139634606942996,0.6869107783813984,0.0010303661675720975,0.3129330945267275,-0.3059372688444887,1.9030283740520528,0.0028545425610780792,-0.3087918114055668,0.14209253474057149,True,True,True
